Proper Name,File Name(s),Applicant(s),BLA Number(s),Proprietary Name(s),Strength (merged),Dosage Form(s),Route of Administration,Approval Date(s)
"Influenza A (H5N1) Monovalent Vaccine, Adjuvanted",2020_august.csv,Seqirus Inc.,125692,Audenz,7.5HA UG/.5ML,Injection,Intramuscular,1/31/2020
Influenza Vaccine,2021_march.csv | 2022_january.csv | 2024_august.csv,Protein Sciences Corporation | Seqirus Inc. | Seqirus Pty Ltd.,125254 | 125285 | 125408,"Afluria, Afluria Quadrivalent | Flublok | Flucelvax, Flucelvax Quadrivalent",135UG/.5ML | 30UG/.25ML | 45UG/.5ML | 60UG/.5ML,Injection,Intramuscular,"03/03/2021 | 03/26/2021 | 10/04/2018 | 3/26/2021 | 3/3/2021 | March 04, 2024"
"Influenza Vaccine, Adjuvanted",2020_august.csv,Seqirus Inc.,125510,"Fluad,Fluad Quadrivalent",15UG/.5ML | 45UG/.5ML,Injection,Intramuscular,2/21/2020
Influenza Virus Vaccine,2021_july.csv,Sanofi Pasteur Inc.,103914,"Fluzone, Fluzone Hd Quadrivalent, Fluzone High Dose, Fluzone Intradermal, Fluzone Quadrivalent",240UG/ML,Injection,Intramuscular,11/04/2019
insulin aspart,2023_june.csv,Novo Nordisk Inc.,208751,Fiasp,160UNITS/1.6ML (100UNITS/ML),Injection,Subcutaneous,6/21/2023
insulin aspart-szjj,2025_march.csv,Sanofi-Aventis U.S. LLC,761325,Merilog,"1,000UNITS/10ML (100UNITS/ML) | 300UNITS/3ML (100UNITS/ML)",Injection,Subcutaneous,14-Feb-25
insulin aspart-xjhz,2025_july.csv,Biocon Biologics Inc.,761188,Kirsty,"1,000UNITS/10ML (100UNITS/ML) | 300UNITS/3ML (100UNITS/ML)",Injection,"Intravenous, Subcutaneous | Subcutaneous","July 15, 2025"
insulin glargine,2020_june.csv,Mylan Pharmaceuticals Inc.,210605,Semglee,"1,000 UNITS/10ML (100 UNITS/ML) | 300units/3ML (100 units/ML)",Injection,Subcutaneous,6/11/2020
insulin glargine-aglr,2021_december.csv,Eli Lilly and Company,761215,Rezvoglar,300UNITS/3ML (100UNITS/ML),Injection,Subcutaneous,12/17/2021
insulin glargine-yfgn,2021_july.csv,Mylan Pharmaceuticals Inc.,761201,Semglee,"1,000UNITS/10ML (100UNITS/ML) | 300UNITS/3ML (100UNITS/ML)",Injection,Subcutaneous,07/28/2021
insulin icodec-abae,2026_april.csv,Novo Nordisk Inc.,761326,Awiqli,"1,050UNITS/1.5ML (700UNITS/ML) | 2,100UNITS/3ML (700UNITS/ML) | 700UNITS/ML",Injection,Subcutaneous,"March 26, 2026"
insulin lispro,2025_may.csv,Eli Lilly and Company,205747,Humalog,600UNITS/3ML (200UNITS/ML),Injection,Subcutaneous,"May 07, 2025"
insulin lispro-aabc,2020_june.csv,Eli Lilly and Company,761109,Lyumjev,"1,000 UNITS/10ML (100UNITS/ML) | 300 UNITS/3ML (100UNITS/ML) | 600 UNITS/3ML (200UNITS/ML)",Injection,"Intravenous, Subcutaneous",6/15/2020
ixekizumab,2024_august.csv,Eli Lilly and Company,125521,Taltz,20MG/0.25ML | 40MG/0.5ML,Injection,Subcutaneous,"August 20, 2024"
lanadelumab-flyo,2023_february.csv,"Takeda Pharmaceuticals U.S.A., Inc.",761090,Takhzyro,150MG/1ML (150MG/ML) | 300MG/2ML (150MG/ML),Injection,Subcutaneous,2/3/2023 | 2/8/2022
lebrikizumab-lbkz,2024_september.csv,Eli Lilly and Company,761306,Ebglyss,250MG/2ML,Injection,Subcutaneous,"September 13, 2024"
lecanemab-irmb,2023_january.csv | 2025_september.csv,"Eisai, Incorporated",761269 | 761375,Leqembi | Leqembi IQLIK,200MG/2ML (100MG/ML) | 360MG/1.8ML (200MG/ML) | 500MG/5ML (100MG/ML),Injection,Intravenous | Subcutaneous,"1/6/2023 | August 29, 2025"
lerodalcibep-liga,2025_december.csv,"LIB Therapeutics, Inc.",761427,Lerochol,300MG/1.2ML (250MG/ML),Injection,Subcutaneous,12-Dec-25
letibotulinumtoxinA-wlbg,2025_february.csv | 2025_january.csv,"Hugel, Inc.",761225,Letybo,100UNITS | 50UNITS,For Injection,Intramuscular,"29-Feb-24 | February 29, 2024"
Lifileucel,2024_february.csv,"Iovance Biotherapeutics, Inc.",125773,AMTAGVI,7.5x10^9 to 72x10^9Cells,Suspension,Intravenous,"February 16, 2024"
linvoseltamab-gcpt,2025_july.csv,"Regeneron Pharmaceuticals, Inc.",761400,Lynozyfic,200MG/10ML (20MG/ML) | 5MG/2.5ML (2MG/ML),Injection,Intravenous,"July 02, 2025"
lonapegsomatropin-tcgd,2021_august.csv | 2025_august.csv,Ascendis Pharma Endocrinology Division A/S,761177,Skytrofa,0.7MG | 1.4MG | 1.8MG | 11MG | 13.3MG | 2.1MG | 2.5MG | 3.6MG | 3MG | 4.3MG | 5.2MG | 6.3MG | 7.6MG | 9.1MG,For Injection,Subcutaneous,"08/25/2021 | July 25, 2025"
loncastuximab tesirine-lpyl,2021_april.csv,ADC Therapeutics SA,761196,Zynlonta,10MG,For Injection,Intravenous,4/23/2021
lovotibeglogene autotemcel,2023_december.csv,bluebird bio Inc.,125788,LYFGENIA,1.7-20x10^6CELL/ML,Suspension,Intravenous,12/8/2023
lunsotogene parvec-cwha,2026_april.csv,"Regeneron Pharmaceuticals, Inc.",125874,OTARMENI,3x10^13VG/ML,Suspension,Intracochlear,"April 23, 2026"
margetuximab-cmkb,2020_december.csv,MacroGenics Inc.,761150,Margenza,250MG/10ML (25MG/ML),Injection,Intravenous,12/16/2020
marnetegragene autotemcel,2026_april.csv,Rocket Pharmaceuticals Inc,125806,kresladi,0.34 to 6.1  10^6 cells/mL (including 0.32 to 6.1  10^6 CD34+ cells/mL),Suspension,Intravenous,"March 26, 2026"
marstacimab-hncq,2024_october.csv,Pfizer Inc.,761369,Hympavzi,150MG/ML,Injection,Subcutaneous,"October 11, 2024"
Measles Virus Vaccine Live,2022_may.csv,Merck Sharp & Dohme Corp.,101068,ATTENUVAX,NLT1000U/.5ML,For Injection,Subcutaneous,03/21/1963
"Measles, Mumps and Rubella Virus Vaccine Live",2022_june.csv | 2023_march.csv,GlaxoSmithKline Biologicals | Merck Sharp & Dohme LLC,101069 | 125748,M-M-R Ii | PRIORIX,"0.5ML | 3.4, 4.2 and 3.3LOG10",For Injection,Intramuscular | Subcutaneous,06/03/2022 | 2/27/2023
"Measles, Mumps, Rubella and Varicella Virus Vaccine Live",2023_march.csv,Merck Sharp & Dohme LLC,125108,Proquad,0.5ML,For Injection,Intramuscular,2/27/2023
"Meningococcal (Groups A, C, Y, and W-135) Oligosaccharide Diphtheria CRM197 Conjugate Vaccine",2022_october.csv,GlaxoSmithKline Biologicals,125300,Menveo,0.5ML,Injection,Intramuscular,10/14/22
"Meningococcal (Groups A, C, Y, W) Conjugate Vaccine",2020_august.csv,Sanofi Pasteur Inc.,125701,Menquadfi,0.5ML,Injection,Intramuscular,4/23/2020
"Meningococcal Groups A, B, C, W and Y Vaccine",2023_october.csv | 2025_february.csv,GlaxoSmithKline Biologicals | Pfizer Ireland Pharmaceuticals,125770 | 125819,PENBRAYA | PENMENVY,25UG/0.5ML | 5UG,Injection,Intramuscular,"10/20/2023 | February 14, 2025"
Meningococcal Groups C and Y and Haemophilus b Tetanus Toxoid Conjugate Vaccine,2022_may.csv,GlaxoSmithKline Biologicals,125363,MENHIBRIX,0.5ML,Injection,Intramuscular,06/14/2012
mepolizumab,2022_january.csv,GlaxoSmithKline LLC,125526 | 761122,Nucala,40MG/0.4ML,Injection,Subcutaneous,01/22/2022
mirikizumab-mrkz,2023_november.csv | 2025_february.csv | 2025_january.csv,Eli Lilly and Company,761279,Omvoh,100MG/ML | 200MG/2ML (100MG/ML) | 300MG/15ML (20MG/ML),Injection,Intravenous | Subcutaneous,"10/26/2023 | 15-Jan-25 | January 15, 2025"
mirvetuximab soravtansine-gynx,2022_november.csv,"ImmunoGen, Inc.",761310,Elahere,100MG/20ML (5MG/ML),Injection,Intravenous,11/14/22
mosunetuzumab-axgb,2022_december.csv | 2025_december.csv,"Genentech, Inc.",761263,Lunsumio | Lunsumio Velo,1MG/ML | 30MG/30ML (1MG/ML) | 45MG/ML | 5MG/0.5ML,Injection,Intravenous | Subcutaneous,12/22/2022 | 19-Dec-25
Mumps Virus Vaccine Live,2022_may.csv,Merck Sharp & Dohme Corp.,101072,MumpsVax,0.5ML,For Injection,Subcutaneous,12/28/1967
nadofaragene firadenovec-vncg,2022_december.csv,Ferring Pharmaceuticals A/S,125700,Adstiladrin,3x10^11 viral particles (vp)/mL,For Suspension,Intravesical,12/16/2022
narsoplimab-wuug,2025_december.csv,Omeros Corporation,761152,Yartemlea,370MG/2ML,Injection,Intravenous,23-Dec-25
natalizumab-sztn,2023_november.csv,Sandoz Inc.,761322,Tyruko,300MG/15ML (20MG/ML),Injection,Intravenous,8/24/2023
naxitamab-gqgk,2020_november.csv,"Y-mABs Therapeutics, Inc",761171,Danyelza,40MG/10ML (4MG/ML),Injection,Intravenous,11/25/2020
nemolizumab-ilto,2024_august.csv,"Galderma Laboratories, L.P.",761390,Nemluvio,30MG,For Injection,Subcutaneous,"August 12, 2024"
nipocalimab-aahu,2025_may.csv,"Janssen Biotech, Inc.",761430,Imaavy,"1,200MG/6.5ML (185MG/ML) | 300MG/1.62ML (185MG/ML)",Injection,Intravenous,"April 29, 2025"
nirsevimab-alip,2023_july.csv | 2024_march.csv,AstraZeneca AB,761328,Beyfortus,100MG/ML | 50MG/0.5ML,Injection,Intramuscular,"7/17/2023 | July 17, 2023"
nivolumab and hyaluronidase-nvhy,2024_december.csv | 2025_november.csv,Bristol-Myers Squibb Company,761381,Opdivo Qvantig,"300MG/2.5ML;5,000UNITS/2.5ML (120MG/2,000UNITS/ML) | 600MG/5ML;10,000 UNITS/5ML (120MG/2,000UNITS/ML)",Injection,Subcutaneous,24-Nov-25 | 27-Dec-24
nivolumab and relatlimab-rmbw,2022_march.csv,Bristol-Myers Squibb Company,761234,Opdualag,"240MG, 80MG/20ML (12MG, 4MG/ML)",Injection,Intravenous,03/18/2022 | 3/18/22
nogapendekin alfa inbakicept-pmln,2024_april.csv,"Altor BioScience, LLC, an indirect wholly-owned subsidiary of ImmunityBio, Inc.",761336,Anktiva,400MCG/0.4ML,Solution,Intravesical,"April 22, 2024"
Obecabtagene autoleucel,2024_november.csv,"Autolus, Inc.",125813,Aucatzyl,10 × 10^6CELL/ML | 100 × 10^6CELL/ML | 300 × 10^6CELL/ML,Suspension,Intravenous,8-Nov-24
ocrelizumab and hyaluronidase-ocsq,2024_september.csv,"Genentech, Inc.",761371,Ocrevus Zunovo,"920MG/23ML; 23,000UNITS/23ML (40MG/1,000UNITS/ML)",Injection,Subcutaneous,"September 13, 2024"
ofatumumab,2020_august.csv,Novartis Pharmaceuticals Corporation,125326,Kesimpta,20MG/0.4ML,Injection,Subcutaneous,8/20/2020
olipudase alfa-rpcp,2022_september.csv | 2023_june.csv,Genzyme Corporation,761261,Xenpozyme,20MG | 4MG,For Injection,Intravenous,08/31/2022 | 3/31/2023
omalizumab,2024_february.csv,"Genentech, Inc.",103976,Xolair,150MG/ML | 300MG/2ML | 75MG/0.5ML,Injection,Subcutaneous,"August 17, 2023"
omalizumab-igec,2025_december.csv | 2025_march.csv,"CELLTRION, Inc.",761399,Omlyclo,150MG/ML | 300MG/2ML (150MG/ML) | 75MG/0.5ML,Injection,Subcutaneous,1-Dec-25 | 7-Mar-25
omidubicel-onlv,2023_april.csv,Gamida Cell Ltd.,125738,OMISIRGE,">4.0x10^8 total viable cells, >2.4 × 10^7 CD3+ cells with 41mL dil sol | >8.0x10^8 total viable cells, >8.7% CD34+ cells, >9.2 × 10^7 CD34+ cells with 81mL dil so",For Injection,Intravenous,4/17/2023
onasemnogene abeparvovec-brve,2025_december.csv,"Novartis Gene Therapies, Inc.",125856,ITVISMA,4x10^13VG/ML,Injection,Intrathecal,24-Nov-25
pancrelipase,2023_november.csv,"Zenpep, LLC",22210,Zenpep,"60,000USP UNITS; 189,600USP UNITS; 252,600USP UNITS","Capsule, Delayed Release",Oral,10/27/2023
PAPZIMEOS,2025_august.csv,"Precigen, Inc.",125832,PAPZIMEOS,5x10^11PARTICLE UNITS,For Injection,Subcutaneous,"August 14, 2025"
Peanut (Arachis hypogaea) Allergen Powder,2020_august.csv | 2021_may.csv,"Aimmune Therapeutics, Inc.",125696,Palforzia,0.5MG | 100MG | 10MG | 1MG | 20MG | 300MG,Powder,Oral,01/31/2020 | 1/31/2020
pegfilgrastim-apgf,2020_june.csv,Hospira Inc.,761111,Nyvepria,6MG/0.6ML,Injection,Subcutaneous,6/10/2020
pegfilgrastim-cbqv,2023_march.csv | 2024_january.csv,"Coherus BioSciences, Inc.",761039,Udenyca | Udenyca Onbody,6MG/0.6ML,Injection,Subcutaneous,"3/3/2023 | December 22, 2023"
pegfilgrastim-fpgk,2022_september.csv,"Fresenius Kabi USA, LLC",761173,Stimufend,6MG/0.6ML,Injection,Subcutaneous,09/01/2022
pegfilgrastim-pbbk,2022_may.csv,"Kashiv BioSciences, LLC",761084,Fylnetra,6MG/0.6ML,Injection,Subcutaneous,05/26/2022
pegfilgrastim-unne,2025_november.csv,Lupin Limited (Biotech Division),761212,Armlupeg,6MG/0.6ML,Injection,Subcutaneous,28-Nov-25
pegloticase,2025_september.csv,Horizon Therapeutics Ireland DAC,125293,Krystexxa,8MG/50ML (0.16MG/ML),Injection,Intravenous,"August 29, 2025"
pegunigalsidase alfa-iwxj,2023_may.csv | 2024_july.csv,Chiesi Farmaceutici S.p.A.,761161,Elfabrio,20MG/10ML (2MG/ML) | 5MG/2.5ML,Injection,Intravenous,"5/9/2023 | May 17, 2024"
pegzilarginase-nbln,2026_february.csv | 2026_march.csv,Immedica Pharma AB,761211,Loargys,2MG/0.4ML | 5MG/ML,Injection,"Intravenous, Subcutaneous",23-Feb-26
pembrolizumab and berahyaluronidase alfa-pmph,2025_september.csv,Merck Sharp & Dohme LLC,761467,Keytruda Qlex,"395MG/2.4ML; 4,800UNITS/2.4ML (165MG/2,000UNITS/ML) | 790MG/4.8ML; 9,600UNITS/4.8ML (165MG/2,000UNITS/ML)",Injection,Subcutaneous,"September 19, 2025"
penpulimab-kcqx,2025_may.csv,"Akeso Biopharma Co., Ltd.",761258,,100MG/10ML (10MG/ML),Injection,Intravenous,"April 23, 2025"
"pertuzumab, trastuzumab, and hyaluronidase-zzxf",2020_july.csv,"Genentech, Inc.",761170,Phesgo,"1,200mg, 600mg, 30,000units/15ML (80mg, 40mg, 2,000units/ML) | 600mg, 600mg, 20,000units/10ML (60mg, 60mg, 2,000units/ML)",Injection,Subcutaneous,6/29/2020
pertuzumab-dpzb,2025_november.csv,"Shanghai Henlius Biotech, Inc.",761450,Poherdy,420MG/14ML (30MG/ML),Injection,Intravenous,13-Nov-25
Plasma Protein Fraction (Human),2022_august.csv,Grifols Therapeutics LLC,101140,Plasmanate,12.5G/250ML,Injection,Intravenous,10/02/1958
Pneumococcal 15-valent Conjugate Vaccine,2021_july.csv,Merck Sharp & Dohme Corp.,125741,Vaxneuvance,0.5ML,Injection,Intramuscular,07/16/2021
Pneumococcal 21-valent Conjugate Vaccine,2024_june.csv,Merck Sharp & Dohme LLC,125814,CAPVAXIVE,84UG/.5ML,Injection,Intramuscular,"June 17, 2024"
Pneumococcal 7-valent Conjugate Vaccine (Diphtheria CRM197 Protein),2022_may.csv,Wyeth Pharmaceuticals LLC,103905,prevnar,0.5ML/VIAL,Injection,Intramuscular,02/17/2000
polatuzumab vedotin-piiq,2020_september.csv,"Genentech, Inc.",761121,Polivy,30MG,For Injection,Intravenous,9/18/2020
"Pollens - Grasses, Bermuda Grass Cynodon dactylon",2021_may.csv,"ALK-Abello, Inc. | Jubilant HollisterStier LLC",103051 | 103872,,"1,000BAU/ML | 10,000BAU/ML",Injection,Intradermal | Percutaneous | Subcutaneous,03/13/1924 | 09/29/1958
"Pollens - Grasses, Bluegrass, Kentucky (June) Poa pratensis",2021_may.csv,Jubilant HollisterStier LLC,103873,,"10,000BAU/ML | 100,000BAU/ML",Injection,Subcutaneous,03/13/1924
"Pollens - Grasses, Fescue, Meadow Festuca elatior",2021_may.csv,Jubilant HollisterStier LLC,103874,,"10,000BAU/ML | 100,000BAU/ML",Injection,Subcutaneous,03/13/1924
"Pollens - Grasses, Orchard Grass Dactylis glomerata",2021_may.csv,Jubilant HollisterStier LLC,103875,,"10,000BAU/ML | 100,000BAU/ML",Injection,Subcutaneous,03/13/1924
"Pollens - Grasses, Redtop Agrostis alba",2021_may.csv,Jubilant HollisterStier LLC,103876,,"10,000BAU/ML | 100,000BAU/ML",Injection,Subcutaneous,03/13/1924
"Pollens - Grasses, Ryegrass, Perennial Lolium perenne",2021_may.csv,Jubilant HollisterStier LLC,103877,,"10,000BAU/ML | 100,000BAU/ML",Injection,Subcutaneous,03/13/1924
"Pollens - Grasses, Sweet Vernal Grass Anthoxanthum odoratum",2021_may.csv,Jubilant HollisterStier LLC,103878,,"10,000BAU/ML | 100,000BAU/ML",Injection,Subcutaneous,03/13/1924
"Pollens - Grasses, Timothy Phleum pratense",2021_may.csv,Jubilant HollisterStier LLC,103879,,"10,000BAU/ML | 100,000BAU/ML",Injection,Subcutaneous,03/13/1924
"Pollens - Weeds and Garden Plants, Ragweed, Short Ambrosia artemisiifolia",2021_may.csv,Jubilant HollisterStier LLC,103880,,1:20W/V,Injection,Subcutaneous,03/13/1924
pozelimab-bbfg,2023_august.csv | 2023_september.csv,"Regeneron Pharmaceuticals, Inc.",761339,Veopoz,400MG/2ML (200MG/ML),Injection,"Intravenous, Subcutaneous",8/18/2023
Prademagene zamikeracel,2025_may.csv,Abeona Therapeutics Inc.,125807,zevaskyn,41.25CM^2,Cellular Sheet,Topical,"April 28, 2025"
"Prothrombin complex concentrate, human-lans",2023_august.csv | 2024_october.csv,Octapharma Pharmazeutika Produktionsges.m.b.H.,125776,Balfaxar,1000IU | 500IU,For Injection,Intravenous,"7/21/2023 | July 21, 2023"
ranibizumab,2021_october.csv,"Genentech, Inc.",761197,Susvimo,100MG/ML,Injection,Intravitreal,10/22/2021
ranibizumab-eqrn,2022_july.csv,"Coherus BioSciences, Inc.",761165,Cimerli,10MG/ML (0.5MG/0.05ML) | 6MG/ML (0.3MG/0.05ML),Injection,Intravitreal,08/02/2022
ranibizumab-leyk,2025_december.csv,Formycon AG,761473,Nufymco,10MG/ML (0.5MG/0.05ML) | 6MG/ML (0.3MG/0.05ML),Injection,Intravitreal,18-Dec-25
ranibizumab-nuna,2021_september.csv,"Samsung Bioepis Co., Ltd.",761202,Byooviz,10MG/ML,Injection,Intravitreal,09/17/2021
ravulizumab-cwvz,2020_october.csv | 2022_july.csv,"Alexion Pharmaceuticals, Inc.",761108,Ultomiris,1100MG/11ML (100MG/ML) | 245MG/3.5ML (70MG/ML) | 300MG/3ML (100MG/ML),Injection,Intravenous | Subcutaneous,06/22/2022 | 10/9/2020
remestemcel-L-rknd,2024_december.csv,"Mesoblast, Inc.",125706,ryoncil,6.68X10^CELL/ML,Suspension,Intravenous,18-Dec-24
Respiratory Syncytial Virus Vaccine,2023_june.csv,Pfizer Inc.,125769,Abrysvo,120UG,Injection,Intramuscular,5/31/2023
"Respiratory Syncytial Virus Vaccine, Adjuvanted",2023_may.csv,GlaxoSmithKline Biologicals,125775,Arexvy,120UG/.5ML,For Injection,Intramuscular,5/3/2023
"Respiratory Syncytial Virus Vaccine, mRNA (mRNA-1345)",2024_june.csv,"ModernaTX, Inc.",125796,mresvia,50UG/.5ML,For Injection,Intramuscular,"May 31, 2024"
retifanlimab-dlwr,2023_march.csv,Incyte Corporation,761334,Zynyz,500MG/20ML (25MG/ML),Injection,Intravenous,3/22/2023
revakinagene taroretcel-lwey,2025_march.csv,Neurotech Pharmaceuticals Inc.,125798,encelto,"200,000-440,000CELLS/IMPLANT",Implant,Implantation,5-Mar-25
risankizumab-rzaa,2021_april.csv | 2022_june.csv | 2022_september.csv | 2023_april.csv | 2025_september.csv,AbbVie Inc.,761105,Skyrizi,150MG/ML | 180MG/1.2ML (150MG/ML) | 360MG/2.4ML (150MG/ML) | 600MG/10ML (60MG/ML) | 90MG/ML,Injection,Intravenous | Subcutaneous,"06/16/2022 | 09/23/2022 | 3/22/2023 | 4/26/2021 | September 03, 2025"
rituximab-arrx,2020_december.csv,"Amgen, Inc.",761140,Riabni,100MG/10ML (10MG/ML) | 500MG/50ML (10MG/ML),Injection,Intravenous,12/17/2020
ropeginterferon alfa-2b-njft,2021_november.csv,PharmaEssentia Corporation,761166,Besremi,500MCG/ML,Injection,Subcutaneous,11/12/2021
"Rotavirus Vaccine, Live, Oral",2022_november.csv,GlaxoSmithKline Biologicals,125265,Rotarix,106.0CCID50,Suspension,Oral,11/4/22
rozanolixizumab-noli,2023_july.csv | 2025_december.csv,"UCB, Inc.",761286,Rystiggo,280MG/2ML (140MG/ML) | 420MG/3ML (140MG/ML) | 560MG/4ML (140MG/ML) | 840MG/6ML (140MG/ML),Injection,Subcutaneous,14-Jun-24 | 6/26/2023
Rubella Virus Vaccine Live,2022_may.csv,Merck Sharp & Dohme Corp.,101075,MERUVAX II,NLT1000U/.5ML,For Injection,Subcutaneous,06/09/1969
sacrosidase,2022_may.csv,"QOL Medical, LLC",020772,Sucraid,"17,000IU/2ML (8,500IU/ML)",Solution For Oral,Oral,05/25/2022
satralizumab-mwge,2020_august.csv,"Genentech, Inc.",761149,Enspryng,120MG/ML,Injection,Subcutaneous,8/14/2020
secukinumab,2021_may.csv | 2023_may.csv | 2023_october.csv,Novartis Pharmaceuticals Corporation,125504 | 761349,Cosentyx,125MG/5ML | 300MG/2ML | 75MG/0.5ML,Injection,Intravenous | Subcutaneous,05/28/2021 | 10/6/2023 | 5/11/2023
Short Ragweed Pollen Allergen Extract,2021_april.csv,ALK - Abello A/S,125478,Ragwitek,12 AMB A 1-UTABS/CT,Tablet,Sublingual,4/16/2021
sibeprenlimab-szsi,2025_november.csv,"Otsuka Pharmaceutical Company, Ltd.",761434,Voyxact,400MG/2ML (200MG/ML),Injection,Subcutaneous,25-Nov-25
"Smallpox and Mpox Vaccine, Live, Non-replicating",2025_april.csv | 2025_may.csv,Bavarian Nordic A/S,125678,Jynneos,0.5-3.95 X 10E8 INF. U/.5ML,For Injection,Subcutaneous,"March 21, 2025"
somapacitan-beco,2020_august.csv | 2021_september.csv | 2023_may.csv,Novo Nordisk Inc.,761156,Sogroya,10MG/1.5ML (6.7MG/ML) | 15MG/1.5ML (10MG/ML) | 5MG/1.5ML (3.3MG/ML),Injection,Subcutaneous,10/01/2021 | 4/28/2023 | 8/28/2020
somatrogon-ghla,2023_july.csv,Pfizer Ireland Pharmaceuticals,761184,Ngenla,24MG/1.2ML (20MG/ML) | 60MG/1.2ML (50MG/ML),Injection,Subcutaneous,6/27/2023
sotatercept-csrk,2024_march.csv,Merck Sharp & Dohme LLC,761363,Winrevair,45MG | 60MG,For Injection,Subcutaneous,"March 26, 2024"
spesolimab-sbzo,2022_september.csv | 2024_march.csv | 2025_june.csv,"Boehringer Ingelheim Pharmaceuticals, Inc.",761244,Spevigo,150MG/ML | 300MG/2ML (150MG/ML) | 450MG/7.5ML (60MG/ML),Injection,Intravenous | Subcutaneous,"09/01/2022 | March 18, 2024 | May 28, 2025"
sutimlimab-jome,2022_february.csv,Bioverativ USA Inc.,761164,Enjaymo,"1,100MG/22ML (50MG/ML)",Injection,Intravenous,02/04/2022
tafasitamab-cxix,2020_august.csv,MorphoSys US Inc.,761163,Monjuvi,200MG,For Injection,Intravenous,7/31/2020
talquetamab-tgvs,2023_august.csv | 2023_september.csv,"Janssen Biotech, Inc.",761342,Talvey,3MG/1.5ML (2MG/ML) | 40MG/ML,Injection,Subcutaneous,8/9/2023
tarlatamab-dlle,2024_may.csv,Amgen Inc.,761344,Imdelltra,10MG | 1MG,Injection,Intravenous,16-May-24
tebentafusp-tebn,2022_january.csv,Immunocore Limited,761228,Kimmtrak,100MCG/0.5ML,Injection,Intravenous,01/25/2022
teclistamab-cqyv,2022_october.csv,"Janssen Biotech, Inc.",761291,Tecvayli,153MG/1.7ML (90MG/ML) | 30MG/3ML (10MG/ML),Injection,Subcutaneous,10/25/22
telisotuzumab vedotin-tllv,2025_may.csv,AbbVie Inc.,761384,Emrelis,100MG | 20MG,Injection,Intravenous,"May 14, 2025"
tenecteplase,2025_march.csv,"Genentech, Inc.",103909,TNKase,25MG,For Injection,Intravenous,28-Feb-25
teplizumab-mzwv,2022_november.csv,"Provention Bio, Inc.",761183,Tzield,2MG/2ML (1MG/ML),Injection,Intravenous,11/17/22
tesamorelin,2026_january.csv,Theratechnologies Inc.,22505,Egrifta WR,11.6MG,For Injection,Subcutaneous,25-Mar-25
Tetanus and Diphtheria Toxoids Adsorbed,2022_may.csv,Sanofi Pasteur Inc.,103921,,"2.5LF, 5LF, 2.5UG, 8UG/.5ML",Injection,Intramuscular,12/09/1999
Tetanus Toxoid Adsorbed,2022_may.csv,Sanofi Pasteur Inc.,103913,,5LF/.5ML,Injection,Intramuscular,12/09/1999
tezepelumab-ekko,2021_december.csv | 2023_february.csv,AstraZeneca AB,761224,Tezspire,210MG/1.91ML (110MG/ML),Injection,Subcutaneous,12/17/2021 | 2/1/2023
tislelizumab-jsgr,2024_march.csv,"BeiGene USA, Inc.",761232,Tevimbra,100MG/10ML (10MG/ML),Injection,Intravenous,"March 13, 2024"
tisotumab vedotin-tftv,2021_september.csv,Seagen Inc.,761208,Tivdak,40MG,For Injection,Intravenous,09/20/2021
tividenofusp alfa-eknm,2026_april.csv,Denali Therapeutics Inc.,761485,Avlayah,150MG,For Injection,Intravenous,"March 24, 2026"
tocilizumab-aazg,2024_march.csv,"Fresenius Kabi USA, LLC",761275,Tyenne,162MG/0.9ML | 200MG/10ML (20MG/ML) | 400MG/20ML (20MG/ML) | 80MG/4ML (20MG/ML),Injection,Intravenous | Subcutaneous,"March 05, 2024"
tocilizumab-anoh,2025_february.csv | 2025_january.csv,"CELLTRION, Inc.",761420,Avtozma,162MG/0.9ML | 200MG/10ML (20MG/ML) | 400MG/20ML (20MG/ML) | 80MG/4ML (20MG/ML),Injection,Intravenous | Subcutaneous,"24-Jan-25 | January 24, 2025"
tocilizumab-bavi,2023_october.csv,Biogen MA Inc.,761354,Tofidence,200MG/10ML (20MG/ML) | 400MG/20ML (20MG/ML) | 80MG/4ML (20MG/ML),Injection,Intravenous,9/29/2023
toripalimab-tpzi,2023_november.csv,"Coherus BioSciences, Inc.",761240,Loqtorzi,240MG/6ML (40MG/ML),Injection,Intravenous,10/27/2023
tralokinumab-ldrm,2021_december.csv | 2024_june.csv,LEO Pharma A/S,761180,Adbry,150MG/ML | 300MG/2ML,Injection,Subcutaneous,"12/27/2021 | June 12, 2024"
trastuzumab-qyyp,2020_november.csv,Pfizer Ireland Pharmaceuticals,761081,Trazimera,150MG,For Injection,Intravenous,11/30/2020
trastuzumab-strf,2024_may.csv | 2024_september.csv,Accord BioPharma Inc.,761346,Hercessi,150MG | 420MG,For Injection | Injection,Intravenous,"25-Apr-24 | September 06, 2024"
tremelimumab-actl,2022_october.csv,AstraZeneca AB,761289,Imjudo,25MG/1.25ML (20MG/ML) | 300MG/15ML (20MG/ML),Injection,Intravenous,10/21/22
ublituximab-xiiy,2023_january.csv,"TG Therapeutics, Inc.",761238,Briumvi,150MG/6ML (25MG/ML),Injection,Intravenous,12/28/2022
ustekinumab-aauz,2024_october.csv | 2025_may.csv,"Fresenius Kabi USA, LLC",761379,Otulfi,130MG/26ML (5MG/ML) | 45MG/0.5ML | 90MG/ML,Injection,Intravenous | Subcutaneous,"March 21, 2025 | September 27, 2024"
