Ingredient,Trade_Name(s),Disease_Category,Duration_Class,Substance_Class,ChEMBL_ID,Gene_Symbol(s),Target_Name(s),Mechanism_of_Action,Action_Type(s),Target_ChEMBL_ID(s),N_Targets,Match_Strategy
CEFUROXIME SODIUM,CEFUROXIME SODIUM,Infectious,SHORT,chemical,CHEMBL2146124,"dacB, ftsI, mrcA, mrcB, dacA, mrdA, dacC",Bacterial penicillin-binding protein,Bacterial penicillin-binding protein inhibitor,INHIBITOR,CHEMBL2354204,1,direct
CELECOXIB,CELEBREX | CELECOXIB | ELYXYB | VYSCOXA,Pain,PERIODIC,chemical,CHEMBL118,PTGS2,Prostaglandin G/H synthase 2,Cyclooxygenase-2 inhibitor,INHIBITOR,CHEMBL230,1,direct
CENOBAMATE,XCOPRI,Other/Unclassified,OTHER,chemical,CHEMBL3989949,"GABRA1, GABRB2, GABRG2, GABRB3, GABRA4, GABRG3, GABRQ, GABRA3, GABRP, GABRD, GABRG1, GABRB1, GABRE, GABRA2, GABRA5, GABRA6 | SCN1A, SCN5A, SCN4A, SCN7A, SCN2A, SCN9A, SCN3A, SCN11A, SCN8A, SCN10A",GABA-A receptor; anion channel | Sodium channel alpha subunit,GABA-A receptor; anion channel positive allosteric modulator; Sodium channel alpha subunit inhibitor,POSITIVE ALLOSTERIC MODULATOR | INHIBITOR,CHEMBL2093872; CHEMBL2331043,2,direct
CEPHALEXIN,CEPHALEXIN,Infectious,SHORT,chemical,CHEMBL1200544,"dacB, ftsI, mrcA, mrcB, dacA, mrdA, dacC",Bacterial penicillin-binding protein,Bacterial penicillin-binding protein inhibitor,INHIBITOR,CHEMBL2354204,1,direct
CERITINIB,ZYKADIA,Oncology,LONG-TERM,chemical,CHEMBL2403108,"ALK | ALK, EML4 | ALK, NPM1",ALK tyrosine kinase receptor | EML4-ALK | NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor),ALK tyrosine kinase receptor inhibitor; EML4-ALK inhibitor; NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor) inhibitor,INHIBITOR,CHEMBL4247; CHEMBL3883330; CHEMBL2111387,3,direct
CETIRIZINE HYDROCHLORIDE,CETIRIZINE HYDROCHLORIDE | CETIRIZINE HYDROCHLORIDE ALLERGY | CETIRIZINE HYDROCHLORIDE HIVES | CETIRIZINE HYDROCHLORIDE HIVES RELIEF | CHILDREN'S CETIRIZINE HYDROCHLORIDE ALLERGY | CHILDREN'S CETIRIZINE HYDROCHLORIDE HIVES RELIEF | CHILDREN'S ZYRTEC ALLERGY | CHILDREN'S ZYRTEC HIVES | QUZYTTIR | ZERVIATE | ZYRTEC ALLERGY,Respiratory,PERIODIC,chemical,CHEMBL1607273,HRH1,Histamine H1 receptor,Histamine H1 receptor antagonist,ANTAGONIST,CHEMBL231,1,direct
CETIRIZINE HYDROCHLORIDE; PSEUDOEPHEDRINE HYDROCHLORIDE,CETIRIZINE HYDROCHLORIDE AND PSEUDOEPHEDRINE HYDROCHLORIDE | ZYRTEC-D 12 HOUR,Respiratory,PERIODIC,chemical,CHEMBL1607273 | CHEMBL1200724,HRH1 | SLC6A2,Histamine H1 receptor | Sodium-dependent noradrenaline transporter,Histamine H1 receptor antagonist; Norepinephrine transporter releasing agent,ANTAGONIST | RELEASING AGENT,CHEMBL231; CHEMBL222,2,combination
CETRORELIX ACETATE,CETRORELIX ACETATE | CETROTIDE,Metabolic,SHORT,chemical,CHEMBL2103735,GNRHR,Gonadotropin-releasing hormone receptor,Gonadotropin-releasing hormone receptor antagonist,ANTAGONIST,CHEMBL1855,1,direct
CEVIMELINE HYDROCHLORIDE,CEVIMELINE HYDROCHLORIDE | EVOXAC,Other/Unclassified,OTHER,chemical,CHEMBL2218917,CHRM3 | CHRM1,Muscarinic acetylcholine receptor M3 | Muscarinic acetylcholine receptor M1,Muscarinic acetylcholine receptor M3 agonist; Muscarinic acetylcholine receptor M1 agonist,AGONIST,CHEMBL245; CHEMBL216,2,direct
CHENODIOL,CHENODIOL | CTEXLI,Other/Unclassified,OTHER,chemical,CHEMBL240597,NR1H4,Bile acid receptor,Bile acid receptor FXR agonist,AGONIST,CHEMBL2047,1,direct
CHLORAMBUCIL,LEUKERAN,Oncology,LONG-TERM,chemical,CHEMBL515,,DNA,DNA inhibitor,INHIBITOR,CHEMBL2311221,1,direct
CHLORDIAZEPOXIDE HYDROCHLORIDE,CHLORDIAZEPOXIDE HYDROCHLORIDE | LIBRIUM,Psychiatric,PERIODIC,chemical,CHEMBL1200703,"GABRA1, GABRB2, GABRG2, GABRB3, GABRA4, GABRG3, GABRQ, GABRA3, GABRP, GABRD, GABRG1, GABRB1, GABRE, GABRA2, GABRA5, GABRA6",GABA-A receptor; anion channel,GABA-A receptor; anion channel positive allosteric modulator,POSITIVE ALLOSTERIC MODULATOR,CHEMBL2093872,1,direct
CHLORDIAZEPOXIDE HYDROCHLORIDE; CLIDINIUM BROMIDE,CHLORDIAZEPOXIDE HYDROCHLORIDE AND CLIDINIUM BROMIDE | LIBRAX,Psychiatric,PERIODIC,chemical,CHEMBL1200703 | CHEMBL1200950,"GABRA1, GABRB2, GABRG2, GABRB3, GABRA4, GABRG3, GABRQ, GABRA3, GABRP, GABRD, GABRG1, GABRB1, GABRE, GABRA2, GABRA5, GABRA6 | CHRM3 | CHRM1",GABA-A receptor; anion channel | Muscarinic acetylcholine receptor M3 | Muscarinic acetylcholine receptor M1,GABA-A receptor; anion channel positive allosteric modulator; Muscarinic acetylcholine receptor M3 antagonist; Muscarinic acetylcholine receptor M1 antagonist,POSITIVE ALLOSTERIC MODULATOR | ANTAGONIST,CHEMBL2093872; CHEMBL245; CHEMBL216,3,combination
CHLORHEXIDINE GLUCONATE,BIOSCRUB | CHG SCRUB | CHLORHEXIDINE GLUCONATE | CIDA-STAT | DYNA-HEX 2 | DYNA-HEX 4 | EXIDINE | HIBICLENS | HIBISTAT | PERIDEX | PERIOGARD | READYPREP CHG,Other/Unclassified,OTHER,chemical,CHEMBL4297088,,Cell membrane,Cell membrane inhibitor,INHIBITOR,CHEMBL2364031,1,direct
CHLORHEXIDINE GLUCONATE; ISOPROPYL ALCOHOL,CHLORAPREP ONE-STEP | CHLORAPREP ONE-STEP FREPP | CHLORAPREP ONE-STEP SEPP | CHLORAPREP SINGLE SWABSTICK | CHLORAPREP TRIPLE SWABSTICK | CHLORAPREP WITH TINT | PREVANTICS MAXI SWABSTICK | PREVANTICS SWAB | PREVANTICS SWABSTICK | SOLUPREP S,Other/Unclassified,OTHER,chemical,CHEMBL4297088,,Cell membrane,Cell membrane inhibitor,INHIBITOR,CHEMBL2364031,1,component
CHLOROPROCAINE HYDROCHLORIDE,CHLOROPROCAINE HYDROCHLORIDE | IHEEZO | NESACAINE | NESACAINE-MPF,Other/Unclassified,OTHER,chemical,CHEMBL944,"SCN1A, SCN5A, SCN4A, SCN7A, SCN2A, SCN9A, SCN3A, SCN11A, SCN8A, SCN10A",Sodium channel alpha subunit,Sodium channel alpha subunit blocker,BLOCKER,CHEMBL2331043,1,direct
CHLOROQUINE PHOSPHATE,CHLOROQUINE PHOSPHATE,Autoimmune,CHRONIC,chemical,CHEMBL58510,,Ferriprotoporphyrin IX,Ferriprotoporphyrin IX inhibitor,INHIBITOR,CHEMBL613897,1,direct
CHLOROTHIAZIDE SODIUM,CHLOROTHIAZIDE SODIUM,Cardiovascular,CHRONIC,chemical,CHEMBL1200616,SLC12A3,Solute carrier family 12 member 3,Thiazide-sensitive sodium-chloride cotransporter inhibitor,INHIBITOR,CHEMBL1876,1,direct
CHLORPHENIRAMINE MALEATE,CHLORPHENIRAMINE MALEATE,Respiratory,PERIODIC,chemical,CHEMBL1659,HRH1,Histamine H1 receptor,Histamine H1 receptor antagonist,ANTAGONIST,CHEMBL231,1,direct
CHLORPHENIRAMINE MALEATE; CODEINE PHOSPHATE,TUXARIN ER,Respiratory,PERIODIC,chemical,CHEMBL1659 | CHEMBL6067642,"HRH1 | OPRK1, OPRD1, OPRM1",Histamine H1 receptor | Opioid receptors; mu/kappa/delta,Histamine H1 receptor antagonist; Opioid receptors; mu/kappa/delta agonist,ANTAGONIST | AGONIST,CHEMBL231; CHEMBL2095181,2,combination
CHLORPHENIRAMINE MALEATE; IBUPROFEN; PHENYLEPHRINE HYDROCHLORIDE,ADVIL ALLERGY AND CONGESTION RELIEF | ADVIL MULTI-SYMPTOM COLD & FLU,Respiratory,PERIODIC,chemical,CHEMBL1659 | CHEMBL521 | CHEMBL1200339,"HRH1 | PTGS2, PTGS1 | ADRA1A, ADRA1D, ADRA1B",Histamine H1 receptor | Cyclooxygenase | Adrenergic receptor alpha-1,Histamine H1 receptor antagonist; Cyclooxygenase inhibitor; Adrenergic receptor alpha-1 agonist,ANTAGONIST | INHIBITOR | AGONIST,CHEMBL231; CHEMBL2094253; CHEMBL2094251,3,combination
CHLORPHENIRAMINE MALEATE; IBUPROFEN; PSEUDOEPHEDRINE HYDROCHLORIDE,ADVIL ALLERGY SINUS | CHILDREN'S ADVIL ALLERGY SINUS,Respiratory,PERIODIC,chemical,CHEMBL1659 | CHEMBL521 | CHEMBL1200724,"HRH1 | PTGS2, PTGS1 | SLC6A2",Histamine H1 receptor | Cyclooxygenase | Sodium-dependent noradrenaline transporter,Histamine H1 receptor antagonist; Cyclooxygenase inhibitor; Norepinephrine transporter releasing agent,ANTAGONIST | INHIBITOR | RELEASING AGENT,CHEMBL231; CHEMBL2094253; CHEMBL222,3,combination
CHLORPHENIRAMINE POLISTIREX; HYDROCODONE POLISTIREX,HYDROCODONE POLISTIREX AND CHLORPHENIRAMINE POLISTIREX,Respiratory,PERIODIC,concept,CHEMBL1201659 | CHEMBL1201470,"HRH1 | OPRK1, OPRD1, OPRM1",Histamine H1 receptor | Opioid receptors; mu/kappa/delta,Histamine H1 receptor antagonist; Opioid receptors; mu/kappa/delta agonist,ANTAGONIST | AGONIST,CHEMBL231; CHEMBL2095181,2,combination
CHLORPROMAZINE HYDROCHLORIDE,CHLORPROMAZINE HYDROCHLORIDE | SONAZINE,Psychiatric,CHRONIC,chemical,CHEMBL1713,"HTR2A | DRD2, DRD3, DRD4",5-hydroxytryptamine receptor 2A | D2-like dopamine receptor,Serotonin 2a (5-HT2a) receptor antagonist; D2-like dopamine receptor antagonist,ANTAGONIST,CHEMBL224; CHEMBL2331075,2,direct
CHLORTHALIDONE,CHLORTHALIDONE | HEMICLOR | THALITONE,Psychiatric,CHRONIC,chemical,CHEMBL1055,SLC12A3,Solute carrier family 12 member 3,Thiazide-sensitive sodium-chloride cotransporter inhibitor,INHIBITOR,CHEMBL1876,1,direct
CHLORZOXAZONE,CHLORZOXAZONE,Pain,SHORT,chemical,CHEMBL1371,KCNN4,Intermediate conductance calcium-activated potassium channel protein 4,Intermediate conductance calcium-activated potassium channel protein 4 opener,OPENER,CHEMBL4305,1,direct
CHOLESTYRAMINE,CHOLESTYRAMINE | CHOLESTYRAMINE LIGHT | LOCHOLEST | LOCHOLEST LIGHT | PREVALITE,Metabolic,CHRONIC,polymer,CHEMBL1201625,,Bile acids,Bile acids sequestering agent,SEQUESTERING AGENT,CHEMBL2364175,1,direct
CHOLIC ACID,CHOLBAM,Other/Unclassified,OTHER,chemical,CHEMBL205596,,,Unknown,,,0,direct
CHOLINE C-11,CHOLINE C-11,Other/Unclassified,OTHER,chemical,CHEMBL2095207,,,Diagnostic agent,,,0,direct
CHOLINE FENOFIBRATE,FENOFIBRIC ACID,Metabolic,CHRONIC,chemical,CHEMBL1201745,PPARA,Peroxisome proliferator-activated receptor alpha,Peroxisome proliferator-activated receptor alpha agonist,AGONIST,CHEMBL239,1,direct
CHROMIC CHLORIDE,CHROMIC CHLORIDE | CHROMIC CHLORIDE IN PLASTIC CONTAINER,Other/Unclassified,OTHER,chemical,,,,,,,0,not_found
CICLESONIDE,ALVESCO | OMNARIS,Respiratory,CHRONIC,chemical,CHEMBL2040682,NR3C1,Glucocorticoid receptor,Glucocorticoid receptor agonist,AGONIST,CHEMBL2034,1,direct
CICLOPIROX,CICLOPIROX | LOPROX,Infectious,SHORT,chemical,CHEMBL1413,,Iron | Aluminium,Iron chelating agent; Aluminium chelating agent,CHELATING AGENT,CHEMBL2363058; CHEMBL2366381,2,direct
CIDOFOVIR,CIDOFOVIR,Infectious,SHORT,chemical,CHEMBL5314375,,DNA polymerase catalytic subunit,Human herpesvirus 1 DNA polymerase inhibitor,INHIBITOR,CHEMBL1872,1,direct
CILASTATIN SODIUM; IMIPENEM,IMIPENEM AND CILASTATIN | PRIMAXIN,Metabolic,CHRONIC,chemical,CHEMBL1201057 | CHEMBL43708,"DPEP1 | dacB, ftsI, mrcA, mrcB, dacA, mrdA, dacC",Dipeptidase 1 | Bacterial penicillin-binding protein,Renal dipeptidase inhibitor; Bacterial penicillin-binding protein inhibitor,INHIBITOR,CHEMBL1989; CHEMBL2354204,2,combination
CILASTATIN SODIUM; IMIPENEM; RELEBACTAM,RECARBRIO,Metabolic,CHRONIC,chemical,CHEMBL1201057 | CHEMBL43708 | CHEMBL3301605,"DPEP1 | dacB, ftsI, mrcA, mrcB, dacA, mrdA, dacC | bla | bla, blaT-3, blaT-4, blaT-5, blaT-6 | ampC | blaUOE-1",Dipeptidase 1 | Bacterial penicillin-binding protein | Beta-lactamase SHV-1 | Beta-lactamase TEM | Beta-lactamase | Carbapenem-hydrolyzing beta-lactamase KPC | Beta-lactamase CTX-M,Renal dipeptidase inhibitor; Bacterial penicillin-binding protein inhibitor; Beta-lactamase SHV-1 inhibitor; Bacterial beta-lactamase TEM inhibitor; Beta-lactamase inhibitor; Carbapenem-hydrolyzing beta-lactamase KPC inhibitor; Beta-lactamase CTX-M inhibitor,INHIBITOR,CHEMBL1989; CHEMBL2354204; CHEMBL5094; CHEMBL2364670; CHEMBL5031; CHEMBL2725; CHEMBL3562180; CHEMBL6131,8,combination
CILOSTAZOL,CILOSTAZOL,Cardiovascular,CHRONIC,chemical,CHEMBL799,PDE3A,"cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A",Phosphodiesterase 3A inhibitor,INHIBITOR,CHEMBL241,1,direct
CIMETIDINE,CIMETIDINE | TAGAMET HB,GI,CHRONIC,chemical,CHEMBL30,HRH2,Histamine H2 receptor,Histamine H2 receptor antagonist,ANTAGONIST,CHEMBL1941,1,direct
CIMETIDINE HYDROCHLORIDE,CIMETIDINE HYDROCHLORIDE,GI,CHRONIC,chemical,CHEMBL1201051,HRH2,Histamine H2 receptor,Histamine H2 receptor antagonist,ANTAGONIST,CHEMBL1941,1,direct
CINACALCET HYDROCHLORIDE,CINACALCET HYDROCHLORIDE,Metabolic,CHRONIC,chemical,CHEMBL1200776,CASR,Extracellular calcium-sensing receptor,Calcium sensing receptor positive allosteric modulator,POSITIVE ALLOSTERIC MODULATOR,CHEMBL1878,1,direct
CIPROFLOXACIN,CIPRO | CIPROFLOXACIN | CIPROFLOXACIN IN DEXTROSE 5% IN PLASTIC CONTAINER,Infectious,SHORT,chemical,CHEMBL8,"gyrB, gyrA | parC, parE",Bacterial DNA gyrase | Topoisomerase IV,Bacterial DNA gyrase inhibitor; Topoisomerase IV inhibitor,INHIBITOR,CHEMBL2311224; CHEMBL2363076,2,direct
CIPROFLOXACIN HYDROCHLORIDE,CETRAXAL | CILOXAN | CIPRO | CIPROFLOXACIN HYDROCHLORIDE,Infectious,SHORT,chemical,CHEMBL1202,"gyrB, gyrA | parC, parE",Bacterial DNA gyrase | Topoisomerase IV,Bacterial DNA gyrase inhibitor; Topoisomerase IV inhibitor,INHIBITOR,CHEMBL2311224; CHEMBL2363076,2,direct
CIPROFLOXACIN HYDROCHLORIDE; FLUOCINOLONE ACETONIDE,OTOVEL,Infectious,SHORT,chemical,CHEMBL1202 | CHEMBL989,"gyrB, gyrA | parC, parE | NR3C1",Bacterial DNA gyrase | Topoisomerase IV | Glucocorticoid receptor,Bacterial DNA gyrase inhibitor; Topoisomerase IV inhibitor; Glucocorticoid receptor agonist,INHIBITOR | AGONIST,CHEMBL2311224; CHEMBL2363076; CHEMBL2034,3,combination
CIPROFLOXACIN HYDROCHLORIDE; HYDROCORTISONE,CIPRO HC | CIPROFLOXACIN HYDROCHLORIDE AND HYDROCORTISONE,Infectious,SHORT,chemical,CHEMBL1202 | CHEMBL389621,"gyrB, gyrA | parC, parE | NR3C1",Bacterial DNA gyrase | Topoisomerase IV | Glucocorticoid receptor,Bacterial DNA gyrase inhibitor; Topoisomerase IV inhibitor; Glucocorticoid receptor agonist,INHIBITOR | AGONIST,CHEMBL2311224; CHEMBL2363076; CHEMBL2034,3,combination
CIPROFLOXACIN; CIPROFLOXACIN HYDROCHLORIDE,CIPROFLOXACIN EXTENDED RELEASE,Infectious,SHORT,chemical,CHEMBL8 | CHEMBL1202,"gyrB, gyrA | parC, parE",Bacterial DNA gyrase | Topoisomerase IV,Bacterial DNA gyrase inhibitor; Topoisomerase IV inhibitor,INHIBITOR,CHEMBL2311224; CHEMBL2363076,2,combination
CIPROFLOXACIN; DEXAMETHASONE,CIPRODEX | CIPROFLOXACIN AND DEXAMETHASONE,Infectious,SHORT,chemical,CHEMBL8 | CHEMBL384467,"gyrB, gyrA | parC, parE | NR3C1",Bacterial DNA gyrase | Topoisomerase IV | Glucocorticoid receptor,Bacterial DNA gyrase inhibitor; Topoisomerase IV inhibitor; Glucocorticoid receptor agonist,INHIBITOR | AGONIST,CHEMBL2311224; CHEMBL2363076; CHEMBL2034,3,combination
CISATRACURIUM BESYLATE,CISATRACURIUM BESYLATE | CISATRACURIUM BESYLATE PRESERVATIVE FREE,Other,SHORT,chemical,CHEMBL1200641,"CHRNA1, CHRNG, CHRNB1, CHRND, CHRNE",Muscle-type nicotinic acetylcholine receptor,Muscle-type nicotinic acetylcholine receptor antagonist,ANTAGONIST,CHEMBL2362997,1,direct
CISPLATIN,CISPLATIN,Oncology,SHORT,chemical,CHEMBL11359,,DNA,DNA inhibitor,INHIBITOR,CHEMBL2311221,1,direct
CITALOPRAM HYDROBROMIDE,CELEXA | CITALOPRAM HYDROBROMIDE,Psychiatric,CHRONIC,chemical,CHEMBL1200781,SLC6A4,Sodium-dependent serotonin transporter,Serotonin transporter inhibitor,INHIBITOR,CHEMBL228,1,direct
CITRIC ACID; GLUCONOLACTONE; MAGNESIUM CARBONATE,RENACIDIN,Other/Unclassified,OTHER,chemical,CHEMBL1200736,,,Neutralises acid,,,0,component
CITRIC ACID; LACTIC ACID; POTASSIUM BITARTRATE,PHEXX,Other/Unclassified,OTHER,chemical,CHEMBL1200559,,,pH lowering agent,,,0,component
CITRIC ACID; MAGNESIUM OXIDE; SODIUM PICOSULFATE,"CLENPIQ | SODIUM PICOSULFATE, MAGNESIUM OXIDE AND ANHYDROUS CITRIC ACID",Other/Unclassified,OTHER,chemical,CHEMBL1697768,,,Stimulant laxative,,,0,component
CITRIC ACID; UREA C-13,IDKIT:HP,Other/Unclassified,OTHER,chemical,CHEMBL2096648,,,Diagnostic agent,,,0,component
CLADRIBINE,CLADRIBINE | MAVENCLAD,Neurology,LONG-TERM,chemical,CHEMBL1619,,DNA,DNA inhibitor,INHIBITOR,CHEMBL2311221,1,direct
CLARITHROMYCIN,CLARITHROMYCIN,Infectious,SHORT,chemical,CHEMBL1741,"rpsB, rplD, rpsA, rpsJ, rpsK, rpsL, rpsM, rpsN, rpsO, rpsP, rpsQ, rpsR, rpsS, rpsT, rpsU, rpsC, rpsD, rpsE, rpsF, rpsG, rpsH, rpsI, rplJ, rplK, rplM, rplN, rplO, rplP, rplQ, rplR, rplS, rplA, rplT, rplU, rplV, rplW, rplX, rplY, rpmA, rpmB, rpmC, rplB, rpmD, ykgM, rpmE, rpmF, rpmG, rpmH, rpmI, ykgO, rpmJ, rplC, rplE, rplF, rplL",Bacterial 70S ribosome,Bacterial 70S ribosome inhibitor,INHIBITOR,CHEMBL2363135,1,direct
CLASCOTERONE,WINLEVI,Other/Unclassified,OTHER,chemical,CHEMBL3590187,AR,Androgen receptor,Androgen Receptor antagonist,ANTAGONIST,CHEMBL1871,1,direct
CLEMASTINE FUMARATE,CLEMASTINE FUMARATE,Respiratory,PERIODIC,chemical,CHEMBL1200795,HRH1,Histamine H1 receptor,Histamine H1 receptor antagonist,ANTAGONIST,CHEMBL231,1,direct
CLEVIDIPINE,CLEVIPREX,Cardiovascular,CHRONIC,chemical,CHEMBL1237132,"CACNA1C, CACNA1S, CACNA1D, CACNA1F",Voltage-gated L-type calcium channel,Voltage-gated L-type calcium channel blocker,BLOCKER,CHEMBL2095229,1,direct
CLINDAMYCIN HYDROCHLORIDE,CLEOCIN HYDROCHLORIDE | CLINDAMYCIN HYDROCHLORIDE,Infectious,SHORT,chemical,CHEMBL1200588,"rpsB, rplD, rpsA, rpsJ, rpsK, rpsL, rpsM, rpsN, rpsO, rpsP, rpsQ, rpsR, rpsS, rpsT, rpsU, rpsC, rpsD, rpsE, rpsF, rpsG, rpsH, rpsI, rplJ, rplK, rplM, rplN, rplO, rplP, rplQ, rplR, rplS, rplA, rplT, rplU, rplV, rplW, rplX, rplY, rpmA, rpmB, rpmC, rplB, rpmD, ykgM, rpmE, rpmF, rpmG, rpmH, rpmI, ykgO, rpmJ, rplC, rplE, rplF, rplL",Bacterial 70S ribosome,Bacterial 70S ribosome inhibitor,INHIBITOR,CHEMBL2363135,1,direct
CLINDAMYCIN PALMITATE HYDROCHLORIDE,CLEOCIN | CLINDAMYCIN PALMITATE HYDROCHLORIDE,Infectious,SHORT,chemical,CHEMBL1200632,"rpsB, rplD, rpsA, rpsJ, rpsK, rpsL, rpsM, rpsN, rpsO, rpsP, rpsQ, rpsR, rpsS, rpsT, rpsU, rpsC, rpsD, rpsE, rpsF, rpsG, rpsH, rpsI, rplJ, rplK, rplM, rplN, rplO, rplP, rplQ, rplR, rplS, rplA, rplT, rplU, rplV, rplW, rplX, rplY, rpmA, rpmB, rpmC, rplB, rpmD, ykgM, rpmE, rpmF, rpmG, rpmH, rpmI, ykgO, rpmJ, rplC, rplE, rplF, rplL",Bacterial 70S ribosome,Bacterial 70S ribosome inhibitor,INHIBITOR,CHEMBL2363135,1,direct
CLINDAMYCIN PHOSPHATE,CLEOCIN | CLEOCIN PHOSPHATE | CLEOCIN T | CLINDAGEL | CLINDAMYCIN PHOSPHATE | CLINDAMYCIN PHOSPHATE IN 0.9% SODIUM CHLORIDE | CLINDAMYCIN PHOSPHATE IN 5% DEXTROSE IN PLASTIC CONTAINER | CLINDAMYCIN PHOSPHATE IN DEXTROSE 5% | CLINDESSE | XACIATO,Infectious,SHORT,chemical,CHEMBL3184512,"rpsB, rplD, rpsA, rpsJ, rpsK, rpsL, rpsM, rpsN, rpsO, rpsP, rpsQ, rpsR, rpsS, rpsT, rpsU, rpsC, rpsD, rpsE, rpsF, rpsG, rpsH, rpsI, rplJ, rplK, rplM, rplN, rplO, rplP, rplQ, rplR, rplS, rplA, rplT, rplU, rplV, rplW, rplX, rplY, rpmA, rpmB, rpmC, rplB, rpmD, ykgM, rpmE, rpmF, rpmG, rpmH, rpmI, ykgO, rpmJ, rplC, rplE, rplF, rplL",Bacterial 70S ribosome,Bacterial 70S ribosome inhibitor,INHIBITOR,CHEMBL2363135,1,direct
CLINDAMYCIN PHOSPHATE; TRETINOIN,CLINDAMYCIN PHOSPHATE AND TRETINOIN | VELTIN | ZIANA,Infectious,SHORT,chemical,CHEMBL3184512 | CHEMBL38,"rpsB, rplD, rpsA, rpsJ, rpsK, rpsL, rpsM, rpsN, rpsO, rpsP, rpsQ, rpsR, rpsS, rpsT, rpsU, rpsC, rpsD, rpsE, rpsF, rpsG, rpsH, rpsI, rplJ, rplK, rplM, rplN, rplO, rplP, rplQ, rplR, rplS, rplA, rplT, rplU, rplV, rplW, rplX, rplY, rpmA, rpmB, rpmC, rplB, rpmD, ykgM, rpmE, rpmF, rpmG, rpmH, rpmI, ykgO, rpmJ, rplC, rplE, rplF, rplL | RARG, RARB, RARA",Bacterial 70S ribosome | Retinoic acid receptor,Bacterial 70S ribosome inhibitor; Retinoic acid receptor agonist,INHIBITOR | AGONIST,CHEMBL2363135; CHEMBL2363069,2,combination
CLOBAZAM,CLOBAZAM | ONFI | SYMPAZAN,Neurology,CHRONIC,chemical,CHEMBL70418,"GABRA1, GABRB2, GABRG2, GABRB3, GABRA4, GABRG3, GABRQ, GABRA3, GABRP, GABRD, GABRG1, GABRB1, GABRE, GABRA2, GABRA5, GABRA6",GABA-A receptor; anion channel,GABA-A receptor; anion channel positive allosteric modulator,POSITIVE ALLOSTERIC MODULATOR,CHEMBL2093872,1,direct
CLOBETASOL PROPIONATE,BYQLOVI | CLOBETASOL PROPIONATE | CLOBETASOL PROPIONATE (EMOLLIENT) | CLOBEX | IMPOYZ,Dermatology,CHRONIC,chemical,CHEMBL1159650,NR3C1,Glucocorticoid receptor,Glucocorticoid receptor agonist,AGONIST,CHEMBL2034,1,direct
CLOCORTOLONE PIVALATE,CLOCORTOLONE PIVALATE | CLODERM,Other/Unclassified,OTHER,chemical,CHEMBL1200975,NR3C1,Glucocorticoid receptor,Glucocorticoid receptor agonist,AGONIST,CHEMBL2034,1,direct
CLOFARABINE,CLOFARABINE,Oncology,LONG-TERM,chemical,CHEMBL1750,"RRM1, RRM2B, RRM2 | POLA1, POLD4, POLD3, POLD1, POLD2, POLE, POLA2, PRIM1, PRIM2, POLE2, POLE3",Ribonucleoside-diphosphate reductase RR1 | DNA | DNA polymerase (alpha/delta/epsilon),Ribonucleoside-diphosphate reductase RR1 inhibitor; DNA inhibitor; DNA polymerase (alpha/delta/epsilon) inhibitor,INHIBITOR,CHEMBL2095215; CHEMBL2311221; CHEMBL2363042,3,direct
CLOMIPHENE CITRATE,CLOMIPHENE CITRATE | MILOPHENE,Metabolic,SHORT,mixture,CHEMBL3185958,ESR1,Estrogen receptor,Estrogen receptor alpha modulator,MODULATOR,CHEMBL206,1,direct
CLOMIPRAMINE HYDROCHLORIDE,ANAFRANIL | CLOMIPRAMINE HYDROCHLORIDE,Psychiatric,CHRONIC,chemical,CHEMBL1200710,SLC6A4,Sodium-dependent serotonin transporter,Serotonin transporter inhibitor,INHIBITOR,CHEMBL228,1,direct
CLONAZEPAM,CLONAZEPAM | KLONOPIN,Psychiatric,CHRONIC,chemical,CHEMBL452,"GABRA1, GABRB2, GABRG2, GABRB3, GABRA4, GABRG3, GABRQ, GABRA3, GABRP, GABRD, GABRG1, GABRB1, GABRE, GABRA2, GABRA5, GABRA6",GABA-A receptor; anion channel,GABA-A receptor; anion channel positive allosteric modulator,POSITIVE ALLOSTERIC MODULATOR,CHEMBL2093872,1,direct
CLONIDINE,CATAPRES-TTS-1 | CATAPRES-TTS-2 | CATAPRES-TTS-3 | CLONIDINE | NEXICLON XR,Cardiovascular,CHRONIC,chemical,CHEMBL134,"ADRA2A, ADRA2C, ADRA2B",Adrenergic receptor alpha-2,Adrenergic receptor alpha-2 agonist,AGONIST,CHEMBL2095158,1,direct
CLONIDINE HYDROCHLORIDE,CLONIDINE HYDROCHLORIDE | DURACLON | JAVADIN | ONYDA XR,Cardiovascular,CHRONIC,chemical,CHEMBL1705,"ADRA2A, ADRA2C, ADRA2B",Adrenergic receptor alpha-2,Adrenergic receptor alpha-2 agonist,AGONIST,CHEMBL2095158,1,direct
CLOPIDOGREL BISULFATE,CLOPIDOGREL BISULFATE | PLAVIX,Cardiovascular,CHRONIC,chemical,CHEMBL1083385,P2RY12,P2Y purinoceptor 12,Purinergic receptor P2Y12 antagonist,ANTAGONIST,CHEMBL2001,1,direct
