Ingredient,Trade_Name(s),Substance_Class,UNII,Disease_Category,Duration_Class,NDA_Count,ANDA_Count,Generic_Competitor_Count,Earliest_Approval,Medicaid_Total_Reimbursed_2023_USD,Medicaid_Total_Reimbursed_2023_USD_M,Medicaid_Total_Prescriptions_2023,Medicaid_Total_Units_2023,NADAC_Avg_Per_Unit_2024_USD,Medicaid_Matched_Product_Names
CABAZITAXEL,CABAZITAXEL | JEVTANA KIT,chemical,51F690397J,Oncology,LONG-TERM,1,2,2,2010-06-17,,,,,,
CABERGOLINE,CABERGOLINE,chemical,LL60K9J05T,Other/Unclassified,OTHER,0,5,5,2005-12-29,,,,,1.3187,
CABOTEGRAVIR,APRETUDE,chemical,HMH0132Z1Q,Infectious,CHRONIC,1,0,0,2021-12-20,98391971.53,98.39,27445,80863,,APRETUDE | APRETUDE ( | APRETUDE E
CABOTEGRAVIR SODIUM,VOCABRIA,chemical,3L12PT535M,Infectious,CHRONIC,1,0,0,2021-01-21,,,,,,VOCABRIA
CABOTEGRAVIR; RILPIVIRINE,CABENUVA KIT,chemical,HMH0132Z1Q | FI96A8X663,Infectious,CHRONIC,1,0,0,2021-01-21,,,,,,
CABOZANTINIB S-MALATE,CABOMETYX | COMETRIQ,chemical,DR7ST46X58,Oncology,LONG-TERM,2,0,0,2012-11-29,205380765.26,205.38,8817,252873,,CABOMETYX | COMETRIQ | COMETRIQ 1 | COMETRIQ 6
CAFFEINE CITRATE,CAFCIT | CAFFEINE CITRATE,chemical,U26EO4675Q,Pain,PERIODIC,1,9,9,1999-09-21,552071.64,0.55,1456,85250,0.0797,CAFCIT | CAFCIT 60 | CAFCIT INJ | CAFFEINE | CAFFEINE &
CAFFEINE; ERGOTAMINE TARTRATE,ERGOTAMINE TARTRATE AND CAFFEINE | MIGERGOT,chemical,3G6A5W338E | MRU5XH3B48,Pain,PERIODIC,0,2,2,1983-10-04,,,,,,MIGERGOT 2
CALCIFEDIOL,RAYALDEE,chemical,P6YZ13C99Q,Other/Unclassified,OTHER,1,0,0,2016-06-17,8267647.24,8.27,5402,217985,38.9343,RAYALDEE | RAYALDEE 3 | RAYALDEE E
CALCIPOTRIENE,CALCIPOTRIENE | DOVONEX | SORILUX,chemical,143NQ3779B,Dermatology,CHRONIC,3,5,5,1993-12-29,290025.91,0.29,205,21060,1.8231,DOVONEX | DOVONEX 0. | SORILUX | SORILUX .0 | SORILUX 0.
CALCITONIN SALMON,CALCITONIN-SALMON | MIACALCIN,protein,7SFC6U2VI5,Metabolic,CHRONIC,1,10,10,1991-03-29,1367559.74,1.37,18589,74977,12.7506,CALCITONIN | MIACALCIN
CALCITRIOL,CALCITRIOL | ROCALTROL | VECTICAL,chemical,FXC9231JVH,Metabolic,CHRONIC,3,11,16,1998-11-20,22929965.86,22.93,942373,23542752,3.0760,CALCITRIOL | ROCALTROL | VECTICAL 3 | VECTICAL O
CALCIUM ACETATE,CALCIUM ACETATE,chemical,Y882YXF34X,Metabolic,CHRONIC,0,9,9,2008-02-26,43422650.69,43.42,645593,84690746,0.1029,CALCIUM | CALCIUM +D | CALCIUM 25 | CALCIUM 50 | CALCIUM 60
CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,"FAMOTIDINE, CALCIUM CARBONATE, AND MAGNESIUM HYDROXIDE | PEPCID COMPLETE",chemical,H0G9379FGK | 5QZO15J2Z8 | NBZ3QY004S,GI,PERIODIC,1,1,1,2000-10-16,,,,,,
CALCIUM CHLORIDE,CALCIUM CHLORIDE 10% | CALCIUM CHLORIDE 10% IN PLASTIC CONTAINER,chemical,M4I0D6VV5M,Other/Unclassified,OTHER,1,7,7,2000-01-28,,,,,,
CALCIUM CHLORIDE; DEXTROSE; GLUTATHIONE DISULFIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE,BSS PLUS,mixture,M4I0D6VV5M | IY9XDZ35W2 | ULW86O013H | 02F3473H9O | 660YQ98I10 | 8MDF5V39QO | 451W47IQ8X | SE337SVY37,Other,SHORT,1,0,0,,2318406.77,2.32,1618,426719,,BSS PLUS | BSS PLUS E
CALCIUM CHLORIDE; DEXTROSE; LACTIC ACID; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE,PRISMASOL B22GK 4/0 IN PLASTIC CONTAINER | PRISMASOL BGK 0/2.5 IN PLASTIC CONTAINER | PRISMASOL BGK 2/0 IN PLASTIC CONTAINER | PRISMASOL BGK 2/3.5 IN PLASTIC CONTAINER | PRISMASOL BGK 4/0/1.2 IN PLASTIC CONTAINER | PRISMASOL BGK 4/2.5 IN PLASTIC CONTAINER | PRISMASOL BK 0/0/1.2 IN PLASTIC CONTAINER,mixture,M4I0D6VV5M | IY9XDZ35W2 | 3B8D35Y7S4 | 02F3473H9O | 660YQ98I10 | 8MDF5V39QO | 451W47IQ8X,Other,SHORT,1,0,0,2006-10-25,,,,,,
CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,DELFLEX W/ DEXTROSE 1.5% IN PLASTIC CONTAINER | DELFLEX W/ DEXTROSE 1.5% LOW MAGNESIUM IN PLASTIC CONTAINER | DELFLEX W/ DEXTROSE 1.5% LOW MAGNESIUM LOW CALCIUM IN PLASTIC CONTAINER | DELFLEX W/ DEXTROSE 2.5% IN PLASTIC CONTAINER | DELFLEX W/ DEXTROSE 2.5% LOW MAGNESIUM IN PLASTIC CONTAINER | DELFLEX W/ DEXTROSE 2.5% LOW MAGNESIUM LOW CALCIUM IN PLASTIC CONTAINER | DELFLEX W/ DEXTROSE 4.25% IN PLASTIC CONTAINER | DELFLEX W/ DEXTROSE 4.25% LOW MAGNESIUM IN PLASTIC CONTAINER | DELFLEX W/ DEXTROSE 4.25% LOW MAGNESIUM LOW CALCIUM IN PLASTIC CONTAINER | DIANEAL LOW CALCIUM W/ DEXTROSE 1.5% IN PLASTIC CONTAINER | DIANEAL LOW CALCIUM W/ DEXTROSE 2.5% IN PLASTIC CONTAINER | DIANEAL LOW CALCIUM W/ DEXTROSE 4.25% IN PLASTIC CONTAINER | DIANEAL LOW CALCIUM W/DEXTROSE 1.5% IN PLASTIC CONTAINER | DIANEAL LOW CALCIUM W/DEXTROSE 2.5% IN PLASTIC CONTAINER | DIANEAL LOW CALCIUM W/DEXTROSE 3.5% IN PLASTIC CONTAINER | DIANEAL LOW CALCIUM W/DEXTROSE 4.25% IN PLASTIC CONTAINER | DIANEAL PD-2 W/ DEXTROSE 1.5% IN PLASTIC CONTAINER | DIANEAL PD-2 W/ DEXTROSE 2.5% IN PLASTIC CONTAINER | DIANEAL PD-2 W/ DEXTROSE 4.25% IN PLASTIC CONTAINER,mixture,M4I0D6VV5M | IY9XDZ35W2 | 02F3473H9O | 451W47IQ8X | TU7HW0W0QT,Other,SHORT,5,0,0,1984-11-30,,,,,,
"CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM SULFATE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE",ELLIOTTS B SOLUTION,mixture,M4I0D6VV5M | IY9XDZ35W2 | DE08037SAB | 660YQ98I10 | 8MDF5V39QO | 451W47IQ8X | 70WT22SF4B,Other,SHORT,1,0,0,1996-09-27,,,,,,
CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,DEXTROSE 2.5% IN HALF-STRENGTH LACTATED RINGER'S IN PLASTIC CONTAINER | DEXTROSE 5% AND LACTATED RINGER'S | DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER | DEXTROSE 5% IN LACTATED RINGER'S IN PLASTIC CONTAINER | LACTATED RINGER'S AND DEXTROSE 5% IN PLASTIC CONTAINER | POTASSIUM CHLORIDE 10MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER | POTASSIUM CHLORIDE 15MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER | POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER | POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER | POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER | POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND LACTATED RINGER'S IN PLASTIC CONTAINER,mixture,M4I0D6VV5M | IY9XDZ35W2 | 660YQ98I10 | 451W47IQ8X | TU7HW0W0QT,Other,SHORT,5,1,1,1985-04-05,,,,,,
CALCIUM CHLORIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE,TPN ELECTROLYTES IN PLASTIC CONTAINER,chemical,M4I0D6VV5M | 02F3473H9O | 660YQ98I10 | 4550K0SC9B | 451W47IQ8X,Metabolic,CHRONIC,1,0,0,1984-07-20,,,,,,
CALCIUM CHLORIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM CITRATE,BALANCED SALT | BSS,mixture,M4I0D6VV5M | 02F3473H9O | 660YQ98I10 | 4550K0SC9B | 451W47IQ8X | 1Q73Q2JULR,Metabolic,CHRONIC,1,1,1,1997-12-10,7090134.18,7.09,9354,701000,,BSS
CALCIUM CHLORIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE,PHOXILLUM B22K 4/0 IN PLASTIC CONTAINER | PHOXILLUM BK 4/2.5 IN PLASTIC CONTAINER,mixture,M4I0D6VV5M | 02F3473H9O | 660YQ98I10 | 8MDF5V39QO | 451W47IQ8X | SE337SVY37,Metabolic,CHRONIC,1,0,0,2015-01-13,,,,,,
CALCIUM CHLORIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,CARDIOPLEGIC IN PLASTIC CONTAINER | PLEGISOL IN PLASTIC CONTAINER,chemical,M4I0D6VV5M | 02F3473H9O | 660YQ98I10 | 451W47IQ8X,Metabolic,CHRONIC,1,2,2,1982-02-26,,,,,,
CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,RINGER'S IN PLASTIC CONTAINER,chemical,M4I0D6VV5M | 660YQ98I10 | 451W47IQ8X,Metabolic,CHRONIC,6,0,0,1982-02-19,,,,,,
CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,LACTATED RINGER'S IN PLASTIC CONTAINER,chemical,M4I0D6VV5M | 660YQ98I10 | 451W47IQ8X | TU7HW0W0QT,Metabolic,CHRONIC,7,1,1,1982-02-19,,,,,,
CALCIUM GLUCONATE,CALCIUM GLUCONATE | CALCIUM GLUCONATE IN SODIUM CHLORIDE,chemical,SQE6VB453K,Metabolic,CHRONIC,2,7,16,2017-06-15,,,,,,
CALCIUM OXYBATE; MAGNESIUM OXYBATE; POTASSIUM OXYBATE; SODIUM OXYBATE,XYWAV,chemical,8W24SYD6ZI | G983HLV265 | S8NKF3H3KT | 7G33012534,Other/Unclassified,OTHER,1,0,0,2020-07-21,257889428.66,257.89,17788,7881750,,XYWAV | XYWAV  CAL | XYWAV (CAL | XYWAV 0.5
CANAGLIFLOZIN,CANAGLIFLOZIN | INVOKANA,chemical,0SAC974Z85,Metabolic,CHRONIC,1,1,2,2013-03-29,230113149.18,230.11,287236,11890928,19.1604,INVOKANA | INVOKANA 1 | INVOKANA 3
CANAGLIFLOZIN; METFORMIN HYDROCHLORIDE,INVOKAMET | INVOKAMET XR,chemical,0SAC974Z85 | 786Z46389E,Metabolic,CHRONIC,2,0,0,2014-08-08,12557472.42,12.56,17050,1307810,9.5657,INVOKAMET
CANDESARTAN CILEXETIL,ATACAND | CANDESARTAN CILEXETIL,chemical,R85M2X0D68,Cardiovascular,CHRONIC,1,6,19,1998-06-04,,,,,3.8810,ATACAND | ATACAND  C | ATACAND (C | ATACAND 16 | ATACAND 4
CANDESARTAN CILEXETIL; HYDROCHLOROTHIAZIDE,ATACAND HCT | CANDESARTAN CILEXETIL AND HYDROCHLOROTHIAZIDE,chemical,R85M2X0D68 | 0J48LPH2TH,Cardiovascular,CHRONIC,1,5,15,2000-09-05,,,,,,
CANGRELOR,CANGRELOR | KENGREAL,chemical,6AQ1Y404U7,Other/Unclassified,OTHER,1,2,2,2015-06-22,,,,,,KENGREAL | KENGREAL 5 | KENGREAL F
CANNABIDIOL,EPIDIOLEX,chemical,19GBJ60SN5,Neurology,CHRONIC,1,0,0,2018-09-28,951411488.38,951.41,293003,62449270,,EPIDIOLEX
CANTHARIDIN,YCANTH,chemical,IGL471WQ8P,Other/Unclassified,OTHER,1,0,0,2023-07-21,53919.49,0.05,67,40,,YCANTH | YCANTH 0.7 | YCANTH TOP
CAPECITABINE,CAPECITABINE,chemical,6804DJ8Z9U,Infectious,CHRONIC,0,11,22,2013-09-16,,,,,0.3617,
CAPIVASERTIB,TRUQAP,chemical,WFR23M21IE,Other/Unclassified,OTHER,1,0,0,2023-11-16,,,,,,TRUQAP | TRUQAP 200 | TRUQAP TAB
CAPMATINIB HYDROCHLORIDE,TABRECTA,chemical,C2A374O70X,Oncology,LONG-TERM,1,0,0,2020-05-06,8708206.39,8.71,456,46440,,TABRECTA | TABRECTA 2 | TABRECTA T
CAPSAICIN,QUTENZA,chemical,S07O44R1ZM,Other/Unclassified,OTHER,1,0,0,2009-11-16,6482268.08,6.48,101830,6176228,0.1124,CAPSAICIN | QUTENZA | QUTENZA (C | QUTENZA 8%
CAPTOPRIL,CAPTOPRIL,chemical,9G64RSX1XD,Cardiovascular,CHRONIC,0,7,28,1996-02-13,1146732.16,1.15,27390,1860625,0.4309,CAPTOPRIL
CAPTOPRIL; HYDROCHLOROTHIAZIDE,CAPTOPRIL AND HYDROCHLOROTHIAZIDE,chemical,9G64RSX1XD | 0J48LPH2TH,Cardiovascular,CHRONIC,0,1,4,1997-12-29,,,,,,
CARBACHOL,MIOSTAT,chemical,8Y164V895Y,Other/Unclassified,OTHER,1,0,0,,101497.02,0.10,490,599,,MIOSTAT | MIOSTAT VI
CARBAMAZEPINE,CARBAMAZEPINE | CARBATROL | EPITOL | EQUETRO | TEGRETOL | TEGRETOL-XR | TERIL,chemical,33CM23913M,Psychiatric,CHRONIC,5,30,64,1986-09-17,51172682.84,51.17,164484,28490308,1.7292,CARBATROL | EPITOL | EPITOL 200 | EQUETRO | EQUETRO 10
CARBIDOPA,CARBIDOPA | LODOSYN,chemical,MNX7R8C5VO,Neurology,CHRONIC,1,5,5,2016-02-17,2855813.31,2.86,92258,13890169,0.8392,CARBIDOPA
CARBIDOPA; ENTACAPONE; LEVODOPA,"CARBIDOPA, LEVODOPA AND ENTACAPONE | STALEVO 100 | STALEVO 125 | STALEVO 150 | STALEVO 200 | STALEVO 50 | STALEVO 75",chemical,MNX7R8C5VO | 4975G9NM6T | 46627O600J,Neurology,CHRONIC,1,3,18,2003-06-11,,,,,,
CARBIDOPA; LEVODOPA,CARBIDOPA AND LEVODOPA | CREXONT | DHIVY | DUOPA | RYTARY | SINEMET,chemical,MNX7R8C5VO | 46627O600J,Neurology,CHRONIC,5,18,40,1992-08-28,3969922.76,3.97,2518,404347,3.5633,DHIVY | DHIVY 25 M | DUOPA | DUOPA 4.63 | DUOPA FILL
CARBINOXAMINE MALEATE,CARBINOXAMINE MALEATE | KARBINAL ER,chemical,02O55696WH,Other/Unclassified,OTHER,1,5,5,2003-03-19,,,,,0.8912,
CARBOPLATIN,CARBOPLATIN | KYXATA,chemical,BG3F62OND5,Oncology,SHORT,1,14,45,2004-10-14,,,,,,
CARBOPROST TROMETHAMINE,CARBOPROST TROMETHAMINE | HEMABATE,chemical,U4526F86FJ,Metabolic,SHORT,1,12,12,2019-07-02,,,,,,CARBOPROST | HEMABATE | HEMABATE 1 | HEMABATE 2 | HEMABATE S
CARFILZOMIB,CARFILZOMIB | KYPROLIS,chemical,72X6E3J5AR,Oncology,LONG-TERM,1,1,1,2012-07-20,82378998.49,82.38,28680,60335,,KYPROLIS | KYPROLIS ( | KYPROLIS 1 | KYPROLIS 3 | KYPROLIS 6
CARGLUMIC ACID,CARBAGLU | CARGLUMIC ACID,chemical,5L0HB4V1EW,Other/Unclassified,OTHER,1,2,2,2010-03-18,37032604.32,37.03,754,198005,,CARBAGLU | CARBAGLU 2 | CARBAGLU T | CARGLUMIC
CARIPRAZINE HYDROCHLORIDE,VRAYLAR,chemical,KQD7C255YG,Other/Unclassified,OTHER,1,0,0,2015-09-17,2448074083.12,2448.07,1825200,55713188,46.2548,VRAYLAR | VRAYLAR  C | VRAYLAR (C | VRAYLAR 1. | VRAYLAR 3
CARISOPRODOL,CARISOPRODOL | SOMA,chemical,21925K482H,Pain,SHORT,1,13,16,1982-04-20,52629.47,0.05,85,7169,3.6702,SOMA | SOMA 250 | SOMA 350 M
CARMUSTINE,BICNU | CARMUSTINE | GLIADEL,chemical,U68WG3173Y,Oncology,SHORT,2,7,7,1996-09-23,,,,,,BICNU | BICNU 100M | CARMUSTINE
CARTEOLOL HYDROCHLORIDE,CARTEOLOL HYDROCHLORIDE,chemical,4797W6I0T4,Cardiovascular,CHRONIC,0,1,1,2000-01-03,26303.99,0.03,1051,6235,1.2911,CARTEOLOL
CARVEDILOL,CARVEDILOL | COREG,chemical,0K47UL67F2,Cardiovascular,CHRONIC,1,10,40,1995-09-14,58799708.78,58.80,4983432,459074157,2.5341,CARVEDILOL | COREG | COREG 25 M | COREG CARV | COREG CR C
CARVEDILOL PHOSPHATE,CARVEDILOL PHOSPHATE | COREG CR,chemical,EQT531S367,Cardiovascular,CHRONIC,1,2,8,2006-10-20,99591.18,0.10,138,4650,,COREG CR | COREG CR 1 | COREG CR 2 | COREG CR 4 | COREG CR 8
CASIMERSEN,AMONDYS 45,nucleicAcid,X8UHF7SX0R,Other/Unclassified,OTHER,1,0,0,2021-02-25,236106939.48,236.11,4973,285279,,AMONDYS 45
CASPOFUNGIN ACETATE,CASPOFUNGIN ACETATE,chemical,VUW370O5QE,Infectious,SHORT,1,3,6,2016-12-30,,,,,,
CEDAZURIDINE; DECITABINE,INQOVI,chemical,39IS23Q1EW | 776B62CQ27,Infectious,CHRONIC,1,0,0,2020-07-07,2095362.22,2.10,270,1296,,INQOVI | INQOVI 100 | INQOVI 35
CEFACLOR,CEFACLOR,chemical,69K7K19H4L,Other/Unclassified,OTHER,0,3,8,2002-09-04,94016.71,0.09,2297,58168,0.9340,CEFACLOR | CEFACLOR 2 | CEFACLOR 5 | CEFACLOR C | CEFACLOR E
CEFADROXIL/CEFADROXIL HEMIHYDRATE,CEFADROXIL,unknown,,Infectious,SHORT,0,6,8,1987-04-08,6183751.75,6.18,291910,13586643,0.9223,CEFADROXIL
CEFAZOLIN SODIUM,CEFAZOLIN AND DEXTROSE | CEFAZOLIN IN DEXTROSE | CEFAZOLIN SODIUM,chemical,P380M0454Z,Infectious,SHORT,4,8,16,1988-12-09,333840839.58,333.84,774166,20653395,0.9982,CEFAZOLIN
CEFDINIR,CEFDINIR,chemical,CI0FAO63WC,Infectious,SHORT,0,12,18,2006-05-19,126026571.49,126.03,6184327,381550088,0.2151,CEFDINIR | CEFDINIR 1 | CEFDINIR 2 | CEFDINIR 3 | CEFDINIR C
CEFEPIME HYDROCHLORIDE,CEFEPIME AND DEXTROSE IN DUPLEX CONTAINER | CEFEPIME HYDROCHLORIDE | CEFEPIME HYDROCHLORIDE IN PLASTIC CONTAINER | CEFEPIME IN PLASTIC CONTAINER,chemical,I8X1O0607P,Infectious,SHORT,2,5,10,2008-03-20,22924051.09,22.92,144211,4003351,4.5711,CEFEPIME | CEFEPIME 1 | CEFEPIME 2 | CEFEPIME F | CEFEPIME H
CEFEPIME HYDROCHLORIDE; ZIDEBACTAM,ZAYNICH,chemical,I8X1O0607P | YPM97423DB,Infectious,SHORT,1,0,0,2026-05-29,,,,,,
CEFIDEROCOL SULFATE TOSYLATE,FETROJA,chemical,TTP8LBP45D,Other/Unclassified,OTHER,1,0,0,2019-11-14,2844513.01,2.84,1605,14696,,FETROJA | FETROJA  C | FETROJA (C | FETROJA 1
CEFIXIME,CEFIXIME | SUPRAX,chemical,97I1C92E55,Infectious,SHORT,2,9,13,2007-04-10,2453032.39,2.45,24683,561899,5.8484,CEFIXIME | CEFIXIME 1 | CEFIXIME 2 | CEFIXIME 4 | CEFIXIME F
CEFOTETAN DISODIUM,CEFOTAN | CEFOTETAN,chemical,0GXP746VXB,Other/Unclassified,OTHER,1,1,2,1985-12-27,169528.73,0.17,971,1722,,CEFOTETAN
CEFOXITIN SODIUM,CEFOXITIN | CEFOXITIN AND DEXTROSE IN DUPLEX CONTAINER | CEFOXITIN IN PLASTIC CONTAINER,chemical,Q68050H03T,Other/Unclassified,OTHER,1,7,10,2000-09-11,4722980.75,4.72,18438,234836,,CEFOXITIN
CEFPODOXIME PROXETIL,CEFPODOXIME PROXETIL,chemical,2TB00A1Z7N,Infectious,SHORT,0,5,10,2007-06-08,,,,,1.0686,
CEFPROZIL,CEFPROZIL,mixture,4W0459ZA4V,Other/Unclassified,OTHER,0,7,14,2005-11-14,6659305.75,6.66,234249,20826378,0.4489,CEFPROZIL
CEFTAROLINE FOSAMIL,CEFTAROLINE FOSAMIL | TEFLARO,chemical,7P6FQA5D21,Infectious,SHORT,1,1,2,2010-10-29,10774162.08,10.77,5880,52627,,TEFLARO | TEFLARO 40 | TEFLARO 60
CEFTAZIDIME,CEFTAZIDIME | TAZICEF,chemical,9M416Z9QNR,Infectious,SHORT,0,3,8,1985-11-20,142056.06,0.14,4924,10607,3.8622,TAZICEF | TAZICEF  C | TAZICEF (C | TAZICEF 1 | TAZICEF 2
CEFTOBIPROLE MEDOCARIL SODIUM,ZEVTERA,chemical,N99027V28J,Other/Unclassified,OTHER,1,0,0,2024-04-03,,,,,,
CEFTOLOZANE SULFATE; TAZOBACTAM SODIUM,ZERBAXA,chemical,7R247U84HY | UXA545ABTT,Infectious,SHORT,1,0,0,2014-12-19,8491038.26,8.49,3969,60389,,ZERBAXA | ZERBAXA 1 | ZERBAXA 1.
CEFTRIAXONE SODIUM,CEFTRIAXONE | CEFTRIAXONE AND DEXTROSE IN DUPLEX CONTAINER | CEFTRIAXONE IN PLASTIC CONTAINER | CEFTRIAXONE SODIUM,chemical,023Z5BR09K,Infectious,SHORT,1,14,31,2005-04-20,,,,,1.5699,
CEFUROXIME AXETIL,CEFUROXIME AXETIL,chemical,Z49QDT0J8Z,Infectious,SHORT,0,4,11,2005-07-29,8423701.43,8.42,520906,8984946,0.3268,CEFUROXIME
CEFUROXIME SODIUM,CEFUROXIME SODIUM,chemical,R8A7M9MY61,Infectious,SHORT,0,2,4,1997-05-30,,,,,,
CELECOXIB,CELEBREX | CELECOXIB | ELYXYB | VYSCOXA,chemical,JCX84Q7J1L,Pain,PERIODIC,3,18,67,1998-12-31,72081615.76,72.08,2108781,105861537,7.4166,CELEBREX | CELEBREX ( | CELEBREX 1 | CELEBREX 2 | CELEBREX 4
CENOBAMATE,XCOPRI,chemical,P85X70RZWS,Other/Unclassified,OTHER,1,0,0,2020-03-10,197597875.03,197.60,162595,5152343,33.3711,XCOPRI | XCOPRI 100 | XCOPRI 12. | XCOPRI 150 | XCOPRI 200
CEPHALEXIN,CEPHALEXIN,chemical,OBN7UDS42Y,Infectious,SHORT,0,15,33,1987-02-13,133225666.38,133.23,9375125,655194769,1.2828,CEPHALEXIN
CERITINIB,ZYKADIA,chemical,K418KG2GET,Oncology,LONG-TERM,1,0,0,2019-03-18,,,,,,ZYKADIA | ZYKADIA FC
CETIRIZINE HYDROCHLORIDE,CETIRIZINE HYDROCHLORIDE | CETIRIZINE HYDROCHLORIDE ALLERGY | CETIRIZINE HYDROCHLORIDE HIVES | CETIRIZINE HYDROCHLORIDE HIVES RELIEF | CHILDREN'S CETIRIZINE HYDROCHLORIDE ALLERGY | CHILDREN'S CETIRIZINE HYDROCHLORIDE HIVES RELIEF | CHILDREN'S ZYRTEC ALLERGY | CHILDREN'S ZYRTEC HIVES | QUZYTTIR | ZERVIATE | ZYRTEC ALLERGY,chemical,64O047KTOA,Respiratory,PERIODIC,7,42,84,2007-11-16,182606076.50,182.61,19647380,1343299856,1.6215,CETIRIZINE | ZERVIATE | ZERVIATE 0 | ZERVIATE 2
CETIRIZINE HYDROCHLORIDE; PSEUDOEPHEDRINE HYDROCHLORIDE,CETIRIZINE HYDROCHLORIDE AND PSEUDOEPHEDRINE HYDROCHLORIDE | ZYRTEC-D 12 HOUR,chemical,64O047KTOA | 6V9V2RYJ8N,Respiratory,PERIODIC,1,4,4,2007-11-09,,,,,,
CETRORELIX ACETATE,CETRORELIX ACETATE | CETROTIDE,chemical,W9Y8L7GP4C,Metabolic,SHORT,1,6,6,2000-08-11,,,,,291.4860,CETROTIDE
CEVIMELINE HYDROCHLORIDE,CEVIMELINE HYDROCHLORIDE | EVOXAC,chemical,P81Q6V85NP,Other/Unclassified,OTHER,1,8,8,2000-01-11,3762541.66,3.76,31358,3055514,0.7237,CEVIMELINE | EVOXAC | EVOXAC (TM | EVOXAC CAP
CHENODIOL,CHENODIOL | CTEXLI,chemical,0GEI24LG0J,Other/Unclassified,OTHER,1,1,1,2009-10-22,,,,,,
CHLORAMBUCIL,LEUKERAN,chemical,18D0SL7309,Oncology,LONG-TERM,1,0,0,,,,,,,LEUKERAN | LEUKERAN 2
CHLORDIAZEPOXIDE HYDROCHLORIDE,CHLORDIAZEPOXIDE HYDROCHLORIDE | LIBRIUM,chemical,MFM6K1XWDK,Psychiatric,PERIODIC,0,9,9,,,,,,0.1532,
CHLORDIAZEPOXIDE HYDROCHLORIDE; CLIDINIUM BROMIDE,CHLORDIAZEPOXIDE HYDROCHLORIDE AND CLIDINIUM BROMIDE | LIBRAX,chemical,MFM6K1XWDK | 91ZQW5JF1Z,Psychiatric,PERIODIC,1,11,11,2020-07-07,320.40,0.00,26,12,,LIBRAX | LIBRAX 2.5
CHLORHEXIDINE GLUCONATE,BIOSCRUB | CHG SCRUB | CHLORHEXIDINE GLUCONATE | CIDA-STAT | DYNA-HEX 2 | DYNA-HEX 4 | EXIDINE | HIBICLENS | HIBISTAT | PERIDEX | PERIOGARD | READYPREP CHG,chemical,MOR84MUD8E,Other/Unclassified,OTHER,11,7,7,1984-12-24,29952.65,0.03,3199,1006436,0.0156,DYNA-HEX 4
CHLORHEXIDINE GLUCONATE; ISOPROPYL ALCOHOL,CHLORAPREP ONE-STEP | CHLORAPREP ONE-STEP FREPP | CHLORAPREP ONE-STEP SEPP | CHLORAPREP SINGLE SWABSTICK | CHLORAPREP TRIPLE SWABSTICK | CHLORAPREP WITH TINT | PREVANTICS MAXI SWABSTICK | PREVANTICS SWAB | PREVANTICS SWABSTICK | SOLUPREP S,chemical,MOR84MUD8E | ND2M416302,Other/Unclassified,OTHER,4,0,0,2000-07-14,,,,,,
CHLOROPROCAINE HYDROCHLORIDE,CHLOROPROCAINE HYDROCHLORIDE | IHEEZO | NESACAINE | NESACAINE-MPF,chemical,LT7Z1YW11H,Other/Unclassified,OTHER,2,1,2,1996-05-02,252538.49,0.25,1263,163095,,IHEEZO | IHEEZO 3% | NESACAINE
CHLOROQUINE PHOSPHATE,CHLOROQUINE PHOSPHATE,chemical,6E17K3343P,Autoimmune,CHRONIC,0,5,5,2003-08-29,,,,,3.9941,
