Drug,Brand,Disease / Indication,Category,Target,Revenue ($B),Dose,Frequency,Duration,_ing,_rev_val
Bendamustine Hydrochloride,BELRAPZO,Cancer,Oncology,DNA inhibitor,0.03,100MG/4ML (25MG/mL) IV,As directed,Long-term (until progression / disease control),BENDAMUSTINE HYDROCHLORIDE,27.98
Benzgalantamine Gluconate,ZUNVEYL,Alzheimer's disease; Myasthenia gravis,Neurology,ACHE,,15MG BASE oral,Once daily,Indefinite (lifelong maintenance),BENZGALANTAMINE GLUCONATE,0.0
Benzoyl Peroxide,EPSOLAY,Skin disorder,Dermatology,Releases active oxygen,0.02,5% topical,Once or twice daily,Indefinite (lifelong maintenance),BENZOYL PEROXIDE,15.37
Benzoyl Peroxide; Clindamycin Phosphate,ACANYA,Skin disorder,Dermatology,rpsB,0.00,3.75%; 1.2% BASE topical,Once or twice daily,Indefinite (lifelong maintenance),BENZOYL PEROXIDE; CLINDAMYCIN PHOSPHATE,3.31
Benzoyl Peroxide; Erythromycin,BENZAMYCIN,Skin disorder,Dermatology,rpsB,0.00,5%; 3% topical,Once or twice daily,Indefinite (lifelong maintenance),BENZOYL PEROXIDE; ERYTHROMYCIN,0.08
Benzoyl Peroxide; Tretinoin,TWYNEO,Acne; Psoriasis; Photoageing,Dermatology,RARG,,3%; 0.1% topical,Once or twice daily,Indefinite (lifelong maintenance),BENZOYL PEROXIDE; TRETINOIN,0.0
Benztropine Mesylate,BENZTROPINE MESYLATE,Neurological disorder,Neurology,CHRM1,,1MG/mL,As directed,Indefinite (lifelong maintenance),BENZTROPINE MESYLATE,0.0
Betamethasone Acetate; Betamethasone Sodium Phosphate,CELESTONE SOLUSPAN,Skin disorder,Dermatology,NR3C1,,3MG/mL; 3MG BASE/mL,As directed,Indefinite (lifelong maintenance),BETAMETHASONE ACETATE; BETAMETHASONE SODIUM PHOSPHATE,0.0
Betamethasone Dipropionate,BETAMETHASONE DIPROPIONATE,Skin disorder,Dermatology,NR3C1,,0.05% BASE/SPRAY topical,As directed,Indefinite (lifelong maintenance),BETAMETHASONE DIPROPIONATE,0.0
Betamethasone Dipropionate; Calcipotriene,ENSTILAR,Psoriasis,Dermatology,NR3C1 | VDR,0.01,0.064%; 0.005% topical,As directed,Indefinite (lifelong maintenance),BETAMETHASONE DIPROPIONATE; CALCIPOTRIENE,8.84
Betamethasone Dipropionate; Clotrimazole,CLOTRIMAZOLE AND BETAMETHASONE DIPROPIONATE,Skin disorder,Dermatology,NR3C1 | ERG11,,0.05% BASE; 1% topical,Once or twice daily,Indefinite (lifelong maintenance),BETAMETHASONE DIPROPIONATE; CLOTRIMAZOLE,0.0
Betamethasone Valerate,BETA-VAL,Skin disorder,Dermatology,NR3C1,,0.1% BASE topical,Once or twice daily,Indefinite (lifelong maintenance),BETAMETHASONE VALERATE,0.0
Betaxolol Hydrochloride,BETAXOLOL HYDROCHLORIDE,Cardiovascular disease,Cardiovascular,ADRB1,0.00,0.25% BASE ophthalmic,As directed,Indefinite (lifelong maintenance),BETAXOLOL HYDROCHLORIDE,0.51
Bethanechol Chloride,BETHANECHOL CHLORIDE,GI disorder,GI,CHRM3 | CHRM2,,5MG oral,Once or twice daily,Indefinite (lifelong maintenance),BETHANECHOL CHLORIDE,0.0
Bexagliflozin,BRENZAVVY,Type 2 diabetes; Heart failure; CKD,Metabolic,SLC5A2,,20MG oral,Once or twice daily,Indefinite (lifelong maintenance),BEXAGLIFLOZIN,0.0
Bexarotene,BEXAROTENE,Acne; Psoriasis; Photoageing,Oncology,RXRB,0.00,1% topical,Once or twice daily,Long-term (until progression / disease control),BEXAROTENE,4.1
Bicalutamide,BICALUTAMIDE,Prostate cancer (mCRPC),Oncology,AR,,50MG oral,Once or twice daily,Long-term (until progression / disease control),BICALUTAMIDE,0.0
Bictegravir Sodium; Emtricitabine; Tenofovir Alafenamide Fumarate,BIKTARVY,Infectious disease,Infectious,pol,6.27,50MG BASE; 200MG … oral,Once or twice daily,Indefinite (lifelong maintenance),BICTEGRAVIR SODIUM; EMTRICITABINE; TENOFOVIR ALAFENAMIDE FUMARATE,6269.98
Bimatoprost,BIMATOPROST,Glaucoma; Ocular hypertension,Ophthalmology,PTGFR,0.04,0.03% topical,As directed,Indefinite (lifelong maintenance),BIMATOPROST,37.98
Binimetinib,MEKTOVI,Cancer,Oncology,MAP2K1 | MAP2K2,0.03,15MG oral,Once or twice daily,Long-term (until progression / disease control),BINIMETINIB,26.88
Bisoprolol Fumarate,BISOPROLOL FUMARATE,Cardiovascular disease,Cardiovascular,ADRB1,0.01,5MG oral,Once or twice daily,Indefinite (lifelong maintenance),BISOPROLOL FUMARATE,8.84
Bisoprolol Fumarate; Hydrochlorothiazide,ZIAC,Cardiovascular disease,Cardiovascular,ADRB1 | SLC12A3,,10MG; 6.25MG oral,Once or twice daily,Indefinite (lifelong maintenance),BISOPROLOL FUMARATE; HYDROCHLOROTHIAZIDE,0.0
Bortezomib,BORTEZOMIB,Multiple myeloma,Oncology,PSMD1,0.04,3.5MG/1.4ML (2.5MG/mL) SC,As directed,Long-term (until progression / disease control),BORTEZOMIB,41.22
Bosentan,BOSENTAN,Cardiovascular disease,Cardiovascular,EDNRB,0.04,125MG oral,Once or twice daily,Indefinite (lifelong maintenance),BOSENTAN,36.98
Bosutinib Monohydrate,BOSULIF,Chronic myeloid leukaemia (CML),Oncology,ABL1,0.08,500MG BASE oral,Once or twice daily,Long-term (until progression / disease control),BOSUTINIB MONOHYDRATE,84.26
Brexpiprazole,BREXPIPRAZOLE,Generalized anxiety disorder,GI,DRD2 | HTR1A | HTR2A,0.94,4MG oral,Once or twice daily,Indefinite (lifelong maintenance),BREXPIPRAZOLE,939.17
Brigatinib,ALUNBRIG,Non-small cell lung cancer (EGFR+),Oncology,ALK | EGFR,0.01,180MG oral,Once or twice daily,Long-term (until progression / disease control),BRIGATINIB,8.21
Brimonidine Tartrate,ALPHAGAN P,Glaucoma,Ophthalmology,ADRA2A,0.03,0.15% ophthalmic,Once daily,Indefinite (lifelong maintenance),BRIMONIDINE TARTRATE,29.55
Brimonidine Tartrate; Brinzolamide,SIMBRINZA,Hypertension; Heart failure; Diabetic nephropathy,Ophthalmology,ADRA2A | CA2,0.01,0.2%; 1% ophthalmic,As directed,Indefinite (lifelong maintenance),BRIMONIDINE TARTRATE; BRINZOLAMIDE,7.78
Brimonidine Tartrate; Carbachol,YUVEZZI,Hypertension; Heart failure; Diabetic nephropathy,Ophthalmology,ADRA2A | CHRM3,,0.1%; 2.75% ophthalmic,Once daily,Indefinite (lifelong maintenance),BRIMONIDINE TARTRATE; CARBACHOL,0.0
Brimonidine Tartrate; Timolol Maleate,COMBIGAN,Asthma; COPD,Ophthalmology,ADRA2A | ADRB1 | ADRB2,0.03,0.2%; 0.5% BASE ophthalmic,Once daily,Indefinite (lifelong maintenance),BRIMONIDINE TARTRATE; TIMOLOL MALEATE,26.96
Brinzolamide,AZOPT,Hypertension; Heart failure; Diabetic nephropathy,Ophthalmology,CA2,0.00,1% ophthalmic,As directed,Indefinite (lifelong maintenance),BRINZOLAMIDE,3.62
Brivaracetam,BRIVARACETAM,Neurological disorder,Neurology,SV2A,0.39,100MG oral,Once or twice daily,Indefinite (lifelong maintenance),BRIVARACETAM,390.77
Budesonide,BUDESONIDE,Respiratory disease,Respiratory,NR3C1,0.56,9MG oral,Once daily,Indefinite (lifelong maintenance),BUDESONIDE,560.75
Budesonide; Formoterol Fumarate,SYMBICORT AEROSPHERE,Asthma; COPD,Respiratory,NR3C1 | ADRB2,,0.16MG//inh; 0.0048MG//inh inh,Twice daily,Indefinite (lifelong maintenance),BUDESONIDE; FORMOTEROL FUMARATE,0.0
Budesonide; Formoterol Fumarate Dihydrate,BREYNA,Asthma; COPD,Respiratory,NR3C1 | ADRB2,1.83,0.16MG//inh; 0.0045MG//inh inh,Twice daily,Indefinite (lifelong maintenance),BUDESONIDE; FORMOTEROL FUMARATE DIHYDRATE,1830.24
Budesonide; Formoterol Fumarate; Glycopyrrolate,BREZTRI AEROSPHERE,Asthma; COPD,Respiratory,NR3C1 | ADRB2 | CHRM3 | CHRM1,,0.16MG//inh; 0.0048MG//inh … inh,Twice daily,Indefinite (lifelong maintenance),BUDESONIDE; FORMOTEROL FUMARATE; GLYCOPYRROLATE,0.0
Bumetanide,BUMETANIDE,Cardiovascular disease,Cardiovascular,SLC12A1,0.02,2MG oral,Once or twice daily,Indefinite (lifelong maintenance),BUMETANIDE,17.25
Buprenorphine,BRIXADI,Opioid use disorder; Chronic pain,Pain,OPRM1 | OPRK1,1.06,300MG/1.5ML (200MG/mL) SC,Once daily,Indefinite (lifelong maintenance),BUPRENORPHINE,1055.03
Buprenorphine Hydrochloride,BELBUCA,Opioid use disorder; Chronic pain,Pain,OPRM1 | OPRK1,0.08,0.9MG BASE,As needed,Indefinite (lifelong maintenance),BUPRENORPHINE HYDROCHLORIDE,80.17
Buprenorphine Hydrochloride; Naloxone Hydrochloride,SUBOXONE,Opioid use disorder; Chronic pain,Pain,OPRM1 | OPRK1 | OPRK1,2.05,11.4MG BASE; 2.9MG BASE,As needed,Indefinite (lifelong maintenance),BUPRENORPHINE HYDROCHLORIDE; NALOXONE HYDROCHLORIDE,2045.85
Bupropion Hydrobromide,APLENZIN,Depression; Smoking cessation,Psychiatric,SLC6A3 | SLC6A2,0.27,522MG oral,Once daily,Indefinite (lifelong maintenance),BUPROPION HYDROBROMIDE,269.51
Bupropion Hydrochloride,BUPROPION HYDROCHLORIDE,Depression; Smoking cessation,Psychiatric,SLC6A3 | SLC6A2,0.00,300MG oral,Once daily,Indefinite (lifelong maintenance),BUPROPION HYDROCHLORIDE,1.05
Bupropion Hydrochloride; Dextromethorphan Hydrobromide,AUVELITY,Depression; Smoking cessation,Psychiatric,SLC6A3 | SLC6A2 | SIGMAR1 | GRIN2A,0.07,105MG; 45MG oral,Once daily,Indefinite (lifelong maintenance),BUPROPION HYDROCHLORIDE; DEXTROMETHORPHAN HYDROBROMIDE,70.84
Bupropion Hydrochloride; Naltrexone Hydrochloride,CONTRAVE,Depression; Smoking cessation,Psychiatric,SLC6A3 | SLC6A2 | OPRK1,0.01,90MG; 8MG oral,Once daily,Indefinite (lifelong maintenance),BUPROPION HYDROCHLORIDE; NALTREXONE HYDROCHLORIDE,6.61
Buspirone Hydrochloride,BUCAPSOL,Generalized anxiety disorder,Psychiatric,HTR1A,0.13,5MG oral,Once or twice daily,Indefinite (lifelong maintenance),BUSPIRONE HYDROCHLORIDE,131.37
Cabazitaxel,CABAZITAXEL,Cancer,Oncology,TUBB4B,,60MG/1.5ML (40MG/mL) IV,As directed,Long-term (until progression / disease control),CABAZITAXEL,0.0
Cabotegravir,APRETUDE,Infectious disease,Infectious,pol,0.10,600MG/3ML (200MG/mL),Once daily,Indefinite (lifelong maintenance),CABOTEGRAVIR,98.39
Cabotegravir Sodium,VOCABRIA,Infectious disease,Infectious,pol,,30MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),CABOTEGRAVIR SODIUM,0.0
Cabotegravir; Rilpivirine,CABENUVA KIT,Infectious disease,Infectious,pol,,600MG/3ML (200MG/mL); 900MG/3ML (300MG/mL),Once daily,Indefinite (lifelong maintenance),CABOTEGRAVIR; RILPIVIRINE,0.0
Cabozantinib S-malate,CABOMETYX,Cancer,Oncology,KDR | MET,0.21,60MG BASE oral,Once or twice daily,Long-term (until progression / disease control),CABOZANTINIB S-MALATE,205.38
Calcipotriene,CALCIPOTRIENE,Psoriasis,Dermatology,VDR,0.00,0.005% topical,Once or twice daily,Indefinite (lifelong maintenance),CALCIPOTRIENE,0.29
Calcitonin Salmon,CALCITONIN-SALMON,Metabolic disorder,Metabolic,CALCR,0.00,200 IU/mL,As directed,Indefinite (lifelong maintenance),CALCITONIN SALMON,1.37
Calcitriol,CALCITRIOL,Metabolic disorder,Metabolic,VDR,0.02,1MCG/mL oral,Once or twice daily,Indefinite (lifelong maintenance),CALCITRIOL,22.93
Calcium Acetate,CALCIUM ACETATE,Metabolic disorder,Metabolic,Phosphate sequestering agent,0.04,667MG oral,Once or twice daily,Indefinite (lifelong maintenance),CALCIUM ACETATE,43.42
Calcium Chloride; Magnesium Chloride; Potassium Chloride; Sodium Acetate; Sodium Chloride,TPN ELECTROLYTES IN PLASTIC CONTAINER,Metabolic disorder,Metabolic,Supplement,,16.5MG/mL; 25.4MG/mL …,As directed,Indefinite (lifelong maintenance),CALCIUM CHLORIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE,0.0
Calcium Chloride; Magnesium Chloride; Potassium Chloride; Sodium Acetate; Sodium Chloride; Sodium Citrate,BALANCED SALT,Metabolic disorder,Metabolic,Supplement,0.01,0.48MG/mL; 0.3MG/mL …,As directed,Indefinite (lifelong maintenance),CALCIUM CHLORIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM CITRATE,7.09
Calcium Chloride; Magnesium Chloride; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride; Sodium Phosphate,PHOXILLUM B22K 4/0 IN PLASTIC CONTAINER,Hypertension; Heart failure; Diabetic nephropathy,Metabolic,Supplement; Saline laxative,,3.68GM/1000ML; 3.05GM/1000ML …,As directed,Indefinite (lifelong maintenance),CALCIUM CHLORIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM BICARBONATE; SODIUM CHLORIDE; SODIUM PHOSPHATE,0.0
Calcium Chloride; Magnesium Chloride; Potassium Chloride; Sodium Chloride,PLEGISOL IN PLASTIC CONTAINER,Metabolic disorder,Metabolic,Supplement,,17.6MG/100ML; 325.3MG/100ML …,As directed,Indefinite (lifelong maintenance),CALCIUM CHLORIDE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,0.0
Calcium Chloride; Potassium Chloride; Sodium Chloride,RINGER'S IN PLASTIC CONTAINER,Metabolic disorder,Metabolic,Supplement,,33MG/100ML; 30MG/100ML …,As directed,Indefinite (lifelong maintenance),CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,0.0
Calcium Chloride; Potassium Chloride; Sodium Chloride; Sodium Lactate,LACTATED RINGER'S IN PLASTIC CONTAINER,Metabolic disorder,Metabolic,Supplement,,20MG/100ML; 30MG/100ML …,As directed,Indefinite (lifelong maintenance),CALCIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE,0.0
Calcium Gluconate,CALCIUM GLUCONATE,Metabolic disorder,Metabolic,Mineral supplement,,2GM/100ML (20MG/mL) IV,As directed,Indefinite (lifelong maintenance),CALCIUM GLUCONATE,0.0
Canagliflozin,CANAGLIFLOZIN,Type 2 diabetes; Heart failure; CKD,Metabolic,SLC5A2,0.23,300MG oral,Once or twice daily,Indefinite (lifelong maintenance),CANAGLIFLOZIN,230.11
Canagliflozin; Metformin Hydrochloride,INVOKAMET,Type 2 diabetes; Heart failure; CKD,Metabolic,SLC5A2 | MT-ND6 | GPD2,0.01,150MG; 1GM oral,Once or twice daily,Indefinite (lifelong maintenance),CANAGLIFLOZIN; METFORMIN HYDROCHLORIDE,12.56
Candesartan Cilexetil,ATACAND,Cardiovascular disease,Cardiovascular,AGTR1,,32MG oral,Once or twice daily,Indefinite (lifelong maintenance),CANDESARTAN CILEXETIL,0.0
Candesartan Cilexetil; Hydrochlorothiazide,ATACAND HCT,Cardiovascular disease,Cardiovascular,AGTR1 | SLC12A3,,32MG; 25MG oral,Once or twice daily,Indefinite (lifelong maintenance),CANDESARTAN CILEXETIL; HYDROCHLOROTHIAZIDE,0.0
Cannabidiol,EPIDIOLEX,Epilepsy; Anxiety,Neurology,CNR1,0.95,100MG/mL oral,Once or twice daily,Indefinite (lifelong maintenance),CANNABIDIOL,951.41
Capecitabine,CAPECITABINE,Colorectal / Breast cancer,Infectious,TYMS,,150MG oral,Once or twice daily,Indefinite (lifelong maintenance),CAPECITABINE,0.0
Capmatinib Hydrochloride,TABRECTA,Cancer,Oncology,MET,0.01,200MG BASE oral,Once or twice daily,Long-term (until progression / disease control),CAPMATINIB HYDROCHLORIDE,8.71
Captopril,CAPTOPRIL,Hypertension; Heart failure; CKD,Cardiovascular,ACE,0.00,12.5MG oral,Once or twice daily,Indefinite (lifelong maintenance),CAPTOPRIL,1.15
Captopril; Hydrochlorothiazide,CAPTOPRIL AND HYDROCHLOROTHIAZIDE,Hypertension; Heart failure; CKD,Cardiovascular,ACE | SLC12A3,,25MG; 15MG oral,Once or twice daily,Indefinite (lifelong maintenance),CAPTOPRIL; HYDROCHLOROTHIAZIDE,0.0
Carbamazepine,CARBAMAZEPINE,Hypertension; Heart failure; Diabetic nephropathy,Psychiatric,SCN1A,0.05,200MG oral,Once or twice daily,Indefinite (lifelong maintenance),CARBAMAZEPINE,51.17
Carbidopa,CARBIDOPA,Hypertension; Heart failure; Diabetic nephropathy,Neurology,DDC,0.00,25MG oral,Once or twice daily,Indefinite (lifelong maintenance),CARBIDOPA,2.86
Carbidopa; Entacapone; Levodopa,STALEVO 100,Hypertension; Heart failure; Diabetic nephropathy,Neurology,DDC | COMT | DRD3,,18.75MG; 200MG … oral,Once or twice daily,Indefinite (lifelong maintenance),CARBIDOPA; ENTACAPONE; LEVODOPA,0.0
Carbidopa; Levodopa,CARBIDOPA AND LEVODOPA,Hypertension; Heart failure; Diabetic nephropathy,Neurology,DDC | DRD3,0.00,25MG; 250MG oral,Once or twice daily,Indefinite (lifelong maintenance),CARBIDOPA; LEVODOPA,3.97
Carfilzomib,CARFILZOMIB,Multiple myeloma,Oncology,PSMD1,0.08,60MG/VIAL IV,Once daily,Long-term (until progression / disease control),CARFILZOMIB,82.38
Carteolol Hydrochloride,CARTEOLOL HYDROCHLORIDE,Cardiovascular disease,Cardiovascular,ADRB1,0.00,1% ophthalmic,Once daily,Indefinite (lifelong maintenance),CARTEOLOL HYDROCHLORIDE,0.03
Carvedilol,CARVEDILOL,Cardiovascular disease,Cardiovascular,ADRB1 | ADRA1A,0.06,25MG oral,Once or twice daily,Indefinite (lifelong maintenance),CARVEDILOL,58.8
Carvedilol Phosphate,CARVEDILOL PHOSPHATE,Cardiovascular disease,Cardiovascular,ADRB1 | ADRA1A,0.00,80MG oral,Once daily,Indefinite (lifelong maintenance),CARVEDILOL PHOSPHATE,0.1
Cedazuridine; Decitabine,INQOVI,MDS; AML,Infectious,CDA | DNMT3A | DNMT1,0.00,100MG; 35MG oral,Once or twice daily,Indefinite (lifelong maintenance),CEDAZURIDINE; DECITABINE,2.1
Ceritinib,ZYKADIA,Non-small cell lung cancer (ALK+),Oncology,ALK | ALK | ALK,,150MG oral,Once or twice daily,Long-term (until progression / disease control),CERITINIB,0.0
Chlorambucil,LEUKERAN,Cancer,Oncology,DNA inhibitor,,2MG oral,Once or twice daily,Long-term (until progression / disease control),CHLORAMBUCIL,0.0
Chloroquine Phosphate,CHLOROQUINE PHOSPHATE,Autoimmune disease,Autoimmune,Ferriprotoporphyrin IX inhibitor,,250MG oral,Once or twice daily,Indefinite (lifelong maintenance),CHLOROQUINE PHOSPHATE,0.0
Chlorothiazide Sodium,CHLOROTHIAZIDE SODIUM,Cardiovascular disease,Cardiovascular,SLC12A3,,500MG BASE/VIAL,As directed,Indefinite (lifelong maintenance),CHLOROTHIAZIDE SODIUM,0.0
Chlorpromazine Hydrochloride,CHLORPROMAZINE HYDROCHLORIDE,Schizophrenia; Bipolar disorder; Nausea,Psychiatric,HTR2A | DRD2,,200MG oral,Once or twice daily,Indefinite (lifelong maintenance),CHLORPROMAZINE HYDROCHLORIDE,0.0
Chlorthalidone,CHLORTHALIDONE,Psychiatric disorder,Psychiatric,SLC12A3,0.00,25MG oral,Once or twice daily,Indefinite (lifelong maintenance),CHLORTHALIDONE,0.91
Cholestyramine,CHOLESTYRAMINE,Hypercholesterolemia; Bile acid diarrhea,Metabolic,Bile acids sequestering agent,0.00,4GM RESIN/PACKET oral,Once daily,Indefinite (lifelong maintenance),CHOLESTYRAMINE,1.18
Choline Fenofibrate,FENOFIBRIC ACID,Hypertriglyceridemia; Mixed dyslipidemia,Metabolic,PPARA,,45MG FENOFIBRIC ACID oral,Once daily,Indefinite (lifelong maintenance),CHOLINE FENOFIBRATE,0.0
Ciclesonide,ALVESCO,Respiratory disease,Respiratory,NR3C1,0.04,0.05MG/SPRAY nasal,Once daily,Indefinite (lifelong maintenance),CICLESONIDE,36.06
Cilastatin Sodium; Imipenem,IMIPENEM AND CILASTATIN,Dyslipidemia; CV risk reduction,Metabolic,DPEP1 | dacB,0.00,500MG BASE/VIAL; 500MG/VIAL IV,Once daily,Indefinite (lifelong maintenance),CILASTATIN SODIUM; IMIPENEM,0.18
Cilastatin Sodium; Imipenem; Relebactam,RECARBRIO,Hypertension; Heart failure; Diabetic nephropathy,Metabolic,DPEP1 | dacB | bla | bla | ampC | blaUOE-1,0.00,500MG BASE/VIAL; 500MG/VIAL … IV,Once daily,Indefinite (lifelong maintenance),CILASTATIN SODIUM; IMIPENEM; RELEBACTAM,0.95
Cilostazol,CILOSTAZOL,Cardiovascular disease,Cardiovascular,PDE3A,0.00,50MG oral,Once or twice daily,Indefinite (lifelong maintenance),CILOSTAZOL,3.49
Cimetidine,CIMETIDINE,GERD; Peptic ulcer disease,GI,HRH2,0.00,200MG oral,Once or twice daily,Indefinite (lifelong maintenance),CIMETIDINE,4.28
Cimetidine Hydrochloride,CIMETIDINE HYDROCHLORIDE,GERD; Peptic ulcer disease,GI,HRH2,,300MG BASE/5ML oral,Once or twice daily,Indefinite (lifelong maintenance),CIMETIDINE HYDROCHLORIDE,0.0
Cinacalcet Hydrochloride,CINACALCET HYDROCHLORIDE,Metabolic disorder,Metabolic,CASR,0.08,30MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),CINACALCET HYDROCHLORIDE,77.97
Citalopram Hydrobromide,CELEXA,Psychiatric disorder,Psychiatric,SLC6A4,0.05,40MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),CITALOPRAM HYDROBROMIDE,48.19
Cladribine,CLADRIBINE,Neurological disorder,Neurology,DNA inhibitor,0.06,10MG oral,Once or twice daily,Long-term (until progression / disease control),CLADRIBINE,62.25
Clevidipine,CLEVIPREX,Hypertension; Angina,Cardiovascular,CACNA1C,0.00,50MG/100ML (0.5MG/mL) IV,As directed,Indefinite (lifelong maintenance),CLEVIDIPINE,0.08
Clobazam,CLOBAZAM,Anxiety; Insomnia; Epilepsy,Neurology,GABRA1,0.20,20MG oral,Once or twice daily,Indefinite (lifelong maintenance),CLOBAZAM,195.08
Clobetasol Propionate,BYQLOVI,Skin disorder,Dermatology,NR3C1,0.06,0.05% ophthalmic,As directed,Indefinite (lifelong maintenance),CLOBETASOL PROPIONATE,62.04
Clofarabine,CLOFARABINE,Cancer,Oncology,RRM1 | POLA1,,20MG/20ML (1MG/mL) IV,As directed,Long-term (until progression / disease control),CLOFARABINE,0.0
Clomipramine Hydrochloride,ANAFRANIL,Psychiatric disorder,Psychiatric,SLC6A4,,75MG oral,Once or twice daily,Indefinite (lifelong maintenance),CLOMIPRAMINE HYDROCHLORIDE,0.0
Clonazepam,CLONAZEPAM,Anxiety; Insomnia; Epilepsy,Psychiatric,GABRA1,0.08,2MG oral,Once or twice daily,Indefinite (lifelong maintenance),CLONAZEPAM,76.81
Clonidine,CATAPRES-TTS-1,Cardiovascular disease,Cardiovascular,ADRA2A,0.13,0.3MG/24HR transdermal,Once weekly,Indefinite (lifelong maintenance),CLONIDINE,126.41
Clonidine Hydrochloride,CLONIDINE HYDROCHLORIDE,Cardiovascular disease,Cardiovascular,ADRA2A,0.00,0.1MG/mL oral,Once daily,Indefinite (lifelong maintenance),CLONIDINE HYDROCHLORIDE,1.78
Clopidogrel Bisulfate,CLOPIDOGREL BISULFATE,Cardiovascular disease,Cardiovascular,P2RY12,0.00,300MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),CLOPIDOGREL BISULFATE,0.23
Clozapine,CLOZAPINE,Schizophrenia; Bipolar disorder; Nausea,Psychiatric,HTR2A | DRD2,0.07,100MG oral,Once or twice daily,Indefinite (lifelong maintenance),CLOZAPINE,71.78
Cobicistat; Darunavir; Emtricitabine; Tenofovir Alafenamide Fumarate,SYMTUZA,Infectious disease,Infectious,CYP3A4 | pol,0.68,150MG; 800MG … oral,Once or twice daily,Indefinite (lifelong maintenance),COBICISTAT; DARUNAVIR; EMTRICITABINE; TENOFOVIR ALAFENAMIDE FUMARATE,678.94
Cobicistat; Elvitegravir; Emtricitabine; Tenofovir Alafenamide Fumarate,GENVOYA,Infectious disease,Infectious,CYP3A4 | pol,0.98,150MG; 150MG … oral,Once or twice daily,Indefinite (lifelong maintenance),COBICISTAT; ELVITEGRAVIR; EMTRICITABINE; TENOFOVIR ALAFENAMIDE FUMARATE,980.53
Cobicistat; Elvitegravir; Emtricitabine; Tenofovir Disoproxil Fumarate,STRIBILD,Infectious disease,Infectious,CYP3A4 | pol,0.05,150MG; 150MG … oral,Once or twice daily,Indefinite (lifelong maintenance),COBICISTAT; ELVITEGRAVIR; EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE,45.75
Cobimetinib Fumarate,COTELLIC,Cancer,Oncology,MAP2K1 | MAP2K2,0.00,20MG BASE oral,Once or twice daily,Long-term (until progression / disease control),COBIMETINIB FUMARATE,3.08
Colesevelam Hydrochloride,COLESEVELAM HYDROCHLORIDE,Hypercholesterolemia; Bile acid diarrhea,Metabolic,Bile acids sequestering agent,0.00,625MG oral,Once or twice daily,Indefinite (lifelong maintenance),COLESEVELAM HYDROCHLORIDE,2.22
Colestipol Hydrochloride,COLESTID,Primary biliary cholangitis; Gallstones,Metabolic,Bile acids sequestering agent,0.01,1GM oral,Once or twice daily,Indefinite (lifelong maintenance),COLESTIPOL HYDROCHLORIDE,12.7
Crisaborole,EUCRISA,Psoriasis; Psoriatic arthritis,Dermatology,PDE4A,0.14,2% topical,Once or twice daily,Indefinite (lifelong maintenance),CRISABOROLE,144.85
Crizotinib,XALKORI,Non-small cell lung cancer (ALK+),Oncology,MET | ALK | ALK | ALK | ROS1 | MST1R,0.01,250MG oral,Once or twice daily,Long-term (until progression / disease control),CRIZOTINIB,14.7
Cromolyn Sodium,CROMOLYN SODIUM,Asthma; Allergic rhinitis,Respiratory,Unknown,0.01,100MG/5ML oral,As directed,Indefinite (lifelong maintenance),CROMOLYN SODIUM,12.3
Cupric Sulfate; Manganese Sulfate; Selenious Acid; Zinc Sulfate,MULTRYS,Metabolic disorder,Metabolic,Unknown; Supplement,0.00,0.3MG COPPER/mL; 55MCG BASE/mL … IV,As directed,Indefinite (lifelong maintenance),CUPRIC SULFATE; MANGANESE SULFATE; SELENIOUS ACID; ZINC SULFATE,0.82
Cyanocobalamin,CYANOCOBALAMIN,Metabolic disorder,Metabolic,Supplement,,1MG/mL,As directed,Indefinite (lifelong maintenance),CYANOCOBALAMIN,0.0
Cyclosporine,CEQUA,Transplant rejection prevention; Autoimmune,Autoimmune,PPIA,0.33,100MG/mL oral,Once or twice daily,Indefinite (lifelong maintenance),CYCLOSPORINE,331.73
Dabigatran Etexilate Mesylate,DABIGATRAN ETEXILATE MESYLATE,Atrial fibrillation; DVT/PE prevention,Cardiovascular,F2,0.03,150MG BASE/PACKET oral,As directed,Indefinite (lifelong maintenance),DABIGATRAN ETEXILATE MESYLATE,33.2
Dabrafenib Mesylate,TAFINLAR,Cancer,Oncology,BRAF,0.07,10MG BASE oral,Once or twice daily,Long-term (until progression / disease control),DABRAFENIB MESYLATE,74.18
