Drug,Brand,Disease / Indication,Category,Drug Modality,Target,Revenue ($B),Dose,Frequency,Duration
Binimetinib,MEKTOVI,Non-small cell lung cancer; Small cell lung cancer; Melanoma,Oncology – Solid Tumor,chemical,MAP2K1 | MAP2K2,0.03,15MG oral,Once or twice daily,Long-term (until progression / disease control)
Bisoprolol Fumarate,BISOPROLOL FUMARATE,Hypertension,Cardiovascular – Hypertension,chemical,ADRB1,0.01,5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Bisoprolol Fumarate; Hydrochlorothiazide,ZIAC,Hypertension,Cardiovascular – Hypertension,chemical,ADRB1 | SLC12A3,,10MG; 6.25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Bortezomib,BORTEZOMIB,Multiple myeloma; Lymphoma,Oncology – Hematologic,chemical,PSMD1,0.04,3.5MG/1.4ML (2.5MG/mL) SC,As directed,Long-term (until progression / disease control)
Bosentan,BOSENTAN,Cardiovascular disease,Cardiovascular – Other,chemical,EDNRB,0.04,125MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Bosutinib Monohydrate,BOSULIF,Chronic myeloid leukemia,Oncology – Hematologic,chemical,ABL1,0.08,500MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Brexpiprazole,BREXPIPRAZOLE,Schizophrenia; Major depressive disorder; Alzheimer's disease / dementia,Gastroenterology – Other,chemical,DRD2 | HTR1A | HTR2A,0.94,4MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Brigatinib,ALUNBRIG,Non-small cell lung cancer; Small cell lung cancer; Lymphoma,Oncology – Hematologic,chemical,ALK | EGFR,0.01,180MG oral,Once or twice daily,Long-term (until progression / disease control)
Brimonidine Tartrate,ALPHAGAN P,Glaucoma,Ophthalmology,chemical,ADRA2A,0.03,0.15% ophthalmic,Once daily,Indefinite (lifelong maintenance)
Brimonidine Tartrate; Brinzolamide,SIMBRINZA,Hypertension; Glaucoma / ocular hypertension,Ophthalmology,chemical,ADRA2A | CA2,0.01,0.2%; 1% ophthalmic,As directed,Indefinite (lifelong maintenance)
Brimonidine Tartrate; Carbachol,YUVEZZI,Hypertension; Heart failure; Diabetic nephropathy,Ophthalmology,chemical,ADRA2A | CHRM3,,0.1%; 2.75% ophthalmic,Once daily,Indefinite (lifelong maintenance)
Brimonidine Tartrate; Timolol Maleate,COMBIGAN,Hypertension; Glaucoma / ocular hypertension,Ophthalmology,chemical,ADRA2A | ADRB1 | ADRB2,0.03,0.2%; 0.5% BASE ophthalmic,Once daily,Indefinite (lifelong maintenance)
Brinzolamide,AZOPT,Hypertension; Glaucoma / ocular hypertension,Ophthalmology,chemical,CA2,0.00,1% ophthalmic,As directed,Indefinite (lifelong maintenance)
Brivaracetam,BRIVARACETAM,Epilepsy / seizures,Neurology – Epilepsy,chemical,SV2A,0.39,100MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Budesonide,BUDESONIDE,Allergic rhinitis,Respiratory – Allergy,chemical,NR3C1,0.56,9MG oral,Once daily,Indefinite (lifelong maintenance)
Budesonide; Formoterol Fumarate,SYMBICORT AEROSPHERE,Asthma; COPD,Respiratory – Obstructive,chemical,NR3C1 | ADRB2,,0.16MG//inh; 0.0048MG//inh inh,Twice daily,Indefinite (lifelong maintenance)
Budesonide; Formoterol Fumarate Dihydrate,BREYNA,Asthma; COPD,Respiratory – Obstructive,chemical,NR3C1 | ADRB2,1.83,0.16MG//inh; 0.0045MG//inh inh,Twice daily,Indefinite (lifelong maintenance)
Budesonide; Formoterol Fumarate; Glycopyrrolate,BREZTRI AEROSPHERE,Allergic rhinitis,Respiratory – Allergy,chemical,NR3C1 | ADRB2 | CHRM3 | CHRM1,,0.16MG//inh; 0.0048MG//inh … inh,Twice daily,Indefinite (lifelong maintenance)
Bumetanide,BUMETANIDE,Heart failure,Cardiovascular – Heart Failure,chemical,SLC12A1,0.02,2MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Buprenorphine,BRIXADI,Opioid use disorder,Pain – Chronic,chemical,OPRM1 | OPRK1,1.06,300MG/1.5ML (200MG/mL) SC,Once daily,Indefinite (lifelong maintenance)
Buprenorphine Hydrochloride,BELBUCA,Opioid use disorder,Pain – Chronic,chemical,OPRM1 | OPRK1,0.08,0.9MG BASE,As needed,Indefinite (lifelong maintenance)
Buprenorphine Hydrochloride; Naloxone Hydrochloride,SUBOXONE,Opioid use disorder,Pain – Chronic,chemical,OPRM1 | OPRK1 | OPRK1,2.05,11.4MG BASE; 2.9MG BASE,As needed,Indefinite (lifelong maintenance)
Bupropion Hydrobromide,APLENZIN,Major depressive disorder,Psychiatry – Mood,chemical,SLC6A3 | SLC6A2,0.27,522MG oral,Once daily,Indefinite (lifelong maintenance)
Bupropion Hydrochloride,BUPROPION HYDROCHLORIDE,Major depressive disorder,Psychiatry – Mood,chemical,SLC6A3 | SLC6A2,0.00,300MG oral,Once daily,Indefinite (lifelong maintenance)
Bupropion Hydrochloride; Dextromethorphan Hydrobromide,AUVELITY,Major depressive disorder; Alzheimer's disease / dementia,Psychiatry – Mood,chemical,SLC6A3 | SLC6A2 | SIGMAR1 | GRIN2A,0.07,105MG; 45MG oral,Once daily,Indefinite (lifelong maintenance)
Bupropion Hydrochloride; Naltrexone Hydrochloride,CONTRAVE,Obesity / weight management,Psychiatry – Other,chemical,SLC6A3 | SLC6A2 | OPRK1,0.01,90MG; 8MG oral,Once daily,Indefinite (lifelong maintenance)
Buspirone Hydrochloride,BUCAPSOL,Anxiety disorder,Psychiatry – Anxiety,chemical,HTR1A,0.13,5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Cabazitaxel,CABAZITAXEL,Prostate cancer,Oncology – Solid Tumor,chemical,TUBB4B,,60MG/1.5ML (40MG/mL) IV,As directed,Long-term (until progression / disease control)
Cabotegravir,APRETUDE,HIV infection,Infectious – HIV,chemical,pol,0.10,600MG/3ML (200MG/mL),Once daily,Indefinite (lifelong maintenance)
Cabotegravir Sodium,VOCABRIA,HIV infection,Infectious – HIV,chemical,pol,,30MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Cabotegravir; Rilpivirine,CABENUVA KIT,HIV infection,Infectious – HIV,chemical,pol,,600MG/3ML (200MG/mL); 900MG/3ML (300MG/mL),Once daily,Indefinite (lifelong maintenance)
Cabozantinib S-malate,CABOMETYX,Thyroid cancer,Oncology – Solid Tumor,chemical,KDR | MET,0.21,60MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Calcipotriene,CALCIPOTRIENE,Psoriasis,Autoimmune – Dermatology,chemical,VDR,0.00,0.005% topical,Once or twice daily,Indefinite (lifelong maintenance)
Calcitonin Salmon,CALCITONIN-SALMON,Osteoporosis; Menopausal / hormone therapy,Bone / Metabolic,protein,CALCR,0.00,200 IU/mL,As directed,Indefinite (lifelong maintenance)
Calcitriol,CALCITRIOL,Mineral / vitamin D disorder,Endocrinology – Metabolic,chemical,VDR,0.02,1MCG/mL oral,Once or twice daily,Indefinite (lifelong maintenance)
Calcium Acetate,CALCIUM ACETATE,Metabolic disorder,Endocrinology – Metabolic,chemical,Phosphate sequestering agent,0.04,667MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Calcium Chloride; Magnesium Chloride; Potassium Chloride; Sodium Acetate; Sodium Chloride,TPN ELECTROLYTES IN PLASTIC CONTAINER,Metabolic disorder,Endocrinology – Metabolic,chemical,Supplement,,16.5MG/mL; 25.4MG/mL …,As directed,Indefinite (lifelong maintenance)
Calcium Chloride; Magnesium Chloride; Potassium Chloride; Sodium Acetate; Sodium Chloride; Sodium Citrate,BALANCED SALT,Metabolic disorder,Endocrinology – Metabolic,mixture,Supplement,0.01,0.48MG/mL; 0.3MG/mL …,As directed,Indefinite (lifelong maintenance)
Calcium Chloride; Magnesium Chloride; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride; Sodium Phosphate,PHOXILLUM B22K 4/0 IN PLASTIC CONTAINER,Hypertension; Heart failure; Diabetic nephropathy,Endocrinology – Diabetes,mixture,Supplement; Saline laxative,,3.68GM/1000ML; 3.05GM/1000ML …,As directed,Indefinite (lifelong maintenance)
Calcium Chloride; Magnesium Chloride; Potassium Chloride; Sodium Chloride,PLEGISOL IN PLASTIC CONTAINER,Metabolic disorder,Endocrinology – Metabolic,chemical,Supplement,,17.6MG/100ML; 325.3MG/100ML …,As directed,Indefinite (lifelong maintenance)
Calcium Chloride; Potassium Chloride; Sodium Chloride,RINGER'S IN PLASTIC CONTAINER,Metabolic disorder,Endocrinology – Metabolic,chemical,Supplement,,33MG/100ML; 30MG/100ML …,As directed,Indefinite (lifelong maintenance)
Calcium Chloride; Potassium Chloride; Sodium Chloride; Sodium Lactate,LACTATED RINGER'S IN PLASTIC CONTAINER,Metabolic disorder,Endocrinology – Metabolic,chemical,Supplement,,20MG/100ML; 30MG/100ML …,As directed,Indefinite (lifelong maintenance)
Calcium Gluconate,CALCIUM GLUCONATE,Metabolic disorder,Endocrinology – Metabolic,chemical,Mineral supplement,,2GM/100ML (20MG/mL) IV,As directed,Indefinite (lifelong maintenance)
Canagliflozin,CANAGLIFLOZIN,Type 2 diabetes; Diabetes mellitus; Myocardial infarction (risk reduction); Stroke (risk reduction),Endocrinology – Diabetes,chemical,SLC5A2,0.23,300MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Canagliflozin; Metformin Hydrochloride,INVOKAMET,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,SLC5A2 | MT-ND6 | GPD2,0.01,150MG; 1GM oral,Once or twice daily,Indefinite (lifelong maintenance)
Candesartan Cilexetil,ATACAND,Hypertension,Cardiovascular – Hypertension,chemical,AGTR1,,32MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Candesartan Cilexetil; Hydrochlorothiazide,ATACAND HCT,Hypertension,Cardiovascular – Hypertension,chemical,AGTR1 | SLC12A3,,32MG; 25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Cannabidiol,EPIDIOLEX,Epilepsy / seizures,Neurology – Epilepsy,chemical,CNR1,0.95,100MG/mL oral,Once or twice daily,Indefinite (lifelong maintenance)
Capecitabine,CAPECITABINE,Colorectal cancer,Infectious – Other,chemical,TYMS,,150MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Capmatinib Hydrochloride,TABRECTA,Non-small cell lung cancer; Small cell lung cancer,Oncology – Solid Tumor,chemical,MET,0.01,200MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Captopril,CAPTOPRIL,Hypertension,Cardiovascular – Hypertension,chemical,ACE,0.00,12.5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Captopril; Hydrochlorothiazide,CAPTOPRIL AND HYDROCHLOROTHIAZIDE,Hypertension,Cardiovascular – Hypertension,chemical,ACE | SLC12A3,,25MG; 15MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Carbamazepine,CARBAMAZEPINE,Epilepsy / seizures,Psychiatry – Other,chemical,SCN1A,0.05,200MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Carbidopa,CARBIDOPA,Parkinson's disease,Neurology – Movement Disorder,chemical,DDC,0.00,25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Carbidopa; Entacapone; Levodopa,STALEVO 100,Parkinson's disease,Neurology – Movement Disorder,chemical,DDC | COMT | DRD3,,18.75MG; 200MG … oral,Once or twice daily,Indefinite (lifelong maintenance)
Carbidopa; Levodopa,CARBIDOPA AND LEVODOPA,Parkinson's disease,Neurology – Movement Disorder,chemical,DDC | DRD3,0.00,25MG; 250MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Carfilzomib,CARFILZOMIB,Multiple myeloma,Oncology – Hematologic,chemical,PSMD1,0.08,60MG/VIAL IV,Once daily,Long-term (until progression / disease control)
Carteolol Hydrochloride,CARTEOLOL HYDROCHLORIDE,Hypertension; Glaucoma / ocular hypertension,Cardiovascular – Hypertension,chemical,ADRB1,0.00,1% ophthalmic,Once daily,Indefinite (lifelong maintenance)
Carvedilol,CARVEDILOL,Heart failure; Hypertension; Myocardial infarction (risk reduction),Cardiovascular – Heart Failure,chemical,ADRB1 | ADRA1A,0.06,25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Carvedilol Phosphate,CARVEDILOL PHOSPHATE,Heart failure; Hypertension; Myocardial infarction (risk reduction),Cardiovascular – Heart Failure,chemical,ADRB1 | ADRA1A,0.00,80MG oral,Once daily,Indefinite (lifelong maintenance)
Cedazuridine; Decitabine,INQOVI,Myelodysplastic syndromes; Anemia,Infectious – Other,chemical,CDA | DNMT3A | DNMT1,0.00,100MG; 35MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Ceritinib,ZYKADIA,Non-small cell lung cancer; Small cell lung cancer; Lymphoma,Oncology – Hematologic,chemical,ALK | ALK | ALK,,150MG oral,Once or twice daily,Long-term (until progression / disease control)
Chlorambucil,LEUKERAN,Lymphoma,Oncology – Hematologic,chemical,DNA inhibitor,,2MG oral,Once or twice daily,Long-term (until progression / disease control)
Chloroquine Phosphate,CHLOROQUINE PHOSPHATE,Autoimmune disease,Autoimmune – Rheumatology,chemical,Ferriprotoporphyrin IX inhibitor,,250MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Chlorothiazide Sodium,CHLOROTHIAZIDE SODIUM,Heart failure,Cardiovascular – Heart Failure,chemical,SLC12A3,,500MG BASE/VIAL,As directed,Indefinite (lifelong maintenance)
Chlorpromazine Hydrochloride,CHLORPROMAZINE HYDROCHLORIDE,Schizophrenia; Nausea / vomiting,Psychiatry – Psychotic,chemical,HTR2A | DRD2,,200MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Chlorthalidone,CHLORTHALIDONE,Heart failure,Psychiatry – Other,chemical,SLC12A3,0.00,25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Cholestyramine,CHOLESTYRAMINE,Dyslipidemia / hypercholesterolemia; Hypertriglyceridemia,Endocrinology – Lipid,polymer,Bile acids sequestering agent,0.00,4GM RESIN/PACKET oral,Once daily,Indefinite (lifelong maintenance)
Choline Fenofibrate,FENOFIBRIC ACID,Dyslipidemia / hypercholesterolemia; Hypertriglyceridemia,Endocrinology – Lipid,chemical,PPARA,,45MG FENOFIBRIC ACID oral,Once daily,Indefinite (lifelong maintenance)
Ciclesonide,ALVESCO,Allergic rhinitis,Respiratory – Allergy,chemical,NR3C1,0.04,0.05MG/SPRAY nasal,Once daily,Indefinite (lifelong maintenance)
Cilastatin Sodium; Imipenem,IMIPENEM AND CILASTATIN,Dyslipidemia; CV risk reduction,Endocrinology – Lipid,chemical,DPEP1 | dacB,0.00,500MG BASE/VIAL; 500MG/VIAL IV,Once daily,Indefinite (lifelong maintenance)
Cilastatin Sodium; Imipenem; Relebactam,RECARBRIO,Hypertension; Heart failure; Diabetic nephropathy,Endocrinology – Lipid,chemical,DPEP1 | dacB | bla | bla | ampC | blaUOE-1,0.00,500MG BASE/VIAL; 500MG/VIAL … IV,Once daily,Indefinite (lifelong maintenance)
Cilostazol,CILOSTAZOL,Cardiovascular disease,Cardiovascular – Other,chemical,PDE3A,0.00,50MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Cimetidine,CIMETIDINE,GERD; Peptic ulcer disease,Gastroenterology – Acid-Related,chemical,HRH2,0.00,200MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Cimetidine Hydrochloride,CIMETIDINE HYDROCHLORIDE,GERD; Peptic ulcer disease,Gastroenterology – Acid-Related,chemical,HRH2,,300MG BASE/5ML oral,Once or twice daily,Indefinite (lifelong maintenance)
Cinacalcet Hydrochloride,CINACALCET HYDROCHLORIDE,Mineral / vitamin D disorder; Chronic kidney disease,Endocrinology – Metabolic,chemical,CASR,0.08,30MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Citalopram Hydrobromide,CELEXA,Major depressive disorder,Psychiatry – Mood,chemical,SLC6A4,0.05,40MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Cladribine,CLADRIBINE,Multiple sclerosis,Neurology – Demyelinating,chemical,DNA inhibitor,0.06,10MG oral,Once or twice daily,Long-term (until progression / disease control)
Clevidipine,CLEVIPREX,Hypertension,Cardiovascular – Hypertension,chemical,CACNA1C,0.00,50MG/100ML (0.5MG/mL) IV,As directed,Indefinite (lifelong maintenance)
Clobazam,CLOBAZAM,Epilepsy / seizures,Neurology – Epilepsy,chemical,GABRA1,0.20,20MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Clobetasol Propionate,BYQLOVI,Skin disorder,Dermatology – General,chemical,NR3C1,0.06,0.05% ophthalmic,As directed,Indefinite (lifelong maintenance)
Clofarabine,CLOFARABINE,Acute lymphoblastic leukemia,Oncology – Hematologic,chemical,RRM1 | POLA1,,20MG/20ML (1MG/mL) IV,As directed,Long-term (until progression / disease control)
Clomipramine Hydrochloride,ANAFRANIL,Obsessive-compulsive disorder,Psychiatry – Anxiety,chemical,SLC6A4,,75MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Clonazepam,CLONAZEPAM,Panic disorder,Psychiatry – Anxiety,chemical,GABRA1,0.08,2MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Clonidine,CATAPRES-TTS-1,Hypertension,Cardiovascular – Hypertension,chemical,ADRA2A,0.13,0.3MG/24HR transdermal,Once weekly,Indefinite (lifelong maintenance)
Clonidine Hydrochloride,CLONIDINE HYDROCHLORIDE,Hypertension,Cardiovascular – Hypertension,chemical,ADRA2A,0.00,0.1MG/mL oral,Once daily,Indefinite (lifelong maintenance)
Clopidogrel Bisulfate,CLOPIDOGREL BISULFATE,Angina; Myocardial infarction (risk reduction); Stroke (risk reduction),Cardiovascular – Thrombosis,chemical,P2RY12,0.00,300MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Clozapine,CLOZAPINE,Schizophrenia; Epilepsy / seizures,Psychiatry – Psychotic,chemical,HTR2A | DRD2,0.07,100MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Cobicistat; Darunavir; Emtricitabine; Tenofovir Alafenamide Fumarate,SYMTUZA,HIV infection,Infectious – HIV,chemical,CYP3A4 | pol,0.68,150MG; 800MG … oral,Once or twice daily,Indefinite (lifelong maintenance)
Cobicistat; Elvitegravir; Emtricitabine; Tenofovir Alafenamide Fumarate,GENVOYA,HIV infection,Infectious – HIV,chemical,CYP3A4 | pol,0.98,150MG; 150MG … oral,Once or twice daily,Indefinite (lifelong maintenance)
Cobicistat; Elvitegravir; Emtricitabine; Tenofovir Disoproxil Fumarate,STRIBILD,HIV infection,Infectious – HIV,chemical,CYP3A4 | pol,0.05,150MG; 150MG … oral,Once or twice daily,Indefinite (lifelong maintenance)
Cobimetinib Fumarate,COTELLIC,Melanoma,Oncology – Solid Tumor,chemical,MAP2K1 | MAP2K2,0.00,20MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Colesevelam Hydrochloride,COLESEVELAM HYDROCHLORIDE,Familial hypercholesterolemia; Dyslipidemia / hypercholesterolemia,Endocrinology – Lipid,polymer,Bile acids sequestering agent,0.00,625MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Colestipol Hydrochloride,COLESTID,Dyslipidemia / hypercholesterolemia,Endocrinology – Lipid,polymer,Bile acids sequestering agent,0.01,1GM oral,Once or twice daily,Indefinite (lifelong maintenance)
Crisaborole,EUCRISA,Atopic dermatitis,Autoimmune – Dermatology,chemical,PDE4A,0.14,2% topical,Once or twice daily,Indefinite (lifelong maintenance)
Crizotinib,XALKORI,Non-small cell lung cancer; Small cell lung cancer; Lymphoma,Oncology – Hematologic,chemical,MET | ALK | ALK | ALK | ROS1 | MST1R,0.01,250MG oral,Once or twice daily,Long-term (until progression / disease control)
Cromolyn Sodium,CROMOLYN SODIUM,Nausea / vomiting,Respiratory – Other,chemical,Unknown,0.01,100MG/5ML oral,As directed,Indefinite (lifelong maintenance)
Cupric Sulfate; Manganese Sulfate; Selenious Acid; Zinc Sulfate,MULTRYS,Metabolic disorder,Endocrinology – Metabolic,mixture,Unknown; Supplement,0.00,0.3MG COPPER/mL; 55MCG BASE/mL … IV,As directed,Indefinite (lifelong maintenance)
Cyanocobalamin,CYANOCOBALAMIN,Metabolic disorder,Endocrinology – Metabolic,chemical,Supplement,,1MG/mL,As directed,Indefinite (lifelong maintenance)
Cyclosporine,CEQUA,Dry eye disease,Autoimmune – Rheumatology,chemical,PPIA,0.33,100MG/mL oral,Once or twice daily,Indefinite (lifelong maintenance)
Dabigatran Etexilate Mesylate,DABIGATRAN ETEXILATE MESYLATE,Atrial fibrillation; Stroke (risk reduction); DVT / venous thrombosis; Pulmonary embolism,Cardiovascular – Arrhythmia,chemical,F2,0.03,150MG BASE/PACKET oral,As directed,Indefinite (lifelong maintenance)
Dabrafenib Mesylate,TAFINLAR,Melanoma,Oncology – Solid Tumor,chemical,BRAF,0.07,10MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Dacomitinib,VIZIMPRO,Non-small cell lung cancer; Small cell lung cancer,Oncology – Solid Tumor,chemical,EGFR | ERBB2 | ERBB4,,45MG oral,Once or twice daily,Long-term (until progression / disease control)
Dapagliflozin,DAPAGLIFLOZIN,Heart failure; Chronic kidney disease,Endocrinology – Metabolic,chemical,SLC5A2,1.50,10MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Dapagliflozin; Metformin Hydrochloride,XIGDUO XR,Type 2 diabetes; Diabetes mellitus; Heart failure,Endocrinology – Diabetes,chemical,SLC5A2 | MT-ND6 | GPD2,0.05,10MG; 500MG oral,Once daily,Indefinite (lifelong maintenance)
Dapagliflozin; Saxagliptin Hydrochloride,DAPAGLIFLOZIN AND SAXAGLIPTIN HYDROCHLORIDE,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,SLC5A2 | DPP4,,10MG; 5MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Dapsone,ACZONE,Infectious disease,Infectious – Other,chemical,folP1,0.01,100MG oral,Once or twice daily,Long-term (until progression / disease control)
Darifenacin Hydrobromide,DARIFENACIN,Overactive bladder,Urology – Bladder,chemical,CHRM3 | CHRM2,,7.5MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Darolutamide,NUBEQA,Prostate cancer,Oncology – Solid Tumor,chemical,AR,0.08,300MG oral,Once or twice daily,Long-term (until progression / disease control)
Darunavir,DARUNAVIR,HIV infection,Infectious – HIV,chemical,pol,0.10,800MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Dasatinib,DASATINIB,Chronic myeloid leukemia; Acute lymphoblastic leukemia,Oncology – Hematologic,chemical,ABL1,0.55,140MG oral,Once or twice daily,Long-term (until progression / disease control)
Decitabine,DECITABINE,Myelodysplastic syndromes; Anemia,Infectious – Other,chemical,DNMT3A | DNMT1,0.00,50MG/VIAL IV,As directed,Indefinite (lifelong maintenance)
Deferasirox,DEFERASIROX,Iron overload,Other,chemical,Iron chelating agent,0.01,360MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Deferoxamine Mesylate,DEFEROXAMINE MESYLATE,Iron overload,Other,chemical,Iron chelating agent,0.00,500MG/VIAL,As directed,Indefinite (lifelong maintenance)
Deflazacort,DEFLAZACORT,Autoimmune disease,Autoimmune – Rheumatology,chemical,NR3C1,0.42,36MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Degarelix Acetate,FIRMAGON,Prostate cancer,Oncology – Solid Tumor,chemical,GNRHR,0.00,120MG BASE/VIAL SC,Once daily,Long-term (until progression / disease control)
Delgocitinib,ANZUPGO,Atopic dermatitis,Oncology – Solid Tumor,chemical,JAK3,,2% topical,Once or twice daily,Long-term (until progression / disease control)
Desipramine Hydrochloride,DESIPRAMINE HYDROCHLORIDE,Major depressive disorder,Psychiatry – Mood,chemical,SLC6A2,,150MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Desmopressin Acetate,DDAVP,Metabolic disorder,Endocrinology – Metabolic,chemical,AVPR2,0.00,0.2MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Desogestrel; Ethinyl Estradiol,AVERI,Contraception,Endocrinology – Reproductive,chemical,PGR | ESR1,0.01,"0.1MG,0.125MG,0.15MG; 0.025MG,0.025MG,0.025MG oral",Once or twice daily,Indefinite (lifelong maintenance)
Desonide,DESONIDE,Skin disorder,Dermatology – General,chemical,NR3C1,0.01,0.05% topical,Once or twice daily,Indefinite (lifelong maintenance)
Desoximetasone,DESOXIMETASONE,Skin disorder,Dermatology – General,chemical,NR3C1,,0.25% topical,As directed,Indefinite (lifelong maintenance)
Desvenlafaxine,DESVENLAFAXINE,Major depressive disorder,Psychiatry – Mood,chemical,SLC6A4 | SLC6A2,,100MG oral,Once daily,Indefinite (lifelong maintenance)
Desvenlafaxine Succinate,DESVENLAFAXINE SUCCINATE,Major depressive disorder,Psychiatry – Mood,chemical,SLC6A4 | SLC6A2,0.04,100MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Deucravacitinib,SOTYKTU,Psoriasis,Oncology – Solid Tumor,chemical,TYK2,0.03,6MG oral,Once or twice daily,Long-term (until progression / disease control)
Deuruxolitinib Phosphate,LEQSELVI,Cancer,Oncology – Solid Tumor,chemical,JAK3 | JAK2 | JAK1 | TYK2,,8MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Deutetrabenazine,AUSTEDO,Tardive dyskinesia; Huntington's disease,Neurology – Movement Disorder,chemical,SLC18A2,0.56,12MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Dexlansoprazole,DEXILANT,GERD,Gastroenterology – Acid-Related,chemical,ATP4A,0.04,60MG oral,Once daily,Indefinite (lifelong maintenance)
Dexmethylphenidate Hydrochloride,FOCALIN,ADHD,Psychiatry – ADHD / Wakefulness,chemical,SLC6A3 | SLC6A2,0.50,10MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Dexmethylphenidate Hydrochloride; Serdexmethylphenidate Chloride,AZSTARYS,ADHD,Psychiatry – ADHD / Wakefulness,chemical,SLC6A3 | SLC6A2,0.08,10.4MG BASE; 52.3MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Dextroamphetamine,XELSTRYM,ADHD; Narcolepsy / EDS,Psychiatry – ADHD / Wakefulness,chemical,SLC6A3 | SLC6A2 | SLC18A2,0.00,18MG/9HR transdermal,Once weekly,Indefinite (lifelong maintenance)
Dextroamphetamine Sulfate,DEXEDRINE SPANSULE,ADHD; Narcolepsy / EDS,Psychiatry – ADHD / Wakefulness,chemical,SLC6A3 | SLC6A2 | SLC18A2,,15MG oral,Once daily,Indefinite (lifelong maintenance)
Dicyclomine Hydrochloride,DICYCLOMINE HYDROCHLORIDE,Irritable bowel syndrome,Gastroenterology – Motility,chemical,CHRM3 | CHRM1,,10MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Dienogest; Estradiol Valerate,NATAZIA,Contraception,Endocrinology – Reproductive,chemical,ESR1,0.00,"N/A,2MG,3MG,N/A,N/A; 3MG,2MG,2MG,1MG,N/A oral",Once or twice daily,Indefinite (lifelong maintenance)
Difamilast,ADQUEY,Atopic dermatitis,Autoimmune – Dermatology,chemical,PDE4A,,1% topical,Once or twice daily,Indefinite (lifelong maintenance)
Digoxin,DIGOXIN,Heart failure; Atrial fibrillation,Cardiovascular – Heart Failure,chemical,ATP1A1,0.01,0.25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Diltiazem Hydrochloride,CARDIZEM,Hypertension; Angina,Cardiovascular – Ischemic,chemical,CACNA1C,0.03,120MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Dimethyl Fumarate,DIMETHYL FUMARATE,Multiple sclerosis,Neurology – Demyelinating,chemical,KEAP1,0.13,240MG oral,Once daily,Indefinite (lifelong maintenance)
