Drug,Matched_Query,Source,N_Indications,Indications_Parsed,Label_Indication_Text
Brexpiprazole,openfda.generic_name=Brexpiprazole,openFDA label,3,Schizophrenia; Major depressive disorder; Alzheimer's disease / dementia,"REXULTI is indicated for: Adjunctive treatment to antidepressants for major depressive disorder (MDD) in adults Treatment of schizophrenia in adults and pediatric patients ages 13 years and older Treatment of agitation associated with dementia due to Alzheimer's disease Limitations of Use: REXULTI is not indicated as an as needed (""prn"") treatment for agitation associated with dementia due to Alzheimer's disease . REXULTI is an atypical antipsychotic indicated for: Use as an adjunctive therapy to antidepressants for the treatment of major depressive disorder (MDD) in adults ( 1 , 14.1 ) Treatm"
Brigatinib,openfda.generic_name=Brigatinib,openFDA label,3,Non-small cell lung cancer; Small cell lung cancer; Lymphoma,"ALUNBRIG is indicated for the treatment of adult patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC) as detected by an FDA-approved test . ALUNBRIG is a kinase inhibitor indicated for the treatment of adult patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC) as detected by an FDA-approved test. ( 1 , 2.1 )"
Brimonidine Tartrate,openfda.generic_name=Brimonidine,openFDA label,0,,Use relieves redness of the eye due to minor eye irritations
Brimonidine Tartrate; Brinzolamide,openfda.brand_name=SIMBRINZA,openFDA label,2,Hypertension; Glaucoma / ocular hypertension,"SIMBRINZA (brinzolamide/brimonidine tartrate ophthalmic suspension) 1%/0.2% is a fixed combination of a carbonic anhydrase inhibitor and an alpha 2 adrenergic receptor agonist indicated for the reduction of elevated intraocular pressure (IOP) in patients with open-angle glaucoma or ocular hypertension. SIMBRINZA is a combination of brinzolamide, a carbonic anhydrase inhibitor, and brimonidine tartrate, an alpha adrenergic agonist, indicated for the reduction of elevated intraocular pressure (IOP) in patients with open-angle glaucoma or ocular hypertension."
Brimonidine Tartrate; Carbachol,openfda.brand_name=YUVEZZI,openFDA label,0,,"YUVEZZI™ is indicated for the treatment of presbyopia in adults. YUVEZZI is a combination of carbachol, a cholinergic agonist, and brimonidine, an alpha-adrenergic receptor agonist, indicated for the treatment of presbyopia in adults."
Brimonidine Tartrate; Timolol Maleate,openfda.brand_name=COMBIGAN,openFDA label,2,Hypertension; Glaucoma / ocular hypertension,"COMBIGAN ® is indicated for the reduction of elevated intraocular pressure (IOP) in patients with glaucoma or ocular hypertension who require adjunctive or replacement therapy due to inadequately controlled IOP. The IOP-lowering of COMBIGAN dosed twice a day was slightly less than that seen with the concomitant administration of 0.5% timolol maleate ophthalmic solution dosed twice a day and 0.2% brimonidine tartrate ophthalmic solution dosed three times per day. COMBIGAN is a combination of brimonidine tartrate, an alpha-adrenergic receptor agonist, and timolol maleate, a beta-adrenergic recep"
Brinzolamide,openfda.generic_name=Brinzolamide,openFDA label,2,Hypertension; Glaucoma / ocular hypertension,AZOPT is a carbonic anhydrase inhibitor indicated in the treatment of elevated intraocular pressure (IOP) in patients with ocular hypertension or open-angle glaucoma. AZOPT is a carbonic anhydrase inhibitor indicated for the treatment of elevated intraocular pressure (IOP) in patients with ocular hypertension or open-angle glaucoma.
Brivaracetam,openfda.generic_name=Brivaracetam,openFDA label,1,Epilepsy / seizures,Brivaracetam tablets are indicated for the treatment of partial-onset seizures in patients 1 month of age and older. Brivaracetam tablets are indicated for the treatment of partial-onset seizures in patients 1 month of age and older.
Budesonide,openfda.generic_name=Budesonide,openFDA label,1,Allergic rhinitis,Use s Temporarily relieves these symptoms of hay fever or other upper respiratory allergies: • nasal congestion • runny nose • itchy nose • sneezing
Budesonide; Formoterol Fumarate,openfda.generic_name=Budesonide and Formoterol,openFDA label,2,Asthma; COPD,"BUDESONIDE AND FORMOTEROL FUMARATE DIHYDRATE INHALATION AEROSOL is a combination product containing a corticosteroid and a long-acting beta 2 -adrenergic agonist indicated for: • Treatment of asthma in patients 6 years of age and older. • Maintenance treatment of airflow obstruction and reducing exacerbations in patients with chronic obstructive pulmonary disease (COPD) including chronic bronchitis and/or emphysema. Important limitations: • Not indicated for the relief of acute bronchospasm. ( 1.1 , 1.2 ) 1.1 Treatment of Asthma BUDESONIDE AND FORMOTEROL FUMARATE DIHYDRATE INHALATION AEROSOL i"
Budesonide; Formoterol Fumarate Dihydrate,openfda.brand_name=BREYNA,openFDA label,2,Asthma; COPD,"BREYNA is a combination product containing a corticosteroid and a long-acting beta 2 -adrenergic agonist indicated for: • Treatment of asthma in patients 6 years of age and older. • Maintenance treatment of airflow obstruction and reducing exacerbations in patients with chronic obstructive pulmonary disease (COPD) including chronic bronchitis and/or emphysema. Important limitations: • Not indicated for the relief of acute bronchospasm. ( 1.1 , 1.2 ) 1.1 Treatment of Asthma BREYNA is indicated for the treatment of asthma in patients 6 years of age and older. BREYNA should be used for patients n"
Budesonide; Formoterol Fumarate; Glycopyrrolate,openfda.generic_name=Budesonide,openFDA label,1,Allergic rhinitis,Use s Temporarily relieves these symptoms of hay fever or other upper respiratory allergies: • nasal congestion • runny nose • itchy nose • sneezing
Bumetanide,openfda.generic_name=Bumetanide,openFDA label,1,Heart failure,"INDICATIONS AND USAGE Bumetanide tablets, USP are indicated for the treatment of edema associated with congestive heart failure, hepatic and renal disease, including the nephrotic syndrome. Almost equal diuretic response occurs after oral and parenteral administration of bumetanide. Therefore, if impaired gastrointestinal absorption is suspected or oral administration is not practical, bumetanide should be given by the intramuscular or intravenous route. Successful treatment with bumetanide tablets, USP following instances of allergic reactions to furosemide suggests a lack of cross-sensitivit"
Buprenorphine,openfda.generic_name=Buprenorphine,openFDA label,1,Opioid use disorder,"Buprenorphine sublingual tablet is indicated for the treatment of opioid dependence and is preferred for induction. Buprenorphine sublingual tablet should be used as part of a complete treatment plan to include counseling and psychosocial support. Buprenorphine sublingual tablet, contains buprenorphine, a partial opioid agonist, and is indicated for the treatment of opioid dependence and is preferred for induction. Buprenorphine sublingual tablet should be used as part of a complete treatment plan that includes counseling and psychosocial support."
Buprenorphine Hydrochloride,openfda.generic_name=Buprenorphine,openFDA label,1,Opioid use disorder,"Buprenorphine sublingual tablet is indicated for the treatment of opioid dependence and is preferred for induction. Buprenorphine sublingual tablet should be used as part of a complete treatment plan to include counseling and psychosocial support. Buprenorphine sublingual tablet, contains buprenorphine, a partial opioid agonist, and is indicated for the treatment of opioid dependence and is preferred for induction. Buprenorphine sublingual tablet should be used as part of a complete treatment plan that includes counseling and psychosocial support."
Buprenorphine Hydrochloride; Naloxone Hydrochloride,openfda.brand_name=SUBOXONE,openFDA label,1,Opioid use disorder,"SUBOXONE sublingual film is indicated for treatment of opioid dependence. SUBOXONE sublingual film should be used as part of a complete treatment plan that includes counseling and psychosocial support. SUBOXONE® sublingual film contains buprenorphine, a partial‐opioid agonist, and naloxone, an opioid antagonist, and is indicated for treatment of opioid dependence. SUBOXONE sublingual film should be used as part of a complete treatment plan that includes counseling and psychosocial support."
Bupropion Hydrobromide,openfda.generic_name=Bupropion,openFDA label,1,Major depressive disorder,"Bupropion hydrochloride extended-release tablets (XL) are an aminoketone antidepressant, indicated for: treatment of major depressive disorder (MDD) prevention of seasonal affective disorder (SAD) 1.1 Major Depressive Disorder (MDD) Bupropion hydrochloride extended-release tablets (XL) are indicated for the treatment of major depressive disorder (MDD), as defined by the Diagnostic and Statistical Manual (DSM). The efficacy of the immediate-release formulation of bupropion was established in two 4-week controlled inpatient trials and one 6-week controlled outpatient trial of adult patients with"
Bupropion Hydrochloride,openfda.generic_name=Bupropion,openFDA label,1,Major depressive disorder,"Bupropion hydrochloride extended-release tablets (XL) are an aminoketone antidepressant, indicated for: treatment of major depressive disorder (MDD) prevention of seasonal affective disorder (SAD) 1.1 Major Depressive Disorder (MDD) Bupropion hydrochloride extended-release tablets (XL) are indicated for the treatment of major depressive disorder (MDD), as defined by the Diagnostic and Statistical Manual (DSM). The efficacy of the immediate-release formulation of bupropion was established in two 4-week controlled inpatient trials and one 6-week controlled outpatient trial of adult patients with"
Bupropion Hydrochloride; Dextromethorphan Hydrobromide,openfda.brand_name=AUVELITY,openFDA label,2,Major depressive disorder; Alzheimer's disease / dementia,"AUVELITY is a combination of dextromethorphan, an uncompetitive N -methyl D -aspartate (NMDA) receptor antagonist and sigma-1 receptor agonist, and bupropion, an aminoketone and CYP450 2D6 inhibitor, indicated for the treatment of major depressive disorder (MDD) in adults the treatment of agitation associated with dementia due to Alzheimer’s disease Limitations of Use: AUVELITY is not indicated as an as needed (“prn”) treatment for agitation associated with dementia due to Alzheimer’s disease . 1.1 Major Depressive Disorder AUVELITY is indicated for the treatment of major depressive disorder ("
Bupropion Hydrochloride; Naltrexone Hydrochloride,openfda.brand_name=CONTRAVE,openFDA label,1,Obesity / weight management,"CONTRAVE is indicated in combination with a reduced-calorie diet and increased physical activity to reduce excess body weight and maintain weight reduction long term in adults with obesity or overweight in the presence of at least one weight-related comorbid condition. CONTRAVE is a combination of naltrexone, an opioid antagonist, and bupropion, an aminoketone antidepressant, indicated in combination with a reduced-calorie diet and increased physical activity to reduce excess body weight and maintain weight reduction long term in adults with obesity or overweight in the presence of at least on"
Buspirone Hydrochloride,openfda.generic_name=Buspirone,openFDA label,1,Anxiety disorder,INDICATIONS AND USAGE Buspirone hydrochloride tablets are indicated for the management of anxiety disorders or the short-term relief of the symptoms of anxiety. Anxiety or tension associated with the stress of everyday life usually does not require treatment with an anxiolytic. The efficacy of buspirone hydrochloride tablets has been demonstrated in controlled clinical trials of outpatients whose diagnosis roughly corresponds to Generalized Anxiety Disorder (GAD). Many of the patients enrolled in these studies also had coexisting depressive symptoms and buspirone hydrochloride tablets relieved
Cabazitaxel,openfda.generic_name=Cabazitaxel,openFDA label,1,Prostate cancer,JEVTANA ® is indicated in combination with prednisone for the treatment of patients with metastatic castration-resistant prostate cancer previously treated with a docetaxel-containing treatment regimen. JEVTANA is a microtubule inhibitor indicated in combination with prednisone for treatment of patients with metastatic castration-resistant prostate cancer previously treated with a docetaxel-containing treatment regimen.
Cabotegravir,openfda.generic_name=Cabotegravir,openFDA label,1,HIV infection,"CABENUVA is indicated as a complete regimen for the treatment of HIV-1 infection in adults and adolescents 12 years of age and older and weighing at least 35 kg to replace the current antiretroviral regimen in those who are virologically suppressed (HIV-1 RNA <50 copies/mL) on a stable antiretroviral regimen with no history of treatment failure and with no known or suspected resistance to either cabotegravir or rilpivirine . CABENUVA, a 2-drug co-packaged product of cabotegravir, an HIV-1 integrase strand transfer inhibitor (INSTI), and rilpivirine, an HIV-1 non‑nucleoside reverse transcriptas"
Cabotegravir Sodium,openfda.generic_name=Cabotegravir,openFDA label,1,HIV infection,"CABENUVA is indicated as a complete regimen for the treatment of HIV-1 infection in adults and adolescents 12 years of age and older and weighing at least 35 kg to replace the current antiretroviral regimen in those who are virologically suppressed (HIV-1 RNA <50 copies/mL) on a stable antiretroviral regimen with no history of treatment failure and with no known or suspected resistance to either cabotegravir or rilpivirine . CABENUVA, a 2-drug co-packaged product of cabotegravir, an HIV-1 integrase strand transfer inhibitor (INSTI), and rilpivirine, an HIV-1 non‑nucleoside reverse transcriptas"
Cabotegravir; Rilpivirine,openfda.generic_name=Cabotegravir and Rilpivirine,openFDA label,1,HIV infection,"CABENUVA is indicated as a complete regimen for the treatment of HIV-1 infection in adults and adolescents 12 years of age and older and weighing at least 35 kg to replace the current antiretroviral regimen in those who are virologically suppressed (HIV-1 RNA <50 copies/mL) on a stable antiretroviral regimen with no history of treatment failure and with no known or suspected resistance to either cabotegravir or rilpivirine . CABENUVA, a 2-drug co-packaged product of cabotegravir, an HIV-1 integrase strand transfer inhibitor (INSTI), and rilpivirine, an HIV-1 non‑nucleoside reverse transcriptas"
Cabozantinib S-malate,openfda.generic_name=Cabozantinib,openFDA label,1,Thyroid cancer,"COMETRIQ is indicated for the treatment of patients with progressive, metastatic medullary thyroid cancer (MTC). COMETRIQ is a kinase inhibitor indicated for the treatment of patients with progressive, metastatic medullary thyroid cancer (MTC)."
Calcipotriene,openfda.generic_name=Calcipotriene,openFDA label,1,Psoriasis,Calcipotriene and Betamethasone Dipropionate Ointment is indicated for the topical treatment of plaque psoriasis in patients 12 years of age and older. Calcipotriene and Betamethasone Dipropionate Ointment is a vitamin D analogue and corticosteroid combination product indicated for the topical treatment of plaque psoriasis in patients 12 years of age and older.
Calcitonin Salmon,openfda.generic_name=Calcitonin Salmon,openFDA label,2,Osteoporosis; Menopausal / hormone therapy,"Calcitonin salmon injection, synthetic is a calcitonin, indicated for the following conditions: Treatment of symptomatic Paget's disease of bone when alternative treatments are not suitable Treatment of hypercalcemia Treatment of postmenopausal osteoporosis when alternative treatments are not suitable. Fracture reduction efficacy has not been demonstrated Limitations of Use: Due to the possible association between malignancy and calcitonin salmon use, the need for continued therapy should be re-evaluated on a periodic basis ( 1.4 , 5.3 ) 1.1 Treatment of Paget’s Disease of Bone Calcitonin salm"
Calcitriol,openfda.generic_name=Calcitriol,openFDA label,1,Mineral / vitamin D disorder,"INDICATIONS AND USAGE Predialysis Patients Calcitriol Oral Solution is indicated in the management of secondary hyperparathyroidism and resultant metabolic bone disease in patients with moderate to severe chronic renal failure (Ccr 15 to 55 mL/min) not yet on dialysis. In children, the creatinine clearance value must be corrected for a surface area of 1.73 square meters. A serum iPTH level of ≥ 100 pg/mL is strongly suggestive of secondary hyperparathyroidism. Dialysis Patients Calcitriol Oral Solution is indicated in the management of hypocalcemia and the resultant metabolic bone disease in p"
Calcium Acetate,openfda.generic_name=Calcium,openFDA label,0,,Calcium acetate is a phosphate binder indicated to reduce serum phosphorus in patients with end stage renal disease (ESRD). Calcium acetate is a phosphate binder indicated for the reduction of serum phosphorus in patients with end stage renal disease.
Calcium Chloride; Magnesium Chloride; Potassium Chloride; Sodium Acetate; Sodium Chloride,openfda.generic_name=Calcium,openFDA label,0,,Calcium acetate is a phosphate binder indicated to reduce serum phosphorus in patients with end stage renal disease (ESRD). Calcium acetate is a phosphate binder indicated for the reduction of serum phosphorus in patients with end stage renal disease.
Calcium Chloride; Magnesium Chloride; Potassium Chloride; Sodium Acetate; Sodium Chloride; Sodium Citrate,openfda.brand_name=BALANCED SALT,openFDA label,0,,INDICATIONS AND USAGE For use as an extraocular and intraocular irrigating solution during ocular surgical procedure involving perfusion of the eye with an expected maximum duration of less than 60 minutes.
Calcium Chloride; Magnesium Chloride; Potassium Chloride; Sodium Bicarbonate; Sodium Chloride; Sodium Phosphate,openfda.generic_name=Calcium,openFDA label,0,,Calcium acetate is a phosphate binder indicated to reduce serum phosphorus in patients with end stage renal disease (ESRD). Calcium acetate is a phosphate binder indicated for the reduction of serum phosphorus in patients with end stage renal disease.
Calcium Chloride; Magnesium Chloride; Potassium Chloride; Sodium Chloride,openfda.generic_name=Calcium,openFDA label,0,,Calcium acetate is a phosphate binder indicated to reduce serum phosphorus in patients with end stage renal disease (ESRD). Calcium acetate is a phosphate binder indicated for the reduction of serum phosphorus in patients with end stage renal disease.
Calcium Chloride; Potassium Chloride; Sodium Chloride,openfda.generic_name=Calcium,openFDA label,0,,Calcium acetate is a phosphate binder indicated to reduce serum phosphorus in patients with end stage renal disease (ESRD). Calcium acetate is a phosphate binder indicated for the reduction of serum phosphorus in patients with end stage renal disease.
Calcium Chloride; Potassium Chloride; Sodium Chloride; Sodium Lactate,openfda.generic_name=Calcium,openFDA label,0,,Calcium acetate is a phosphate binder indicated to reduce serum phosphorus in patients with end stage renal disease (ESRD). Calcium acetate is a phosphate binder indicated for the reduction of serum phosphorus in patients with end stage renal disease.
Calcium Gluconate,openfda.generic_name=Calcium,openFDA label,0,,Calcium acetate is a phosphate binder indicated to reduce serum phosphorus in patients with end stage renal disease (ESRD). Calcium acetate is a phosphate binder indicated for the reduction of serum phosphorus in patients with end stage renal disease.
Canagliflozin,openfda.generic_name=Canagliflozin,openFDA label,4,Type 2 diabetes; Diabetes mellitus; Myocardial infarction (risk reduction); Stroke (risk reduction),"INVOKANA (canagliflozin) is indicated: as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. to reduce the risk of major adverse cardiovascular events (cardiovascular death, nonfatal myocardial infarction and nonfatal stroke) in adults with type 2 diabetes mellitus and established cardiovascular disease (CVD). to reduce the risk of end-stage kidney disease (ESKD), doubling of serum creatinine, cardiovascular (CV) death, and hospitalization for heart failure in adults with type 2 diabetes mellitus and diabetic nephropathy with albuminuria greate"
Canagliflozin; Metformin Hydrochloride,openfda.brand_name=INVOKAMET,openFDA label,2,Type 2 diabetes; Diabetes mellitus,"INVOKAMET and INVOKAMET XR are a combination of canagliflozin, a sodium-glucose co-transporter 2 (SGLT2) inhibitor, and metformin hydrochloride (HCl), a biguanide, indicated as an adjunct to diet and exercise to improve glycemic control in adults and pediatric patients aged 10 years and older with type 2 diabetes mellitus . Canagliflozin Canagliflozin, when used as a component of INVOKAMET or INVOKAMET XR is indicated in adults with type 2 diabetes mellitus to reduce the risk of: Major adverse cardiovascular events in adults with type 2 diabetes mellitus and established cardiovascular disease "
Candesartan Cilexetil,openfda.generic_name=Candesartan,openFDA label,1,Hypertension,"Candesartan cilexetil tablets are an angiotensin II receptor blocker (ARB) indicated for: · Treatment of hypertension in adults and children 1 to <17 years of age, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and non-fatal cardiovascular events, primarily strokes and myocardial infarctions . · Treatment of heart failure (NYHA class II-IV); candesartan cilexetil tablets reduces cardiovascular death and heart failure hospitalization 1.1 Hypertension Candesartan cilexetil tablets are indicated for the treatment of hypertension in adults and in children 1 to <17 years"
Candesartan Cilexetil; Hydrochlorothiazide,openfda.brand_name=ATACAND HCT,openFDA label,1,Hypertension,"INDICATIONS AND USAGE ATACAND HCT is indicated for the treatment of hypertension, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and non-fatal cardiovascular events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes including the class to which this drug principally belongs. There are no controlled trials demonstrating risk reduction with ATACAND HCT. Control of high blood pressure should be part of comprehensive cardiovascular risk management, inclu"
Cannabidiol,openfda.generic_name=Cannabidiol,openFDA label,1,Epilepsy / seizures,"EPIDIOLEX is indicated for the treatment of seizures associated with Lennox-Gastaut syndrome (LGS), Dravet syndrome (DS), or tuberous sclerosis complex (TSC) in patients 1 year of age and older. EPIDIOLEX is indicated for the treatment of seizures associated with Lennox-Gastaut syndrome, Dravet syndrome, or tuberous sclerosis complex in patients 1 year of age and older"
Capecitabine,openfda.generic_name=Capecitabine,openFDA label,1,Colorectal cancer,Capecitabine tablet is a nucleoside metabolic inhibitor indicated for: Colorectal Cancer • adjuvant treatment of patients with Stage III colon cancer as a single agent or as a component of a combination chemotherapy regimen. • perioperative treatment of adults with locally advanced rectal cancer as a component of chemoradiotherapy. • treatment of patients with unresectable or metastatic colorectal cancer as a single agent or as a component of a combination chemotherapy regimen. Breast Cancer • treatment of patients with advanced or metastatic breast cancer as a single agent if an anthracycline
Capmatinib Hydrochloride,openfda.generic_name=Capmatinib,openFDA label,2,Non-small cell lung cancer; Small cell lung cancer,TABRECTA is indicated for the treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have a mutation that leads to mesenchymal-epithelial transition (MET) exon 14 skipping as detected by an FDA-approved test. TABRECTA is a kinase inhibitor indicated for the treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have a mutation that leads to mesenchymal-epithelial transition (MET) exon 14 skipping as detected by an FDA-approved test.
Captopril,openfda.generic_name=Captopril,openFDA label,1,Hypertension,"INDICATIONS & USAGE Captopril and hydrochlorothiazide tablets are indicated for the treatment of hypertension. The blood pressure lowering effects of captopril and thiazides are approximately additive. This fixed combination drug may be used as initial therapy or substituted for previously titrated doses of the individual components. When captopril and hydrochlorothiazide are given together it may not be necessary to administer captopril in divided doses to attain blood pressure control at trough (before the next dose). Also, with such a combination, a daily dose of 15 mg of hydrochlorothiazid"
Captopril; Hydrochlorothiazide,openfda.brand_name=CAPTOPRIL AND HYDROCHLOROTHIAZIDE,openFDA label,1,Hypertension,"INDICATIONS & USAGE Captopril and hydrochlorothiazide tablets are indicated for the treatment of hypertension. The blood pressure lowering effects of captopril and thiazides are approximately additive. This fixed combination drug may be used as initial therapy or substituted for previously titrated doses of the individual components. When captopril and hydrochlorothiazide are given together it may not be necessary to administer captopril in divided doses to attain blood pressure control at trough (before the next dose). Also, with such a combination, a daily dose of 15 mg of hydrochlorothiazid"
Carbamazepine,openfda.generic_name=Carbamazepine,openFDA label,1,Epilepsy / seizures,"INDICATIONS AND USAGE Epilepsy Carbamazepine is indicated for use as an anticonvulsant drug. Evidence supporting efficacy of carbamazepine as an anticonvulsant was derived from active drug-controlled studies that enrolled patients with the following seizure types: 1. Partial seizures with complex symptomatology (psychomotor, temporal lobe). Patients with these seizures appear to show greater improvement than those with other types. 2. Generalized tonic-clonic seizures (grand mal). 3. Mixed seizure patterns which include the above, or other partial or generalized seizures. Absence seizures (pet"
Carbidopa,openfda.generic_name=Carbidopa,openFDA label,1,Parkinson's disease,"INDICATIONS AND USAGE Carbidopa and levodopa extended-release tablets are indicated in the treatment of Parkinson’s disease, post-encephalitic parkinsonism, and symptomatic parkinsonism that may follow carbon monoxide intoxication or manganese intoxication."
Carbidopa; Entacapone; Levodopa,openfda.generic_name=Carbidopa,openFDA label,1,Parkinson's disease,"INDICATIONS AND USAGE Carbidopa and levodopa extended-release tablets are indicated in the treatment of Parkinson’s disease, post-encephalitic parkinsonism, and symptomatic parkinsonism that may follow carbon monoxide intoxication or manganese intoxication."
Carbidopa; Levodopa,openfda.brand_name=CARBIDOPA AND LEVODOPA,openFDA label,1,Parkinson's disease,"INDICATIONS AND USAGE Carbidopa and levodopa extended-release tablets are indicated in the treatment of Parkinson’s disease, post-encephalitic parkinsonism, and symptomatic parkinsonism that may follow carbon monoxide intoxication or manganese intoxication."
Carfilzomib,openfda.generic_name=Carfilzomib,openFDA label,1,Multiple myeloma,"Kyprolis is a proteasome inhibitor that is indicated: for the treatment of adult patients with relapsed or refractory multiple myeloma who have received one to three lines of therapy in combination with Lenalidomide and dexamethasone; or Dexamethasone; or Daratumumab and dexamethasone; or Daratumumab and hyaluronidase-fihj and dexamethasone; or Isatuximab and dexamethasone. ( 1 , 14 ) as a single agent for the treatment of patients with relapsed or refractory multiple myeloma who have received one or more lines of therapy. ( 1 , 14 ) 1.1 Relapsed or Refractory Multiple Myeloma Kyprolis is indi"
Carteolol Hydrochloride,openfda.generic_name=Carteolol,openFDA label,2,Hypertension; Glaucoma / ocular hypertension,INDICATIONS AND USAGE Carteolol Hydrochloride Ophthalmic Solution 1% has been shown to be effective in lowering intraocular pressure and may be used in patients with chronic open-angle glaucoma and intraocular hypertension. It may be used alone or in combination with other intraocular pressure lowering medications.
Carvedilol,openfda.generic_name=Carvedilol,openFDA label,3,Heart failure; Hypertension; Myocardial infarction (risk reduction),"Carvedilol tablets are an alpha/beta-adrenergic blocking agent indicated for the treatment of: mild to severe chronic heart failure left ventricular dysfunction following myocardial infarction in clinically stable patients hypertension 1.1 Heart Failure Carvedilol tablets are indicated for the treatment of mild-to-severe chronic heart failure of ischemic or cardiomyopathic origin, usually in addition to diuretics, ACE inhibitors, and digitalis, to increase survival and, also, to reduce the risk of hospitalization . 1.2 Left Ventricular Dysfunction following Myocardial Infarction Carvedilol tab"
Carvedilol Phosphate,openfda.generic_name=Carvedilol,openFDA label,3,Heart failure; Hypertension; Myocardial infarction (risk reduction),"Carvedilol tablets are an alpha/beta-adrenergic blocking agent indicated for the treatment of: mild to severe chronic heart failure left ventricular dysfunction following myocardial infarction in clinically stable patients hypertension 1.1 Heart Failure Carvedilol tablets are indicated for the treatment of mild-to-severe chronic heart failure of ischemic or cardiomyopathic origin, usually in addition to diuretics, ACE inhibitors, and digitalis, to increase survival and, also, to reduce the risk of hospitalization . 1.2 Left Ventricular Dysfunction following Myocardial Infarction Carvedilol tab"
Cedazuridine; Decitabine,openfda.brand_name=INQOVI,openFDA label,2,Myelodysplastic syndromes; Anemia,"INQOVI is a combination of decitabine, a nucleoside metabolic inhibitor, and cedazuridine, a cytidine deaminase inhibitor, indicated: For treatment of adult patients with myelodysplastic syndromes (MDS), including previously treated and untreated, de novo and secondary MDS with the following French-American-British subtypes (refractory anemia, refractory anemia with ringed sideroblasts, refractory anemia with excess blasts, and chronic myelomonocytic leukemia [CMML]) and intermediate-1, intermediate-2, and high-risk International Prognostic Scoring System groups. In combination with venetoclax"
Ceritinib,openfda.generic_name=Ceritinib,openFDA label,3,Non-small cell lung cancer; Small cell lung cancer; Lymphoma,"ZYKADIA ® is indicated for the treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumors are anaplastic lymphoma kinase (ALK)-positive as detected by an FDA-approved test . ZYKADIA is a kinase inhibitor indicated for the treatment of adults with metastatic non-small cell lung cancer (NSCLC) whose tumors are anaplastic lymphoma kinase (ALK)-positive as detected by an FDA-approved test. ( 1 , 2.1 )"
Chlorambucil,openfda.generic_name=Chlorambucil,openFDA label,1,Lymphoma,"INDICATIONS AND USAGE LEUKERAN (chlorambucil) is indicated in the treatment of chronic lymphatic (lymphocytic) leukemia, malignant lymphomas including lymphosarcoma, giant follicular lymphoma, and Hodgkin’s disease. It is not curative in any of these disorders but may produce clinically useful palliation."
Chloroquine Phosphate,openfda.generic_name=Chloroquine,openFDA label,0,,"INDICATIONS AND USAGE Chloroquine phosphate tablets are indicated for the: Treatment of uncomplicated malaria due to susceptible strains of P. falciparum, P.malariae, P. ovale, and P.vivax . Prophylaxis of malaria in geographic areas where resistance to chloroquine is not present. Treatment of extraintestinal amebiasis. Chloroquine phosphate tablets do not prevent relapses in patients with vivax or ovale malaria because it is not effective against exoerythrocytic forms of the parasites. Limitations of Use in Malaria: Do not use chloroquine phosphate tablets for the treatment of complicated mal"
Chlorothiazide Sodium,openfda.generic_name=Chlorothiazide,openFDA label,1,Heart failure,"INDICATIONS AND USAGE Chlorothiazide sodium for injection is indicated as adjunctive therapy in edema associated with congestive heart failure, hepatic cirrhosis, and corticosteroid and estrogen therapy. Chlorothiazide sodium for injection has also been found useful in edema due to various forms of renal dysfunction such as nephrotic syndrome, acute glomerulonephritis, and chronic renal failure. Use in Pregnancy Routine use of diuretics during normal pregnancy is inappropriate and exposes mother and fetus to unnecessary hazard. Diuretics do not prevent development of toxemia of pregnancy and t"
Chlorpromazine Hydrochloride,openfda.generic_name=Chlorpromazine,openFDA label,2,Schizophrenia; Nausea / vomiting,"INDICATIONS AND USAGE For the management of manifestations of psychotic disorders. For the treatment of schizophrenia. To control nausea and vomiting. For relief of restlessness and apprehension before surgery. For acute intermittent porphyria. As an adjunct in the treatment of tetanus. To control the manifestations of the manic type of manic-depressive illness. For relief of intractable hiccups. For the treatment of severe behavioral problems in children (1 to 12 years of age) marked by combativeness and/or explosive hyperexcitable behavior (out of proportion to immediate provocations), and i"
Chlorthalidone,openfda.generic_name=Chlorthalidone,openFDA label,1,Heart failure,"INDICATIONS AND USAGE Diuretics such as chlorthalidone are indicated in the management of hypertension either as the sole therapeutic agent or to enhance the effect of other antihypertensive drugs in the more severe forms of hypertension. Chlorthalidone is indicated as adjunctive therapy in edema associated with congestive heart failure, hepatic cirrhosis, and corticosteroid and estrogen therapy. Chlorthalidone has also been found useful in edema due to various forms of renal dysfunction, such as nephrotic syndrome, acute glomerulonephritis, and chronic renal failure. Usage in Pregnancy The ro"
