Source,Record_ID,Company_Sponsor,Sponsor_Class,Country,Product_Name,Target_Disease,Disease_Area,Cell_Type,Gene_Target,Stage,Status,Start_Date,Source_URL,Notes
ClinicalTrials.gov,NCT04392778,SBÜ Dr. Sadi Konuk Eğitim ve Araştırma Hastanesi,OTHER,Turkey (Türkiye),MSC Treatment; Saline Control,Covid19; Pneumonia; Multiple Organ Failure; Corona Virus Infection,Infectious Disease / COVID-19,Mesenchymal Stem Cell (MSC),,Phase 1/2,COMPLETED,2020-04-01,https://clinicaltrials.gov/study/NCT04392778,Clinical Use of Stem Cells for the Treatment of Covid-19
ClinicalTrials.gov,NCT04876326,Indonesia University,OTHER,Indonesia,Autologous Adipose Mesenchymal Stem Cell Implantation; Allogeneic Umbilical Cord Mesenchymal Stem Cell Implantation; Allogeneic Umbilical Cord Mesenchymal Stem Cell and Adipose Secretome Implantation,"Multiple System Atrophy; Parkinsonism; Multiple System Atrophy, Parkinson Variant",Neurological,Mesenchymal Stem Cell (MSC),,N/A (Device/Behavioral),UNKNOWN,2020-10-05,https://clinicaltrials.gov/study/NCT04876326,Potential Use of Autologous and Allogeneic Mesenchymal Stem Cells in Patients With Multiple System Atrophy
ClinicalTrials.gov,NCT03981549,"The Emmes Company, LLC",INDUSTRY,United States,Autologous Bone Marrow CD34+ Stem Cells; Sham Therapy,Central Retinal Vein Occlusion,Ophthalmologic,Cord Blood / HSC,,Phase 1/2,COMPLETED,2019-10-22,https://clinicaltrials.gov/study/NCT03981549,Treatment of Central Retinal Vein Occlusion Using Stem Cells Study
ClinicalTrials.gov,NCT06702098,"Guangzhou Ruixin Biotechnological Co., LTD",INDUSTRY,China,iNK cells,Acute Myeloid Leukemia (AML),Oncology / Hematologic Malignancy,iPSC (induced pluripotent),,Early Phase 1,NOT_YET_RECRUITING,2024-11-25,https://clinicaltrials.gov/study/NCT06702098,Induced Pluripotent Stem Cells Derived Natural Killer Cells Therapy for Refractory and Relaps Acute Myelogenous Leukemia
ClinicalTrials.gov,NCT01724398,"Third Affiliated Hospital, Sun Yat-Sen University",OTHER,China,Conventional plus UC-MSC treatment; Conventional plus PE treatment; Conventional plus UC-MSC and PE therapy; Conventional treatment,Liver Failure,Gastrointestinal / Liver,Mesenchymal Stem Cell (MSC),,Phase 1/2,UNKNOWN,2012-11,https://clinicaltrials.gov/study/NCT01724398,Umbilical Cord Mesenchymal Stem Cells Transplantation Combined With Plasma Exchange for Patients With Liver Failure
ClinicalTrials.gov,NCT06235398,Assistance Publique - Hôpitaux de Paris,OTHER,,Hematopoietic stem-cell transplantation,Myelodysplastic Syndromes,Oncology / Hematologic Malignancy,Cord Blood / HSC,,Phase 2,NOT_YET_RECRUITING,2024-02-01,https://clinicaltrials.gov/study/NCT06235398,Upfront Related Donor Transplantation in Patients With Myelodisplatic Syndrome : a Phase 2 Trial
ClinicalTrials.gov,NCT01350245,Sidney Kimmel Comprehensive Cancer Center at Thomas Jefferson University,OTHER,United States,Total Body Irradiation (TBI); Donor Lymphocyte Infusion (DLI); Cyclophosphamide; Mycophenolate Mofetil (MMF); Tacrolimus; Hematopoietic stem cell transplantation (HSCT),Acute Myeloid Leukemia; Myelodysplastic Syndromes; Biphenotypic Leukemia; Acute Lymphocytic Leukemia; Chronic Myeloid Leukemia; Chronic Lymphocytic Leukemia; Plasma Cell Neoplasms; Lymphoma; Hodgkin's Disease; Aplastic Anemia,Oncology / Hematologic Malignancy,Cord Blood / HSC,,Phase 2,COMPLETED,2010-07,https://clinicaltrials.gov/study/NCT01350245,Bone Marrow Transplantation of Patients in Remission Using Partially Matched Relative Donor
ClinicalTrials.gov,NCT00025077,Children's Cancer and Leukaemia Group,OTHER,Ireland; United Kingdom,filgrastim; carboplatin; cyclophosphamide; thiotepa; conventional surgery; peripheral blood stem cell transplantation; radiation therapy,Brain and Central Nervous System Tumors,Oncology / Hematologic Malignancy,Stem Cell (Unspecified Type),,Phase 2,COMPLETED,2000-01,https://clinicaltrials.gov/study/NCT00025077,"Combination Chemotherapy, Surgery or Radiation Therapy, and Peripheral Stem Cell Transplant in Treating Patients With Recurrent Medulloblastoma or Primitive Neuroectodermal and Pineal Tumors"
ClinicalTrials.gov,NCT01420432,Shandong University,OTHER,China,Human umbilical cord-derived MSCs,Ankylosing Spondylitis,Autoimmune / Inflammatory,Mesenchymal Stem Cell (MSC),,Phase 1,UNKNOWN,2011-01,https://clinicaltrials.gov/study/NCT01420432,Safety and Efficacy Study of Umbilical Cord/Placenta-Derived Mesenchymal Stem Cells to Treat Ankylosing Spondylitis (AS)
ClinicalTrials.gov,NCT04925687,"University of California, Davis",OTHER,United States,Intravitreal autologous CD34+ cells,Retinitis Pigmentosa,Ophthalmologic,Cord Blood / HSC,,Phase 1,COMPLETED,2021-06-01,https://clinicaltrials.gov/study/NCT04925687,Phase 1 Study of Intravitreal Autologous CD34+ Stem Cell Therapy for Retinitis Pigmentosa
ClinicalTrials.gov,NCT05305833,TC Erciyes University,OTHER,Turkey (Türkiye),Stem Cells,Temporomandibular Joint Disorders; Temporomandibular Disorder; Temporomandibular Joint Osteoarthritis; Temporomandibular Joint Pain; Temporomandibular Joint Effusion,Orthopedic / Musculoskeletal,Stem Cell (Unspecified Type),,Phase 1/2,UNKNOWN,2021-10-01,https://clinicaltrials.gov/study/NCT05305833,Stem Cells and Stromal Vascular Fraction for Temporomandibular Joint Disease
ClinicalTrials.gov,NCT00075621,Boston Medical Center,OTHER,United States,filgrastim; melphalan; autologous peripheral blood stem cell transplantation,Multiple Myeloma,Oncology / Hematologic Malignancy,Stem Cell (Unspecified Type),,Phase 2,COMPLETED,2000-08,https://clinicaltrials.gov/study/NCT00075621,Tandem Autologous Stem Cell Transplantation in Treating Patients With Primary Systemic (AL) Amyloidosis
ClinicalTrials.gov,NCT00003414,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,OTHER,United States,aldesleukin; recombinant interferon gamma; busulfan; cyclophosphamide; cyclosporine; peripheral blood stem cell transplantation; radiation therapy,Graft Versus Host Disease; Lymphoma,Oncology / Hematologic Malignancy,Stem Cell (Unspecified Type),,Phase 3,COMPLETED,1997-10,https://clinicaltrials.gov/study/NCT00003414,Graft-Versus-Host Disease in Treating Patients With Recurrent or Refractory Lymphoma or Hodgkin's Disease
ClinicalTrials.gov,NCT02668315,Maisonneuve-Rosemont Hospital,OTHER,Canada,Transplantation of cord blood expanded with UM171,Hematologic Malignancy,Oncology / Hematologic Malignancy,Cord Blood / HSC,,Phase 1/2,COMPLETED,2015-12-16,https://clinicaltrials.gov/study/NCT02668315,Expanded Cord Blood in Patients in Need of an Allogeneic Stem Cell Transplant
ClinicalTrials.gov,NCT02439398,Coretherapix,INDUSTRY,Spain,Allogeneic human cardiac stem cells (CSCs); Human Serum Albumin-HSA 5%,Acute Myocardial Infarction,Cardiovascular,Stem Cell (Unspecified Type),,Phase 1/2,COMPLETED,2014-06,https://clinicaltrials.gov/study/NCT02439398,Safety and Efficacy Evaluation of Intracoronary Infusion of Allogeneic Human Cardiac Stem Cells in Patients With AMI
ClinicalTrials.gov,NCT02504359,OHSU Knight Cancer Institute,OTHER,United States,Allogeneic Hematopoietic Stem Cell Transplantation; Carmustine; Cytarabine; Etoposide; Ixazomib Citrate; Melphalan; Methotrexate; Peripheral Blood Stem Cell Transplantation; Quality-of-Life Assessment; Tacrolimus,Plasma Cell Leukemia; Recurrent Plasma Cell Myeloma,Oncology / Hematologic Malignancy,Cord Blood / HSC,,Phase 1,COMPLETED,2015-07-20,https://clinicaltrials.gov/study/NCT02504359,Combination Chemotherapy and Donor Stem Cell Transplant Followed by Ixazomib Citrate Maintenance Therapy in Treating Patients With Relapsed High-Risk Multiple Myeloma
ClinicalTrials.gov,NCT05004779,Hangang Sacred Heart Hospital,OTHER,,human stem cell conditioned media was applied after non-ablative laser therapy; normal saline was applied after non ablative laser therapy,Stem Cell Media; Hypertrophic Scar; Regeneration,Other / Unclassified,Stem Cell (Unspecified Type),,N/A (Device/Behavioral),UNKNOWN,2021-08-10,https://clinicaltrials.gov/study/NCT05004779,Regenerative Effects of Human Stem Cell Media After Laser Therapy in Hypertrophic Scar
ClinicalTrials.gov,NCT01673789,Throne Biotechnologies Inc.,INDUSTRY,China,Stem Cell Educator,Alopecia Areata,Other / Unclassified,Stem Cell (Unspecified Type),,Phase 1/2,UNKNOWN,2012-08,https://clinicaltrials.gov/study/NCT01673789,Stem Cell Educator Therapy in Alopecia Areata
ClinicalTrials.gov,NCT01700946,St. Jude Children's Research Hospital,OTHER,United States,dexamethasone; vincristine sulfate; rituximab; clofarabine; cyclophosphamide; etoposide; aldesleukin; pegaspargase; methotrexate; mercaptopurine; cytarabine; mitoxantrone; teniposide; vinblastine; natural killer cell infusion; laboratory biomarker analysis; therapeutic hydrocortisone; allogeneic hematopoietic stem cell transplantation; CliniMACS,Recurrent B-Cell Childhood Acute Lymphoblastic Leukemia; Recurrent Childhood B-Lymphoblastic Lymphoma,Oncology / Hematologic Malignancy,Cord Blood / HSC,,Phase 2,COMPLETED,2013-04-15,https://clinicaltrials.gov/study/NCT01700946,Therapy for Pediatric Relapsed or Refractory Precursor B-Cell Acute Lymphoblastic Leukemia and Lymphoma
ClinicalTrials.gov,NCT00274846,"Masonic Cancer Center, University of Minnesota",OTHER,United States,aldesleukin; therapeutic allogeneic lymphocytes; cyclophosphamide; fludarabine phosphate; in vitro treated peripheral blood stem cell transplantation,Leukemia,Oncology / Hematologic Malignancy,Stem Cell (Unspecified Type),,Phase 2,COMPLETED,2005-03,https://clinicaltrials.gov/study/NCT00274846,Donor Peripheral Stem Cell Transplant in Treating Patients With Relapsed Acute Myeloid Leukemia
ClinicalTrials.gov,NCT06712108,Seoul National University Hospital,OTHER,South Korea,tranplant,Adult Double Unit Cord Blood Transplant,Other / Unclassified,Cord Blood / HSC,,Not Reported,RECRUITING,2023-12-21,https://clinicaltrials.gov/study/NCT06712108,Double Unit Cord Blood Transplant in Hematologic Malignancies.
ClinicalTrials.gov,NCT01182662,Shandong University,OTHER,China,Human umbilical cord-derived MSCs and cyclosporin A; cyclosporin A,Aplastic Anemia,Hematologic / Genetic Blood Disorder,Mesenchymal Stem Cell (MSC),,Phase 2,UNKNOWN,2010-08,https://clinicaltrials.gov/study/NCT01182662,Safety and Efficacy Study of Umbilical Cord/Placenta-Derived Mesenchymal Stem Cells to Treat Severe Aplastic Anemia
ClinicalTrials.gov,NCT04040127,"University of California, San Francisco",OTHER,,Cord blood stem cells; Saline solution,Irreversible Pulpitis,Other / Unclassified,Cord Blood / HSC,,Phase 2,WITHDRAWN,2019-09-01,https://clinicaltrials.gov/study/NCT04040127,Residual Dental Pulp Tissue and Cord Blood Stem Cells
ClinicalTrials.gov,NCT00186823,St. Jude Children's Research Hospital,OTHER,United States,"Miltenyi Biotec CliniMACS; Stem Cell Transplantation; TBI, systemic chemotherapy and antibodies as follows:","Leukemia, Acute Lymphocytic (ALL); Leukemia, Myeloid, Acute(AML); Leukemia, Myeloid, Chronic(CML); Juvenile Myelomonocytic Leukemia(JMML); Hemoglobinuria, Paroxysmal Nocturnal (PNH); Lymphoma, Non-Hodgkin (NHL); Myelodysplastic Syndrome (MDS)",Oncology / Hematologic Malignancy,Stem Cell (Unspecified Type),,Phase 3,COMPLETED,2002-03,https://clinicaltrials.gov/study/NCT00186823,Haploidentical Stem Cell Transplantation for Patients With Hematologic Malignancies
ClinicalTrials.gov,NCT03137979,Hebei Medical University,OTHER,China,GMSCs and collagen scaffolds; Collagen scaffolds; Open flap debridement,Periodontitis,Other / Unclassified,Mesenchymal Stem Cell (MSC),,Phase 1/2,UNKNOWN,2017-01,https://clinicaltrials.gov/study/NCT03137979,Gingiva Mesenchymal Stem Cells Treatment of Chronic Periodontitis
ClinicalTrials.gov,NCT00577096,University of Arkansas,OTHER,United States,"Epoetin Alfa; Exercise; Autologous Peripheral Blood Stem Cell Transplantation; Red Blood Cell Transfusion; Thalidomide; Heparin, Low-Molecular-Weight; Platelet Transfusion; Melphalan; Epoetin Alfa; Total Therapy II; Red Blood Cell Transfusion; Thalidomide; Heparin, Low-Molecular-Weight; Platelet Transfusion; Melphalan",Multiple Myeloma,Oncology / Hematologic Malignancy,Stem Cell (Unspecified Type),,N/A (Device/Behavioral),COMPLETED,2001-10,https://clinicaltrials.gov/study/NCT00577096,Effects of Exercise in Combination With Epoetin Alfa
ClinicalTrials.gov,NCT01461720,National University of Malaysia,OTHER,Malaysia,Standard medical care; Autologous bone marrow-derived mesenchymal stem cells,Middle Cerebral Artery Infarction,Other / Unclassified,Mesenchymal Stem Cell (MSC),,Phase 2,UNKNOWN,2012-03,https://clinicaltrials.gov/study/NCT01461720,Intravenous Autologous Mesenchymal Stem Cells Transplantation to Treat Middle Cerebral Artery Infarct
ClinicalTrials.gov,NCT03466515,University of Southern Denmark,OTHER,Denmark,stem cells injection,Anal Fistula; Crohn Disease,Autoimmune / Inflammatory,Stem Cell (Unspecified Type),,N/A (Device/Behavioral),COMPLETED,2018-06-01,https://clinicaltrials.gov/study/NCT03466515,Stem Cells Treatment of Complex Crohn's Anal Fistula
ClinicalTrials.gov,NCT00618540,"Masonic Cancer Center, University of Minnesota",OTHER,United States,alemtuzumab; fludarabine phosphate; melphalan; stem cell transplantation,"Histiocytosis, Langerhans-cell",Other / Unclassified,Stem Cell (Unspecified Type),,Phase 2,TERMINATED,2007-01,https://clinicaltrials.gov/study/NCT00618540,Reduced Intensity Hematopoietic Cell Transplantation for Patients With Resistant Langerhans Cell Histiocytosis
ClinicalTrials.gov,NCT05962762,"Asia Cell Therapeutics (Shanghai) Co., Ltd.",INDUSTRY,,Human Umbilical Cord Mesenchymal Stem Cells,Ankylosing Spondylitis,Autoimmune / Inflammatory,Mesenchymal Stem Cell (MSC),,Phase 1,NOT_YET_RECRUITING,2023-08-30,https://clinicaltrials.gov/study/NCT05962762,Safety and Tolerance of Umbilical Cord Mesenchymal Stem Cells (UC-MSC) in Patients With Ankylosing Spondylitis
ClinicalTrials.gov,NCT02330978,University of Sao Paulo,OTHER,Brazil,Intravitreal transplantation of mesenchymal stem cell; Culture and isolation of autologous bone-marrow mesenchymal stem cells,Retinal Degeneration; Primary Open-angle Glaucoma,Ophthalmologic,Mesenchymal Stem Cell (MSC),,Phase 1,COMPLETED,2014-01,https://clinicaltrials.gov/study/NCT02330978,Intravitreal Mesenchymal Stem Cell Transplantation in Advanced Glaucoma.
ClinicalTrials.gov,NCT00001336,National Cancer Institute (NCI),NIH,United States,,Immunologic Deficiency Syndrome; Leukemia; Lymphoma; Neoplasm,Oncology / Hematologic Malignancy,Stem Cell (Unspecified Type),,Not Reported,COMPLETED,1993-04,https://clinicaltrials.gov/study/NCT00001336,In Vitro Studies of Immunological and Stem Cell Function in Peripheral Blood Mononuclear Cells in Patients
ClinicalTrials.gov,NCT02462330,"University Hospital, Toulouse",OTHER,France,Autologous MSC from bone marrow; Placebo comparator,Chronic Myocardial Ischemia,Cardiovascular,Mesenchymal Stem Cell (MSC),,Phase 2,COMPLETED,2016-02-19,https://clinicaltrials.gov/study/NCT02462330,Administration of Mesenchymal Stem Cells in Patients With Chronic Ischemic Cardiomyopathy (MESAMI2)
ClinicalTrials.gov,NCT06892236,Fondazione IRCCS Policlinico San Matteo di Pavia,OTHER,Italy,iPSC generation,Alpha1-antitrypsin Deficiency,Other / Unclassified,iPSC (induced pluripotent),,N/A (Device/Behavioral),ENROLLING_BY_INVITATION,2025-01-15,https://clinicaltrials.gov/study/NCT06892236,Preparation of IPSC for Cell Gene Editing for the Treatment of AATD
ClinicalTrials.gov,NCT00337636,"StemCells, Inc.",INDUSTRY,United States,Surgery to implant human CNS stem cells (HuCNS-SC); Medication to suppress the immune system,Neuronal Ceroid Lipofuscinosis,Other / Unclassified,Stem Cell (Unspecified Type),,Phase 1,COMPLETED,2006-05,https://clinicaltrials.gov/study/NCT00337636,Study of HuCNS-SC Cells in Patients With Infantile or Late Infantile Neuronal Ceroid Lipofuscinosis (NCL)
ClinicalTrials.gov,NCT07342244,Donghua Zhang,OTHER,China,CLL1 CAR-T Cell Sequential Allogeneic Hematopoietic Stem Cell Transplantation,AML; AML (Acute Myeloid Leukemia),Oncology / Hematologic Malignancy,Cord Blood / HSC,CAR construct (unspecified antigen),N/A (Device/Behavioral),NOT_YET_RECRUITING,2026-01-30,https://clinicaltrials.gov/study/NCT07342244,Safety and Efficacy of CLL1 CAR-T Followed by Allogeneic Hematopoietic Stem Cell Transplantation in the Treatment of Relapsed/Refractory Acute Myeloid Leukemia
ClinicalTrials.gov,NCT02140944,International Maternal Pediatric Adolescent AIDS Clinical Trials Group,NETWORK,United States,,HIV Infection,Other / Unclassified,Cord Blood / HSC,,Not Reported,COMPLETED,2015-02-05,https://clinicaltrials.gov/study/NCT02140944,IMPAACT P1107: Effects of Cord Blood Transplantation With CCR5Δ32 Donor Cells on HIV Persistence
ClinicalTrials.gov,NCT01933321,Hospital Universitario Dr. Jose E. Gonzalez,OTHER,Mexico,Intrathecal autologous stem cell,Amyotrophic Lateral Sclerosis,Neurological,Cord Blood / HSC,,Phase 2/3,COMPLETED,2012-09,https://clinicaltrials.gov/study/NCT01933321,Effect of Intrathecal Administration of Hematopoietic Stem Cells in Patients With Amyotrophic Lateral Sclerosis (ALS)
ClinicalTrials.gov,NCT01954914,Technische Universität Dresden,OTHER,Germany,Plerixafor,Blood Stem Cell Harvest Failure,Other / Unclassified,Stem Cell (Unspecified Type),,Phase 2,COMPLETED,2013-12,https://clinicaltrials.gov/study/NCT01954914,Plerixafor as a Salvage Regimen to Mobilize Allogeneic Stem Cells in Healthy Volunteers
ClinicalTrials.gov,NCT03332030,Roger Packer,OTHER,United States,Collection of Stem Cells,Neurofibromatosis Type 1; Tumors of the Central Nervous System,Oncology / Hematologic Malignancy,Stem Cell (Unspecified Type),,Not Reported,WITHDRAWN,2015-11-27,https://clinicaltrials.gov/study/NCT03332030,Stem Cells in NF1 Patients With Tumors of the Central Nervous System
ClinicalTrials.gov,NCT03333681,Mashhad University of Medical Sciences,OTHER,,Autologous mesenchymal stem cells,Rheumatoid Arthritis,Autoimmune / Inflammatory,Mesenchymal Stem Cell (MSC),,Phase 1,COMPLETED,2016-06-20,https://clinicaltrials.gov/study/NCT03333681,Evaluation of Stem Cell Therapy Effects on the Immune Response in Rheumatoid Arthritis Patients
ClinicalTrials.gov,NCT00003567,Case Comprehensive Cancer Center,OTHER,United States,filgrastim; sargramostim; therapeutic autologous lymphocytes; O6-benzylguanine; carmustine; temozolomide; in vitro-treated peripheral blood stem cell transplantation,"Brain and Central Nervous System Tumors; Lymphoma; Unspecified Adult Solid Tumor, Protocol Specific",Oncology / Hematologic Malignancy,Stem Cell (Unspecified Type),,Phase 1,TERMINATED,1999-05,https://clinicaltrials.gov/study/NCT00003567,Gene Therapy and Chemotherapy in Treating Patients With Advanced Solid Tumors or Non-Hodgkin's Lymphoma
ClinicalTrials.gov,NCT06155500,Novartis Pharmaceuticals,INDUSTRY,United States,OTQ923,Sickle Cell Disease,Hematologic / Genetic Blood Disorder,Cord Blood / HSC,,Phase 1,ACTIVE_NOT_RECRUITING,2024-04-16,https://clinicaltrials.gov/study/NCT06155500,Long-term Follow-up (LTFU) of Patients Treated With Genome-edited Autologous Hematopoietic Stem and Progenitor Cells (HSPC)
ClinicalTrials.gov,NCT03724136,MD Stem Cells,INDUSTRY,United States; United Arab Emirates,Intravenous Bone Marrow Stem Cell (BMSC) Fraction; Intranasal Topical Bone Marrow Stem Cell (BMSC) Fraction; Near Infrared Light,"Alzheimer Disease; Alzheimer Dementia; Vascular Dementia; Lewy Body Disease; Lewy Body Dementia With Behavioral Disturbance (Disorder); Dementia, Mixed; Parkinson-Dementia Syndrome; Chronic Traumatic Encephalopathy; Huntington's Dementia; Wernicke Korsakoff Syndrome; Traumatic Brain Injury; Dementia, Multi-Infarct; Autism; Autism Spectrum Disorder; Autistic Behavior; Autistic Disorder, Current or Active State; Cadasil; LATE Limbic-predominant Age-related TDP-43 Encephalopathy",Neurological,Stem Cell (Unspecified Type),,N/A (Device/Behavioral),UNKNOWN,2018-10-24,https://clinicaltrials.gov/study/NCT03724136,Alzheimer's Autism and Cognitive Impairment Stem Cell Treatment Study
ClinicalTrials.gov,NCT00025402,III. Medizinische Klinik Mannheim,OTHER,Czechia; Germany; Poland; Spain; Switzerland,filgrastim; recombinant interferon alfa; busulfan; cyclophosphamide; cytarabine; etoposide; hydroxyurea; idarubicin; allogeneic bone marrow transplantation; peripheral blood stem cell transplantation; radiation therapy,Leukemia,Oncology / Hematologic Malignancy,Stem Cell (Unspecified Type),,Phase 3,UNKNOWN,1997-07,https://clinicaltrials.gov/study/NCT00025402,Chemotherapy and Biological Therapy With or Without Bone Marrow or Peripheral Stem Cell Transplant in Treating Patients With Chronic Myelogenous Leukemia
ClinicalTrials.gov,NCT06589271,"Sclnow Biotechnology Co., Ltd.",INDUSTRY,China,human umbilical cord mesenchymal stem cell suspension; total endoscopic extraction of lumbar nucleus pulposus,Lumbar Disc Degeneration,Orthopedic / Musculoskeletal,Mesenchymal Stem Cell (MSC),,Phase 1,SUSPENDED,2026-12-31,https://clinicaltrials.gov/study/NCT06589271,SCLife®-LDD hUC-MSCs Injection Therapy for Patients With Lumbar Intervertebral Disc Degeneration
ClinicalTrials.gov,NCT05784519,The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School,OTHER,China,MSCs eye drops,Mesenchymal Stem Cell; Dry Eye Syndromes,Ophthalmologic,Stem Cell (Unspecified Type),,Early Phase 1,ACTIVE_NOT_RECRUITING,2023-09-01,https://clinicaltrials.gov/study/NCT05784519,Therapeutic Effect of Stem Cell Eye Drops on Dry Eye Disease
ClinicalTrials.gov,NCT01302171,Barts & The London NHS Trust,OTHER,United Kingdom,granulocyte colony stimulating factor (GCSF); bone marrow mononuclear cells,Dilated Cardiomyopathy,Cardiovascular,Stem Cell (Unspecified Type),,Phase 2,COMPLETED,2010-08,https://clinicaltrials.gov/study/NCT01302171,Bone Marrow Derived Adult Stem Cells for Dilated Cardiomyopathy
ClinicalTrials.gov,NCT03944239,Qi Zhou,OTHER_GOV,China,Retinal pigment epitheliums transplantation,Retinitis Pigmentosa,Ophthalmologic,Embryonic Stem Cell (ESC),,Phase 1,ACTIVE_NOT_RECRUITING,2021-05-19,https://clinicaltrials.gov/study/NCT03944239,Safety and Efficacy of Subretinal Transplantation of Clinical Human Embryonic Stem Cell Derived Retinal Pigment Epitheliums in Treatment of Retinitis Pigmentosa
ClinicalTrials.gov,NCT05494671,Cairo University,OTHER,Egypt,conjunctival limbal autologous transplant,Stem Cell Transplantation,Other / Unclassified,Limbal Stem Cell,,N/A (Device/Behavioral),UNKNOWN,2022-01-01,https://clinicaltrials.gov/study/NCT05494671,Studying Corneal Epithelial Stability Following Limbal Stem Cell Transplantation in Cases of Limbal Stem Cell Deficiency
ClinicalTrials.gov,NCT00006244,Fred Hutchinson Cancer Center,OTHER,United States,melphalan; recombinant interferon alfa; aldesleukin; in vitro-treated peripheral blood stem cell transplantation,Refractory Multiple Myeloma; Stage I Multiple Myeloma; Stage II Multiple Myeloma; Stage III Multiple Myeloma,Oncology / Hematologic Malignancy,Stem Cell (Unspecified Type),,Phase 2,COMPLETED,2000-02,https://clinicaltrials.gov/study/NCT00006244,"Melphalan, Peripheral Stem Cell Transplantation, and Interleukin-2 Followed by Interferon Alfa in Treating Patients With Advanced Multiple Myeloma"
ClinicalTrials.gov,NCT00003152,European Organisation for Research and Treatment of Cancer - EORTC,NETWORK,Netherlands; United Kingdom,filgrastim; recombinant interferon alfa; cyclophosphamide; prednisone; vincristine sulfate; autologous bone marrow transplantation; bone marrow ablation with stem cell support; peripheral blood stem cell transplantation; radiation therapy,Lymphoma,Oncology / Hematologic Malignancy,Stem Cell (Unspecified Type),,Phase 3,TERMINATED,1997-03,https://clinicaltrials.gov/study/NCT00003152,Chemotherapy Plus Interferon Alfa Alone or With Radiation Therapy and Peripheral Stem Cell Transplantation in Treating Patients With Stage III or Stage IV Follicular Non-Hodgkin's Lymphoma
ClinicalTrials.gov,NCT01092026,Universitair Ziekenhuis Brussel,OTHER,Belgium,cord blood transplantation,Allogeneic Stem Cell Transplantation,Other / Unclassified,Cord Blood / HSC,,N/A (Device/Behavioral),COMPLETED,2010-11,https://clinicaltrials.gov/study/NCT01092026,Unrelated Umbilical Cord Blood Transplantation With Coinfusion of Mesenchymal Stem Cells
ClinicalTrials.gov,NCT02172963,Karolinska Institutet,OTHER,Sweden,Decidual Stromal Cell therapy,Hemorrhagic Cystitis,Other / Unclassified,Mesenchymal Stem Cell (MSC),,Phase 1/2,COMPLETED,2011-11,https://clinicaltrials.gov/study/NCT02172963,A Pilot Study Using Placenta Derived Decidual Stromal Cells for Hemorrhagic Cystitis
ClinicalTrials.gov,NCT05925647,Universitas Sebelas Maret,OTHER,Indonesia,Messenchymal stem cell secretome; Placebo,Rheumatoid Arthritis,Autoimmune / Inflammatory,Mesenchymal Stem Cell (MSC),,Phase 1/2,COMPLETED,2022-08-01,https://clinicaltrials.gov/study/NCT05925647,The Effects of Mesenchymal Stem Cell Secretome in Rheumatoid Arthritis Patients
ClinicalTrials.gov,NCT05507099,Grigory Karmy,OTHER,Canada,"Bone Marrow Aspirate, Lipoaspirate Concentrate",Osteoarthritis,Orthopedic / Musculoskeletal,Stem Cell (Unspecified Type),,Phase 2,RECRUITING,2022-08-23,https://clinicaltrials.gov/study/NCT05507099,Stem Cell Study in Osteoarthritis of the Knee and Hip Joints
ClinicalTrials.gov,NCT03856216,M.D. Anderson Cancer Center,OTHER,United States,Allogeneic Bone Marrow Transplantation; Bendamustine; Filgrastim-sndz; Fludarabine; Inotuzumab Ozogamicin; Melphalan; Peripheral Blood Stem Cell Transplantation; Rituximab; Tacrolimus,Acute Lymphoblastic Leukemia; B Acute Lymphoblastic Leukemia; Lymphocytic Neoplasm; Lymphoma,Oncology / Hematologic Malignancy,Stem Cell (Unspecified Type),,Phase 2,TERMINATED,2019-10-28,https://clinicaltrials.gov/study/NCT03856216,Inotuzumab Ozogamicin and Chemotherapy in Treating Patients With Leukemia or Lymphoma Undergoing Stem Cell Transplantation
ClinicalTrials.gov,NCT01957826,Hospital General Universitario Gregorio Marañon,OTHER,Spain,bone marrow-derived MSCs injection; placebo intervention,Primary Idiopathic Dilated Cardiomyopathy,Cardiovascular,Mesenchymal Stem Cell (MSC),,Phase 1/2,UNKNOWN,2013-03,https://clinicaltrials.gov/study/NCT01957826,Mesenchymal Stem Cells for Idiopathic Dilated Cardiomyopathy
ClinicalTrials.gov,NCT02334878,Ain Shams Maternity Hospital,OTHER,Egypt,"Stem Cells,Mesenchymal; surgery (TVT)","Urinary Incontinence, Stress",Reproductive / Urologic,Mesenchymal Stem Cell (MSC),,Phase 3,COMPLETED,2015-10-01,https://clinicaltrials.gov/study/NCT02334878,Stem Cell Therapy for Treatment of Female Stress Urinary Incontinence
ClinicalTrials.gov,NCT02384499,Yonsei University,OTHER,South Korea,ALLO-ASC injection; Placebo,Fecal Incontinence,Other / Unclassified,Mesenchymal Stem Cell (MSC),,Phase 1,COMPLETED,2014-12,https://clinicaltrials.gov/study/NCT02384499,"Treatment of Fecal Incontinence Using Allogenic-Adipose-derived Mesenchymal Stem Cells: A Prospective, Dose Escalation, Randomized, Placebo-controlled, Parallel-group, Single-blind, Single-center Pilot Study"
